,BWM_neck,BWM_middle_and_posterior,BWM_anterior,BWM_head,BWM_far_posterior,BWM_posterior
aha-1,73.97517,49.582916,47.410954,132.44263,37.33966,42.52838
ahr-1,0.0,0.8263819,0.0,9.460188,0.0,0.0
atf-2,25.939344,12.189134,22.717749,0.0,0.0,2.025161
atf-6,23.057194,27.89039,29.631847,9.460188,37.33966,31.389996
cdc-14,332.4079,514.83594,455.3427,321.6464,312.71967,407.05734
ceh-1,0.9607164,1.6527638,1.9754565,0.0,0.0,1.0125805
ceh-2,1.9214329,2.4791458,0.98772824,0.0,0.0,0.0
ceh-5,2.8821492,1.6527638,1.9754565,0.0,0.0,0.0
ceh-6,0.0,2.6857412,0.98772824,0.0,0.0,0.0
ceh-8,0.9607164,0.8263819,0.98772824,0.0,0.0,12.150966
ceh-9,0.0,0.20659548,2.9631846,0.0,0.0,1.0125805
ceh-10,0.0,0.0,0.0,0.0,0.0,0.0
ceh-12,0.0,0.0,0.0,0.0,0.0,0.0
ceh-13,31.703642,35.12123,55.312782,0.0,0.0,5.0629025
ceh-14,0.0,0.41319096,2.9631846,0.0,0.0,0.0
ceh-16,1.9214329,0.61978644,0.0,0.0,0.0,0.0
ceh-17,0.9607164,0.0,0.0,0.0,0.0,0.0
ceh-18,153.71463,148.95534,154.0856,264.88525,275.38,171.1261
ceh-19,0.0,0.20659548,0.0,0.0,0.0,0.0
ceh-20,136.42174,109.495605,117.53966,66.22131,135.35628,97.207726
ceh-21,31.703642,20.246357,29.631847,0.0,56.00949,36.452896
ceh-22,0.0,0.20659548,2.9631846,0.0,0.0,1.0125805
ceh-23,0.0,0.0,0.0,0.0,0.0,0.0
ceh-24,0.0,0.0,0.0,0.0,0.0,0.0
pros-1,0.0,0.8263819,0.98772824,0.0,0.0,0.0
ceh-27,0.0,0.0,0.0,0.0,0.0,1.0125805
ceh-28,0.0,0.0,0.0,0.0,0.0,0.0
ceh-30,0.0,0.0,0.0,0.0,0.0,1.0125805
ceh-31,0.0,0.0,0.98772824,0.0,4.6674576,1.0125805
ceh-32,0.9607164,1.2395729,1.9754565,0.0,0.0,1.0125805
ceh-33,60.525135,0.41319096,0.0,85.14169,0.0,0.0
ceh-34,274.7649,0.61978644,15.803652,85.14169,0.0,0.0
ceh-36,0.9607164,0.0,0.0,0.0,0.0,1.0125805
ceh-37,1.9214329,1.0329775,0.0,0.0,4.6674576,2.025161
ceh-38,75.8966,86.35691,91.85873,47.300938,93.34915,99.23289
ceh-39,34.585793,22.105717,22.717749,37.84075,23.337288,33.415157
ceh-40,0.0,0.41319096,0.98772824,0.0,0.0,0.0
ceh-41,73.01445,40.492714,42.472313,37.84075,42.00712,57.717087
ceh-44,188.30042,157.83894,189.64381,160.8232,107.351524,146.82417
cep-1,0.0,2.065955,1.9754565,0.0,0.0,2.025161
ces-1,0.0,0.0,0.0,0.0,0.0,0.0
ces-2,1.9214329,0.20659548,0.0,0.0,0.0,0.0
cey-1,4355.888,4639.928,4978.1504,3462.4287,4480.7593,4263.9766
cey-2,0.9607164,1.6527638,0.98772824,9.460188,4.6674576,0.0
cey-3,0.9607164,1.2395729,2.9631846,0.0,0.0,0.0
cey-4,1157.6633,1287.7096,1245.5253,1154.143,1470.2491,1160.4172
cfi-1,295.90067,10.949561,158.03651,368.94733,23.337288,7.0880632
che-1,0.9607164,0.61978644,0.98772824,0.0,4.6674576,0.0
cky-1,0.0,0.0,0.98772824,0.0,0.0,2.025161
cnd-1,0.0,0.20659548,0.0,0.0,0.0,1.0125805
crh-1,215.20049,166.72255,177.79108,548.69086,135.35628,124.5474
dac-1,0.9607164,0.41319096,0.0,0.0,0.0,0.0
daf-3,138.34317,120.85836,133.3433,170.28339,140.02373,186.3148
daf-5,560.09766,290.26666,325.95032,993.3197,322.05457,275.42188
daf-8,8.646448,13.015515,12.840467,47.300938,14.002373,11.138385
daf-12,438.0867,417.73608,379.28763,368.94733,350.05933,403.00702
daf-16,323.76144,385.094,359.53308,274.34543,261.37762,303.77414
daf-19,122.9717,113.00773,132.35559,66.22131,65.344406,159.98772
dcp-66,455.37958,379.10272,418.79678,350.02695,350.05933,412.12024
die-1,93.18949,116.51985,103.711464,18.920376,9.334915,70.88063
dnj-11,211.35762,222.91653,215.32475,113.522255,219.37051,240.99416
dpl-1,17.292896,15.0814705,10.86501,0.0,32.672203,16.201288
dpr-1,0.0,0.0,0.0,0.0,0.0,0.0
dpy-20,0.0,0.8263819,2.9631846,0.0,4.6674576,0.0
dro-1,1.9214329,4.3385053,2.9631846,0.0,0.0,1.0125805
dsc-1,16.33218,2.4791458,4.938641,9.460188,0.0,0.0
ech-6,412.14734,301.42282,295.33075,444.6288,186.6983,149.86191
efl-1,9.607164,10.536369,4.938641,0.0,18.66983,13.163547
efl-2,33.625076,51.23568,50.37414,37.84075,79.34678,43.540962
egl-5,5.7642984,15.907852,0.98772824,0.0,186.6983,76.956116
egl-13,110.48239,82.431595,99.76055,56.761127,98.01661,70.88063
egl-18,3.8428657,2.6857412,3.950913,9.460188,0.0,8.100644
egl-38,0.0,0.41319096,0.0,0.0,0.0,1.0125805
egl-43,2.8821492,0.8263819,0.0,0.0,0.0,0.0
egl-44,143.14674,183.86998,163.96289,245.96487,210.0356,186.3148
egl-46,2.8821492,2.4791458,0.98772824,0.0,0.0,0.0
ehn-3,0.0,0.41319096,0.0,0.0,0.0,0.0
elt-1,0.9607164,1.2395729,2.9631846,0.0,0.0,39.49064
elt-2,0.9607164,1.2395729,3.950913,9.460188,0.0,1.0125805
elt-3,0.9607164,1.0329775,0.0,0.0,0.0,1.0125805
elt-4,0.0,0.0,0.0,0.0,0.0,0.0
elt-6,0.9607164,1.2395729,1.9754565,0.0,0.0,8.100644
end-1,0.9607164,0.41319096,0.0,0.0,0.0,2.025161
end-3,0.0,0.20659548,0.0,0.0,0.0,0.0
eor-1,48.035824,57.226948,70.12871,28.380564,46.674576,90.11966
fos-1,215.20049,178.91168,169.88925,331.10657,172.69594,184.28964
eya-1,3.8428657,1.8593594,1.9754565,198.66394,0.0,2.025161
fax-1,0.0,0.20659548,0.0,0.0,0.0,0.0
fkh-2,96.07165,1.0329775,3.950913,0.0,0.0,0.0
fkh-3,0.0,0.0,0.98772824,0.0,0.0,1.0125805
fkh-4,0.0,0.41319096,0.0,0.0,0.0,0.0
fkh-5,0.0,0.41319096,1.9754565,0.0,0.0,0.0
fkh-6,0.0,1.0329775,0.0,0.0,0.0,1.0125805
fkh-7,234.41481,506.5721,367.4349,293.2658,112.01898,221.75513
fkh-8,0.0,0.20659548,0.0,0.0,0.0,0.0
fkh-9,75.8966,73.96118,67.16552,85.14169,214.70305,84.04418
fkh-10,0.0,0.20659548,0.0,0.0,0.0,1.0125805
gei-3,743.59454,420.835,538.3119,1097.3817,844.8098,573.12054
snpc-4,31.703642,29.33656,33.58276,9.460188,28.004745,52.654186
gei-17,206.55403,159.49171,180.75427,236.5047,191.36577,188.33997
gop-3,250.747,203.90974,192.60701,340.56677,135.35628,165.05061
grh-1,0.9607164,1.4461684,1.9754565,0.0,0.0,2.025161
grl-25,0.0,0.20659548,0.98772824,0.0,0.0,0.0
ham-1,0.9607164,0.61978644,0.0,0.0,0.0,0.0
ham-2,0.0,2.2725503,0.98772824,0.0,0.0,2.025161
hbl-1,82.62161,128.70898,105.68692,18.920376,135.35628,173.15126
hel-1,484.20108,569.79034,600.53876,245.96487,728.1234,612.6112
hif-1,427.51883,303.69537,348.66806,387.8677,233.37288,231.88094
him-8,3.8428657,3.9253142,9.877282,0.0,0.0,3.0377414
hlh-1,82.62161,76.02714,78.03053,160.8232,182.03085,98.22031
hlh-2,0.9607164,1.2395729,0.0,0.0,0.0,1.0125805
hlh-3,0.0,0.41319096,0.0,0.0,0.0,0.0
hlh-4,57.642986,28.096987,34.570488,9.460188,14.002373,26.327093
hlh-6,2.8821492,0.20659548,1.9754565,9.460188,0.0,0.0
hlh-8,0.0,0.41319096,0.98772824,0.0,9.334915,0.0
hlh-10,0.0,0.0,0.0,0.0,0.0,0.0
hlh-11,443.85098,467.1124,427.68634,614.9122,550.76,450.5983
hlh-12,0.0,0.41319096,0.98772824,28.380564,0.0,0.0
hlh-13,0.0,0.41319096,1.9754565,0.0,0.0,0.0
hlh-14,0.0,0.0,0.0,0.0,0.0,0.0
hlh-15,0.0,0.0,0.0,0.0,0.0,0.0
hlh-16,0.0,0.20659548,0.98772824,0.0,0.0,0.0
hlh-17,0.0,0.0,0.0,0.0,0.0,1.0125805
hlh-19,0.0,0.0,0.0,0.0,0.0,0.0
hlh-25,0.0,0.20659548,0.0,0.0,0.0,0.0
hlh-26,0.9607164,0.0,0.0,0.0,0.0,0.0
hlh-29,0.0,0.0,0.0,0.0,0.0,0.0
hmg-1.1,302.62567,346.8738,321.0117,151.363,298.7173,318.96286
hmg-1.2,64.368004,67.76332,65.19006,85.14169,51.342033,61.76741
hmg-3,0.9607164,1.8593594,5.926369,0.0,0.0,6.075483
hmg-4,87.42519,139.45195,118.52739,75.6815,102.68407,117.459335
hmg-5,11.528597,16.321043,17.779108,0.0,18.66983,25.314512
hmg-11,18.253613,19.833166,24.693207,0.0,23.337288,27.339672
hmg-12,25.939344,27.064009,24.693207,18.920376,4.6674576,21.26419
hnd-1,0.0,0.0,0.0,0.0,0.0,0.0
hsf-1,74.93588,94.20754,94.82191,47.300938,74.67932,117.459335
isw-1,98.9538,99.579025,80.99371,94.601875,102.68407,107.33353
lag-1,33.625076,30.576132,37.533672,9.460188,18.66983,60.75483
ldb-1,130.65744,170.64787,160.01198,160.8232,205.36813,178.21416
let-381,0.9607164,2.4791458,2.9631846,0.0,4.6674576,4.050322
let-607,276.68634,340.05615,424.72314,189.20375,597.4346,425.2838
lim-4,0.0,0.61978644,0.98772824,0.0,0.0,1.0125805
lim-6,0.0,0.61978644,0.0,0.0,0.0,2.025161
lin-1,524.55115,286.13474,317.06076,1371.7272,312.71967,283.52252
lin-22,0.0,0.20659548,0.0,0.0,0.0,0.0
lin-26,17.292896,13.428706,7.901826,18.920376,42.00712,25.314512
lin-28,62.446568,83.46458,75.067345,37.84075,126.021355,85.05676
lin-29,56.68227,113.214325,66.177795,132.44263,74.67932,104.29579
lin-31,1.9214329,0.8263819,2.9631846,9.460188,4.6674576,1.0125805
lin-32,0.0,0.0,0.0,0.0,0.0,0.0
lin-36,72.053734,66.936935,83.9569,37.84075,79.34678,82.01902
lin-39,10.567881,210.93399,1.9754565,0.0,23.337288,70.88063
lin-40,177.73254,180.15126,205.44748,104.062065,196.03322,237.9564
lin-48,0.9607164,0.8263819,2.9631846,0.0,0.0,0.0
lin-54,5.7642984,12.189134,8.889554,18.920376,4.6674576,12.150966
