,t1,t2,avg
aap-1,155.0000,212.5000,183.75
aat-1,510.0000000,575.0000000,542.5
aat-2,155.0000,330.0000,242.5
aat-3,450.0000,575.0000,512.5
aat-4,5.100000e+02,5.750000e+02,542.5
aat-5,212.500000,510.000000,361.25
aat-6,4.500000e+02,5.100000e+02,480.0
aat-8,510.0000000,575.0000000,542.5
aat-9,212.50000,270.00000,241.25
abf-1,4.500000e+02,5.100000e+02,480.0
abf-2,5.100000e+02,5.750000e+02,542.5
abf-5,3.900000e+02,4.500000e+02,420.0
abl-1,450.0000,650.0000,550.0
abt-2,390.000000,650.000000,520.0
abt-4,4.500000e+02,5.100000e+02,480.0
abt-5,1.550000e+02,2.700000e+02,212.5
abu-1,575.0000000,650.0000000,612.5
abu-4,3.900000e+02,4.500000e+02,420.0
abu-7,5.100000e+02,5.750000e+02,542.5
abu-8,1.550000e+02,5.750000e+02,365.0
abu-10,1.550000e+02,4.500000e+02,302.5
abu-11,212.500000,450.000000,331.25
ace-1,155.000000,450.000000,302.5
ace-2,1.550000e+02,6.500000e+02,402.5
ace-3,450.00000,650.00000,550.0
ace-4,1.550000e+02,3.900000e+02,272.5
acn-1,155.000000,390.000000,272.5
aco-1,155.00000,510.00000,332.5
aco-2,212.5000,450.0000,331.25
acr-2,330.0000000,450.0000000,390.0
acr-3,450.0000000,510.0000000,480.0
acr-5,5.100000e+02,5.750000e+02,542.5
acr-6,5.100000e+02,5.750000e+02,542.5
acr-7,212.50000,510.00000,361.25
acr-8,155.00000,510.00000,332.5
acr-9,450.0000000,575.0000000,512.5
acr-10,2.700000e+02,4.500000e+02,360.0
acr-11,155.000000,575.000000,365.0
acr-12,212.500000,650.000000,431.25
acr-14,5.750000e+02,6.500000e+02,612.5
acr-15,212.4999970,450.0000000,331.2499985
acr-16,212.5000000,575.0000000,393.75
acr-17,155.0000000,510.0000000,332.5
acr-18,3.900000e+02,4.500000e+02,420.0
acr-19,2.125000e+02,3.300000e+02,271.25
acr-20,1.550000e+02,5.750000e+02,365.0
lgc-11,450.0000000,650.0000000,550.0
acr-23,155.00000000,650.00000000,402.5
