"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"aap-1","aap-1",0.998212619063261,0.999999372691275,-63.7219893280119,-63.8556589566758,7,2,122.042507318624,0,0,0,1,1,0.921992148657827,0.999999999991483,FALSE,FALSE,FALSE
"aat-1","aat-1",0.124121499660492,0.426523927693191,-26.9798663612478,-31.3020107893265,7,2,7.33370691482029,0,0,0,0.0219204522562194,0.240381063613899,0.800376390132041,0.999999999991483,FALSE,FALSE,FALSE
"aat-2","aat-2",0.983159784595892,0.999999372691275,-74.9413469429732,-75.2896008507151,7,2,359.041203418605,0,0,0,0.943640174934844,1,0.900884511374842,0.999999999991483,FALSE,FALSE,FALSE
"aat-3","aat-3",0.937154620028238,0.999999372691275,-78.3361162877462,-78.9752369687155,7,2,551.222018840549,0,0,0,0.868913630179605,1,0.801925054940513,0.999999999991483,FALSE,FALSE,FALSE
"aat-4","aat-4",0.298745990782523,0.755754237828168,-6.77263476694069,-9.8114095692968,7,2,0.36694621842665,0,0,0,1,1,0.0328871220748483,0.143273589577755,FALSE,FALSE,FALSE
"aat-5","aat-5",0.189430563242682,0.572247224562932,-55.0436847988394,-58.7674217696005,7,2,271.913256524633,0,0,0,1,1,0.0231673750660698,0.108925061774726,FALSE,FALSE,FALSE
"aat-6","aat-6",0.0361116699091258,0.168199461872287,-5.06284765263811,-11.0153925067066,7,2,0.368873459461508,0,0,0,0.207612606055965,0.900879295684357,0.0326443030620941,0.142651274217898,FALSE,FALSE,FALSE
"aat-8","aat-8",1.50378824019095e-08,3.20874697210065e-07,-11.4001361175515,-33.8618750004782,7,2,4.21513332902216,0,0,0,0.00212519470334537,0.0425833681070602,3.88147140307788e-07,6.5067493381608e-06,FALSE,TRUE,FALSE
"aat-9","aat-9",0.999834484328724,0.999999372691275,-62.7005553860991,-62.7509529610646,7,2,106.515905837003,0,0,0,1,1,0.990436690595219,0.999999999991483,FALSE,FALSE,FALSE
"abf-1","abf-1",8.14799942812596e-09,1.79965049964425e-07,-7.74329440692627,-30.8590385738193,7,2,2.50123276347761,0,0,0,0.000360908457281942,0.010612322462394,1.14929026879539e-06,1.7878260557702e-05,FALSE,TRUE,FALSE
"abf-2","abf-2",1.85388293454417e-06,2.77641039482925e-05,-13.2833616725424,-30.5561284226154,7,2,2.64462150557306,0,0,0,0.0229269167243258,0.247895145179986,5.90259047616665e-06,7.87030197407401e-05,FALSE,TRUE,FALSE
"abf-5","abf-5",0.0841948310102881,0.322490500456934,-1.33478837857522,-6.18480408819082,7,2,0.181511310326295,0,0,0,0.0724266309364418,0.511445230312634,0.216823875213715,0.585113039118972,FALSE,FALSE,FALSE
"abl-1","abl-1",0.971018659182205,0.999999372691275,-78.3191479253735,-78.7636075364088,7,2,520.159547553958,0,0,0,1,1,0.816928176512162,0.999999999991483,FALSE,FALSE,FALSE
"abt-2","abt-2",0.228624978397919,0.644832702968515,-20.4737684325956,-23.9208911386694,7,2,2.8582218968808,0,0,0,0.112044683536109,0.657853261654584,0.472311083517133,0.958872361106141,FALSE,FALSE,FALSE
"abt-4","abt-4",0.016817246748664,0.0919482648196984,-7.38023209301682,-14.2885388315215,7,2,0.556304628883101,0,0,0,0.582231000192036,1,0.00524657777560551,0.0328438947121094,FALSE,FALSE,FALSE
"abt-5","abt-5",0.00215802769303177,0.0162098580659868,-11.4673214500553,-20.8322249157811,7,2,1.77753338581531,0,0,0,0.0632104584071241,0.473325932596203,0.00420922002726821,0.0272948391458938,FALSE,FALSE,FALSE
