,avg
aat-8,7.657214099999999
abf-1,7.382247
abu-1,7.5428755
abu-8,7.017377
abu-10,7.4851775
ace-3,7.9081185000000005
aco-2,7.6650145
acr-7,4.584232
acr-16,4.662886
acr-20,8.513651
act-5,4.0879955
acy-3,3.5532305
adt-1,9.411925
aqp-1,6.546436
asb-2,7.866604
bca-1,11.1358614
cah-4,7.8850644999999995
cal-4,8.3481545
ced-6,5.0081775
ceh-2,8.07085
ceh-17,6.5582595
ceh-34,2.218465
cfi-1,4.824116500000001
ckk-1,2.8418235000000003
clh-2,8.8385485
cln-3.3,4.869973000000001
cnc-4,5.6922125
col-12,7.489781000000001
col-14,9.6039305
col-34,9.0385375
col-53,7.699353
col-54,7.983214500000001
col-56,7.73374075
col-65,7.1893175
col-77,7.4676053
col-94,16.863505
col-97,8.976091499999999
col-101,7.8310759999999995
col-105,4.563307
col-107,8.823216
col-109,3.8352
col-110,7.9807570000000005
col-111,6.169010500000001
col-115,8.442085500000001
col-125,8.3461405
col-130,7.484325500000001
col-131,6.3094555
col-148,8.120891499999999
coq-5,3.5598099999999997
cpr-1,8.8844785
cpr-5,8.48059
csq-1,4.436479
daf-12,8.634563
daf-16,5.0208829999999995
dhs-29,7.6853835
dig-1,4.6173065
dpf-1,7.808786
dpf-2,3.48891835
dur-1,8.0599655
dyc-1,7.4799714999999996
dys-1,3.4163123
efn-2,4.3957697
egl-15,7.016347
fos-1,7.140082
exc-5,6.9181215
far-1,7.500555
far-6,7.445882
fbl-1,5.0551135
flp-2,7.637622
flp-5,7.95372308
flp-12,9.947283500000001
flp-14,7.89030625
flr-1,6.3036975
flr-2,7.334612
flr-4,8.099919
fut-8,6.3496255
gar-3,3.332987
gcy-18,6.917057
gcy-23,6.3349625000000005
gfi-2,5.914199
glc-2,8.9913825
gln-3,7.2275314999999996
R07B1.8,6.986148999999999
glr-5,4.812157
glt-1,8.9751285
glt-4,7.926386
gly-18,8.605169
gpa-8,9.399134
gpa-11,11.609605
gpa-12,3.1190817185
gpc-2,3.7511934
grd-5,5.986415
grd-12,7.6947575
grl-1,6.9906445
gst-6,5.5906139999999995
gst-10,8.11157
gst-36,7.4788625
gtl-1,10.44164
hsf-1,7.3217905000000005
hsp-12.2,7.4500185000000005
hsp-12.6,6.8599715
inx-18,5.624846
inx-19,8.019579499999999
lec-5,4.1216975
lev-1,6.328943499999999
lin-14,8.819383
lin-45,4.77671055
mdh-2,5.448754
mec-2,7.36384405
mec-5,8.6761585
mec-7,9.516366999999999
mef-2,7.6311610000000005
mev-1,8.367307
mig-17,7.4531495
mig-18,7.418042
mlc-2,7.5421510000000005
mlc-3,3.777239
mls-1,6.536970999999999
mrp-3,9.781259
mrp-4,7.73571085
mua-6,8.8403595
mup-2,9.466250500000001
nac-3,7.6576925000000005
nas-7,7.544703999999999
nas-15,7.0742400000000005
ncs-1,8.569689
ncs-2,3.64681695
ncx-2,4.871337499999999
ncx-4,8.372451
ncx-7,9.1486585
ndx-1,3.5164885
nhl-1,3.7154974999999997
nhr-19,4.417064685
nhr-96,4.4180825
nhr-99,6.521278499999999
nhr-100,3.5711334999999997
nhr-125,3.7513615
nhr-126,8.6263985
nhr-128,7.33129685
nhr-132,3.9451385
nlp-5,8.7207455
nlp-23,0.8454599999999997
nlp-24,8.6942305
npr-1,6.5862985
oig-1,7.6206
oig-2,7.8189246500000005
osm-8,5.876194
pat-10,3.5249175
pat-12,9.136947750000001
pef-1,7.311745500000001
pkc-1,4.915328
parg-2,6.365289499999999
tank-1,7.761271
pph-1,6.5229
pqn-22,5.190513
pqn-24,7.57335
pqn-36,7.68078265
ketn-1,7.259076
pqn-62,8.7100015
pqn-94,8.226343
ptb-1,4.3895865
rpl-24.1,8.105542
rps-18,4.088887
rps-22,3.63587375
sdf-9,9.750673500000001
ser-7,7.201018
seu-1,8.648338500000001
sft-1,5.491778890000001
sft-4,7.5525295
sgk-1,7.4536165
sgn-1,3.9193930000000003
shw-3,7.5547045
sir-2.2,4.2499645
skr-4,6.995464
slo-1,3.2726645000000003
slt-1,4.2703765
smp-2,9.207707854999999
sms-3,7.2470040000000004
snb-2,7.0441457
snf-3,6.652398
snf-6,4.423579
snf-11,4.4783159999999995
snn-1,5.5392085
snt-1,6.6476180000000005
snt-6,6.450065
soc-2,6.830002
sol-1,7.4591528
sos-1,4.5964745
spe-5,9.971456499999999
spk-1,7.852769500000001
spp-13,7.533816
spp-18,8.4450595
sqv-1,7.5479020000000006
srb-7,6.7213595
src-2,8.687654225
srd-33,3.957413
srd-35,8.099036
srd-70,10.896565
sre-2,7.673312000000001
srf-3,7.5644475
srg-2,8.2507575
srg-5,7.150446499999999
srh-92,8.7155265
