Your Input	Sequence Name
klf-2	F53F8.1
F08G12.3	F08G12.3
2L52.1	2L52.1
nhr-126	F44C8.10
nhr-178	F16B4.9
ast-1	T08H4.3
hlh-14	C18A3.8
zip-1	Y75B8A.35
dhhc-1	F09B12.2
sea-1	F19B10.9
ztf-20	Y39B6A.46
nhr-195	F59E11.10
nhr-221	T24A6.8
Y48C3A.12	Y48C3A.12
nhr-277	Y94H6A.1
pal-1	C38D4.6
ceh-9	Y65B4BR.9
ceh-39	T26C11.7
ceh-28	K03A11.3
nhr-46	C45E5.6
nhr-176	F14H3.11
nhr-74	C27C7.3
dnj-11	F38A5.13
nhr-11	ZC410.1
fkh-5	F26A1.2
nhr-132	R11G11.1
nhr-210	R11G11.12
sox-4	C12D12.5
sptf-2	T22C8.5
zip-7	Y51H4A.4
K11D12.12	K11D12.12
athp-3	Y116A8C.22
K12H6.12	K12H6.12
ceh-24	F55B12.1
ceh-93	R04A9.5
nhr-133	F44C8.8
Y56A3A.18	Y56A3A.18
ets-8	C50A2.4
hmbx-1	F54A5.1
egl-5	C08C3.1
K04C1.3	K04C1.3
ztf-11	F52F12.6
R07E5.5	R07E5.5
uaf-2	Y116A8C.35
ldb-1	F58A3.1
nhr-231	Y17D7B.1
nhr-111	F44G3.9
Y66H1A.4	Y66H1A.4
nfyb-1	W10D9.4
ztf-13	F52E4.8
ceh-18	ZC64.3
nhr-68	H12C20.3
nhr-87	Y41D4B.7
fkh-2	T14G12.4
pax-3	F27E5.2
lin-54	JC8.6
zim-3	T07G12.11
sox-2	K08A8.2
F21A9.2	F21A9.2
nhr-69	T23H4.2
pag-3	F45B8.4
C02F5.12	C02F5.12
T26A5.8	T26A5.8
daf-19	F33H1.1
hlh-33	Y39A3CR.6
hif-1	F38A6.3
nhr-125	R02D1.1
rad-26	C27B7.4
fos-1	F29G9.4
lin-38	Y48E1B.7
dpl-1	T23G7.1
zfh-2	ZC123.3
ceh-23	ZK652.5
ceh-48	C17H12.9
ztf-7	F46B6.7
nhr-66	T09A12.4
ham-1	F53B2.6
nhr-42	C33G8.6
hnd-1	C44C10.8
C38D4.7	C38D4.7
nhr-172	C54F6.9
bed-1	Y39B6A.12
nhr-127	T13F3.3
cey-1	F33A8.3
lin-32	T14F9.5
ahr-1	C41G7.5
die-1	C18D1.1
mls-2	C39E6.4
hlh-6	T15H9.3
ceh-74	ZC376.4
Y57A10A.31	Y57A10A.31
ceh-54	T13C5.4
nhr-107	C33G8.11
ceh-36	C37E2.4
T07D10.3	T07D10.3
lin-48	F34D10.5
nhr-179	F16B4.11
klf-3	F54H5.4
tlp-1	T23G4.1
psa-3	F39D8.2
nhr-55	T01G6.7
ttx-1	Y113G7A.6
nhr-145	Y39B6A.47
ZK1320.3	ZK1320.3
ceh-12	F33D11.4
Y53H1A.2	Y53H1A.2
nhr-84	T06C12.7
nhr-162	C33G8.10
odd-2	C34H3.2
nhr-141	F25E5.6
atf-8	F17A9.3
sdz-38	ZK892.7
nhr-117	F16B4.12
egl-46	K11G9.4
hlh-11	F58A4.7
nhr-64	C45E1.1
T10D4.6	T10D4.6
nhr-228	T27B7.6
nhr-168	C50B6.8
nhr-78	F36A4.14
B0019.2	B0019.2
F22D6.2	F22D6.2
mex-6	AH6.5
ztf-27	T09F3.1
bed-2	Y47D3B.9
frpr-9	F53B7.2
W03F9.2	W03F9.2
ztf-14	M163.2
ccch-3	W05B10.2
nhr-202	M02H5.4
hlh-3	T24B8.6
nhr-131	T01G6.2
ceh-62	R06F6.6
miz-1	R13.4
nhr-260	C38C3.9
Y82E9BR.1	Y82E9BR.1
egl-44	F28B12.2
ZK177.3	ZK177.3
unc-62	T28F12.2
dmd-6	F13G11.1
nhr-273	T12C9.1
ceh-90	R03E1.4
hel-1	C26D10.2
elt-6	F52C12.5
aha-1	C25A1.11
Y82E9BR.17	Y82E9BR.17
tbx-2	F21H11.3
nhr-114	Y45G5AM.1
nhr-283	F57A10.6
lin-39	C07H6.7
nhr-198	K06B4.8
nhr-63	C06C6.4
C06E2.1	C06E2.1
F57A8.1	F57A8.1
snu-23	ZK686.4
dro-1	F53A2.5
mab-23	C32C4.5
gmeb-2	F53H4.5
Y79H2A.3	Y79H2A.3
ceh-44	Y54F10AM.4
nhr-72	C17A2.8
nhr-225	T27B7.2
lsy-2	F49H12.1
ZK328.6	ZK328.6
nhr-150	C06B8.1
dmd-7	K08B12.2
mab-5	C08C3.3
spe-44	C25G4.4
dhhc-12	F59C6.2
nhr-201	M02H5.3
nhr-61	W01D2.2
hlh-12	C28C12.8
nhr-166	C49D10.2
lpd-2	C48E7.3
nhr-50	C06C6.5
nsy-7	C18F3.4
nhr-98	M02H5.6
ztf-28	F36F12.8
nhr-140	C33G8.9
nhr-285	T26E4.16
ceh-60	F22A3.5
F38C2.7	F38C2.7
fkh-8	F40H3.4
zip-2	K02F3.4
sknr-1	W02H5.7
tbx-7	ZK328.8
cebp-1	D1005.3
nhr-93	T24A6.9
C46H3.2	C46H3.2
dxbp-1	Y52B11A.9
flh-3	Y11D7A.13
ZK546.5	ZK546.5
ceh-17	D1007.1
pros-1	K12H4.1
nhr-103	F44C8.4
dmd-4	C27C12.6
dsc-1	C18B12.3
tab-1	F31E8.3
nhr-156	C17E7.1
T20F10.2	T20F10.2
nhr-95	Y39B6A.17
tbx-39	Y73F8A.16
F54F2.9	F54F2.9
bcl-11	F13H6.1
nhr-99	M02H5.1
nhr-16	T12C9.6
nhr-261	C49D10.9
vab-15	R07B1.1
hmg-6	F47G4.6
nhr-30	C25E10.1
mxl-3	F46G10.6
lir-2	F18A1.4
ceh-99	T21B4.17
nhr-270	R13D11.8
Y37E11B.1	Y37E11B.1
ztf-23	Y54E10BR.8
blmp-1	F25D7.3
dhhc-8	Y39E4B.7
klu-2	ZC328.2
dpff-1	C28H8.9
Y105C5A.15	Y105C5A.15
npax-2	F48B9.5
nhr-120	C25B8.6
nhr-208	R07B7.15
ztf-16	R08E3.4
mec-3	F01D4.6
memi-2	Y62E10A.14
nhr-41	Y104H12A.1
spr-1	D1014.8
ehn-3	ZK616.10
repo-1	F11A10.2
ztf-25	Y6G8.3
flh-2	C26E6.2
F27D4.4	F27D4.4
spr-3	C07A12.5
ref-1	Multiple entries : 2
cey-4	Y39A1C.3
mls-1	H14A12.4
sma-4	R12B2.1
sma-3	R13F6.9
nhr-190	F48G7.11
ets-9	C52B9.2
odr-7	T18D3.2
aptf-2	Y62E10A.17
B0336.7	B0336.7
ZK686.5	ZK686.5
ceh-14	F46C8.5
nhr-26	T07C5.5
rnt-1	B0414.2
F52B5.7	F52B5.7
fkh-9	K03C7.2
lin-31	K10G6.1
nhr-54	F36D3.2
nhr-219	T19A5.5
F19F10.1	F19F10.1
snpc-1.2	Y39E4B.2
nhr-80	H10E21.3
ztf-29	Y66D12A.12
end-3	F58E10.5
elt-2	C33D3.1
nhr-203	M02H5.5
ztf-2	F13G3.1
npax-4	C09G9.7
ceh-63	C02F12.10
ceh-16	C13G5.1
ceh-83	F45C12.15
saeg-1	F53H10.2
fozi-1	K01B6.1
F56D1.1	F56D1.1
nhr-154	C13C4.2
ceh-51	Y80D3A.3
unc-86	C30A5.7
nhr-62	Y67A6A.2
elt-3	K02B9.4
grl-25	ZK643.8
F43G9.12	F43G9.12
nhr-239	Y54F10AM.1
nhr-10	B0280.8
nhr-185	F47C10.1
nhr-38	K01H12.3
nhr-135	VC5.5
T24G10.2	T24G10.2
oma-1	C09G9.6
nhr-183	F41B5.10
ceh-100	Y38E10A.6
nurf-1	F26H11.2
fkh-10	C25A1.2
lin-1	C37F5.1
unc-3	Y16B4A.1
F26H9.2	F26H9.2
nhr-44	T19A5.4
dhhc-10	K02G10.1
W02D9.4	W02D9.4
ztf-15	R06C7.9
nhr-34	F58G6.5
hmg-1.2	F47D12.4
F33H1.4	F33H1.4
nhr-97	H27C11.1
unc-4	F26C11.2
nhr-222	T24A6.11
madf-3	H20J04.3
F44E2.7	F44E2.7
myrf-2	F21A10.2
zgpa-1	C33H5.17
nhr-218	T13F3.2
F57C9.4	F57C9.4
alr-1	R08B4.2
zip-8	F23F12.9
ceh-27	F46F3.1
unc-98	F08C6.7
F26F4.8	F26F4.8
nhr-112	Y70C5C.6
tbx-35	ZK177.10
Y53G8AR.9	Y53G8AR.9
nfi-1	ZK1290.4
nhr-258	C26B2.4
mex-5	W02A2.7
nhr-28	C11G6.4
rabx-5	Y39A1A.5
ceh-91	Y66A7A.5
cid-1	K10D2.3
nhr-136	C13C4.3
ceh-1	F16H11.4
ztf-4	T10B11.3
hmg-20	W02D9.3
nhr-15	F33E11.1
zip-3	W07G1.3
dhhc-2	Y47H9C.2
memi-3	H02I12.5
K09A11.1	K09A11.1
nfya-1	T08D10.1
pes-1	T28H11.4
atf-6	F45E6.2
mnm-2	C10A4.8
zip-4	Y44E3B.1
isw-1	F37A4.8
ceh-22	F29F11.5
nhr-197	K06B4.7
sem-2	C32E12.5
lag-1	K08B4.1
dhhc-6	M18.8
nhr-255	ZK678.2
cey-2	F46F11.2
F13C5.2	F13C5.2
nhr-237	Y46H3D.6
hsf-1	Y53C10A.12
nhr-108	F35E8.12
nhr-123	M02H5.7
ceh-79	C26E1.3
nhr-116	F09C6.9
klu-1	ZK337.2
ccch-2	F38C2.5
pqm-1	F40F8.7
hlh-2	M05B5.5
sma-2	ZK370.2
irx-1	C36F7.1
nhr-137	C56E10.4
lim-6	K03E6.1
ceh-88	C49C3.5
nhr-23	C01H6.5
ceh-49	F17A9.6
nhr-43	C29E6.5
ceh-45	ZK993.1
pat-9	T27B1.2
ceh-58	C07E3.6
C34B4.2	C34B4.2
F58G1.2	F58G1.2
hlh-8	C02B8.4
aptf-1	K06A1.1
ceh-37	C37E2.5
cnd-1	C34E10.7
che-1	C55B7.12
pha-2	M6.3
ttx-3	C40H5.5
nhr-130	T01G6.8
nhr-13	Y5H2B.2
cec-7	Y37D8A.11
Y60A9.3	Y60A9.3
nhr-53	K06B4.11
atf-2	K08F8.2
let-607	F57B10.1
gop-3	C34E10.1
ceh-53	C09G12.1
Y47G6A.7	Y47G6A.7
C34F6.9	C34F6.9
cep-1	Multiple entries : 3
nhr-192	F57A8.5
nhr-211	T01G6.5
sup-35	Y48A6C.3
svh-5	C33A11.4
sta-2	F58E6.1
ing-3	Y51H1A.4
hmg-11	T05A7.4
nhr-264	F14A5.1
nhr-105	C06G3.1
dhhc-9	C43H6.7
hlh-25	C17C3.7
tbx-33	Y66A7A.8
D1046.2	D1046.2
