"","x"
"1","MSxpappp"
"2","MSxapaap"
"3","unannotated"
"4","Dxap"
"5","ABalpppapav/ABpraaaapav"
"6","ABalpappaa/ABarapapaa"
"7","ABpxaapppa"
"8","ABalapxpapa/ABpxpaaappa"
"9","unannotated"
"10","Dxxax"
"11","ABalppppa/ABpraaapa"
"12","MSxppppx"
"13","ABaraaaapa"
"14","ABpxppapaa"
"15","ABalpaapa/ABaraaapa"
"16","ABalaaaala/ABalaapaaa"
"17","ABpxpaaaaa"
"18","ABpxppppaa"
"19","ABpxaapaap"
"20","ABpxppppap"
"21","unannotated"
"22","unannotated"
"23","ABarppxpa"
"24","MSxapaaa"
"25","ABpxppaapa"
"26","MSxapppp"
"27","ABalppapaa/ABarapppaa"
"28","unannotated"
"29","ABpxpaaaaa"
"30","unannotated"
"31","ABpxpppaapa"
"32","Dxxa"
"33","unannotated"
"34","unannotated"
"35","ABalaapppa/ABalapaapa"
"36","ABpxappaa"
"37","ABprpappap"
"38","ABpxapaap"
"39","ABalaapppp/ABalapaapp"
"40","ABalapaaap/ABalappapp"
"41","ABpxaapppp"
"42","unannotated"
"43","unannotated"
"44","unannotated"
"45","Eaxaa"
"46","unannotated"
"47","MSxpappp"
"48","Cxppa"
"49","unannotated"
"50","ABpxppppa"
"51","ABpxapaaapa"
"52","ABalappaap"
"53","Dxaap"
"54","unannotated"
"55","unannotated"
"56","Caapa"
"57","MSpappax"
"58","ABalapppaa"
"59","ABpxapppap"
"60","ABpxaapppp"
"61","Z2/Z3:pseudotime_bin_2"
"62","ABalppapa/ABarapppa"
"63","unannotated"
"64","ABpxapaaapa"
"65","ABpxpaappp"
"66","Dxxa"
"67","MSxapaap"
"68","unannotated"
"69","ABpxppaaa"
"70","Eaxap/Eaxpa"
"71","ABalpaapaa/ABaraaapaa"
"72","ABpxappapp"
"73","MSpaaaaa"
"74","ABpxpppaaa"
"75","Cxaaax/Cxaapa"
"76","ABarpaapap/ABarpaappx"
"77","ABpxpaapap"
"78","ABalpppappp/ABpraaaappp"
"79","ABalappaap"
"80","unannotated"
"81","ABpxpaaapa"
"82","ABplpappaap"
"83","unannotated"
"84","MSaaapp"
"85","unannotated"
"86","MSxapapa"
"87","ABalpaaapp/ABarapaapp"
"88","ABalaaapar/ABalaaappl"
"89","unannotated"
"90","MSxaapapa/ABalpappapp"
"91","ABarpapppx/ABplaaappx"
"92","ABalpappaa/ABarapapaa"
"93","ABprpappaa"
"94","ABpxpaapaa"
"95","Cxaaax/Cxaapa"
"96","Dxppp"
"97","MSxpaaap"
"98","MSxpapp"
"99","ABarpapaapp/ABplaaaaapp"
"100","ABpxaapppp"
"101","ABpxaappap"
"102","unannotated"
"103","ABalpapapp/ABarappapp"
"104","ABaraaaaax"
"105","ABpxpaaaaa"
"106","ABpxappppa"
"107","ABarppxpax"
"108","ABpxappaaa"
"109","MSaaapp"
"110","Z2/Z3:pseudotime_bin_2"
"111","ABpxppppap"
"112","Eaxaa"
"113","ABpxappaaa"
"114","unannotated"
"115","Z2/Z3:pseudotime_bin_2"
"116","ABarppxppa"
"117","unannotated"
"118","ABalppapaa/ABarapppaa"
"119","Eaxaa"
"120","ABalpppap/ABpraaaap"
"121","MSxpaaaa"
"122","unannotated"
"123","MSxppaa"
"124","Dxxaa"
"125","ABpxpaappa"
"126","unannotated"
"127","Epxaa"
"128","ABpxppapaa"
"129","ABpxppppaa"
