"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"aap-1","aap-1",2.48420484595235e-65,6.99281758714823e-65,-158.37896093903,-314.4372976179,7,2,129.911776609454,0,0,0,4.28899077685569e-12,1.58040732145578e-11,5.04968812582466e-56,1.42892789672493e-55,TRUE,FALSE,FALSE
"aat-1","aat-1",3.29066361649783e-17,5.39991736172246e-17,-87.4918573859952,-130.84861876976,7,2,6.78991266319689,0,0,0,2.64314627659816e-16,1.26102874001299e-15,0.00183836331983237,0.00230041567018689,TRUE,FALSE,FALSE
"aat-2","aat-2",0,0,-190.77794425421,-947.727774487821,7,2,333.301845994754,0,0,0,1.13625048447909e-23,7.40998950658877e-23,4.80814387207719e-305,3.18194118890626e-304,TRUE,FALSE,FALSE
"aat-3","aat-3",0,0,-182.921017324742,-2377.96643003609,7,2,487.389363217318,0,0,0,3.13037010093412e-215,1.37881684145243e-213,0,0,TRUE,FALSE,FALSE
"aat-4","aat-4",0.0462480438138405,0.0525452614224345,-18.324133631897,-23.9600741256715,7,2,0.35938651549598,0,0,0,0.215271122029153,0.270174056693809,0.0420510219839279,0.0492126697207188,FALSE,FALSE,FALSE
"aat-5","aat-5",0,0,-165.853090909781,-4601.12471412134,7,2,203.216119156783,0,0,0,0.688986348271421,0.735621492846121,0,0,FALSE,TRUE,FALSE
"aat-6","aat-6",0.0377576462546202,0.0430170328813238,-18.2534098281132,-24.1492101914573,7,2,0.45038763911142,0,0,0,0.881366539322782,0.924371217254737,0.00914119462552583,0.0110518372999926,FALSE,FALSE,FALSE
"aat-8","aat-8",2.78395004784638e-39,6.17502183837802e-39,-26.0400452392104,-121.384241188172,7,2,3.88929064739043,0,0,0,2.0471142737721e-11,7.1961467962233e-11,1.82684386092589e-30,3.97175318705141e-30,TRUE,FALSE,FALSE
"aat-9","aat-9",1.2097308563035e-24,2.22575566474193e-24,-134.231109818616,-195.208318460687,7,2,109.138606054826,0,0,0,2.4863749418798e-15,1.12434363080068e-14,7.96211912289987e-12,1.27427104517293e-11,TRUE,FALSE,FALSE
"abf-1","abf-1",9.29202191100265e-23,1.66219135849172e-22,-22.7114312298944,-79.2354663000978,7,2,2.49496849432071,0,0,0,1.1719266435682e-05,2.56972652624632e-05,1.85196152695374e-19,3.41987076472179e-19,TRUE,FALSE,FALSE
"abf-2","abf-2",7.52497674949217e-23,1.34759109285229e-22,-27.1943328590663,-83.934932075547,7,2,2.57012952199298,0,0,0,5.80435054837025e-08,1.56945826644519e-07,2.84019575945667e-17,5.06267092417082e-17,TRUE,FALSE,FALSE
"abf-5","abf-5",0.43450397516009,0.464991939959892,-11.7336743090178,-14.1584973611966,7,2,0.171106535332588,0,0,0,0.328610767340796,0.396225443552803,0.453317838882135,0.483969329842312,FALSE,FALSE,FALSE
"abl-1","abl-1",0,0,-175.105656937482,-1766.19293850731,7,2,460.150767344097,0,0,0,1.1635253046876e-74,2.20413530397989e-73,0,0,TRUE,FALSE,FALSE
"abt-2","abt-2",1.06831511317895e-06,1.40361107901857e-06,-53.732397254823,-71.604722273082,7,2,2.60496154379973,0,0,0,6.43372032894259e-07,1.58348099882265e-06,0.0648720538751433,0.0747589091801548,TRUE,FALSE,FALSE
