"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"aap-1","aap-1",0.989811305723937,0.999999975778061,-63.5762529154898,-63.8556589566758,7,2,122.042507318624,0,0,0,0.972228714700183,1,0.918345419191877,0.999999999996723,FALSE,FALSE,FALSE
"aat-1","aat-1",0.0805547162420479,0.246277489406954,-26.3929319947103,-31.3020107893265,7,2,7.33370691482029,0,0,0,0.0138789251408702,0.271332986504012,0.737844273457528,0.988644355294069,FALSE,FALSE,FALSE
"aat-2","aat-2",0.979920037805579,0.999999975778061,-74.9129854634831,-75.2896008507151,7,2,359.041203418605,0,0,0,0.973510891687748,1,0.873312553763016,0.999999999996723,FALSE,FALSE,FALSE
"aat-3","aat-3",0.91896463945899,0.999999975778061,-78.2511175814314,-78.9752369687155,7,2,551.222018840549,0,0,0,0.832879785892525,1,0.781298589214828,0.999999999996723,FALSE,FALSE,FALSE
"aat-4","aat-4",0.0301558208156856,0.115084036538748,-3.6306323614713,-9.8114095692968,7,2,0.36694621842665,0,0,0,0.164163933956309,1,0.0328393013528952,0.113548320428378,FALSE,FALSE,FALSE
"aat-5","aat-5",0.0509308110848718,0.173114386492627,-53.2560475823666,-58.7674217696005,7,2,271.913256524633,0,0,0,0.997711442978132,1,0.0116280495292048,0.0496379440953102,FALSE,FALSE,FALSE
"aat-6","aat-6",0.0361143551547053,0.13243761115922,-5.06294221280266,-11.0153925067066,7,2,0.368873459461508,0,0,1,0.671086307730948,1,0.011160179770238,0.0479947445707591,FALSE,FALSE,FALSE
"aat-8","aat-8",5.84626653259533e-09,9.84609289022778e-08,-10.3923334700153,-33.8618750004782,7,2,4.21513332902216,0,0,0,0.00770898343118335,0.192951320586383,4.15723783866259e-08,6.14328496546799e-07,FALSE,TRUE,FALSE
"aat-9","aat-9",0.997634201029885,0.999999975778061,-62.6007169940923,-62.7509529610646,7,2,106.515905837003,0,0,0,0.91002566120194,1,0.990371224821333,0.999999999996723,FALSE,FALSE,FALSE
"abf-1","abf-1",7.3044540017501e-09,1.21884124617438e-07,-7.62678276536056,-30.8590385738193,7,2,2.50123276347761,0,0,0,0.00902116319532518,0.21127766504874,4.49470506369977e-08,6.62168005667461e-07,FALSE,TRUE,FALSE
"abf-2","abf-2",9.48736791478457e-08,1.31847984268192e-06,-10.0680437786011,-30.5561284226154,7,2,2.64462150557306,0,0,0,0.00262422811129515,0.0929527336676954,2.14375890602004e-06,2.40790062836894e-05,FALSE,TRUE,FALSE
"abf-5","abf-5",0.486669133490291,0.852385457672071,-3.96005656791267,-6.18480408819082,7,2,0.181511310326295,0,0,0,0.999704313188936,1,0.216893505336737,0.474904871417888,FALSE,FALSE,FALSE
"abl-1","abl-1",0.954032528394684,0.999999975778061,-78.2132057789502,-78.7636075364088,7,2,520.159547553958,0,0,0,0.934419443391483,1,0.809685268421066,0.999999999996723,FALSE,FALSE,FALSE
"abt-2","abt-2",0.0517915132061828,0.175185368612076,-18.4312301638321,-23.9208911386694,7,2,2.8582218968808,0,0,0,0.0620786260351241,0.670718060380986,0.143464582097751,0.351958980703435,FALSE,FALSE,FALSE
"abt-4","abt-4",0.000485805461595213,0.00342669313159334,-3.20300364772571,-14.2885388315215,7,2,0.556304628883101,0,0,0,0.00892904044692749,0.210042972594634,0.00524819043825219,0.0255126246875653,FALSE,FALSE,FALSE
"abt-5","abt-5",0.00031712138935496,0.00234071180601949,-9.26128572181891,-20.8322249157811,7,2,1.77753338581531,0,0,0,0.00552909014767461,0.15353041682612,0.00521836105614362,0.0253846770004135,FALSE,FALSE,FALSE
"abu-1","abu-1",1.47404906978714e-06,1.69246570576274e-05,-7.09480262112903,-24.6171593253713,7,2,1.22369064441568,0,0,0,0.265364711977623,1,4.32797413087552e-07,5.46836696518569e-06,FALSE,TRUE,FALSE
"abu-4","abu-4",0.00257042842078162,0.0145828972405677,-1.79926508759934,-10.9595125541675,7,2,0.366114423230412,0,0,0,0.00765323969966014,0.192221213081568,0.0355052799004611,0.120701247719963,FALSE,FALSE,FALSE
"abu-7","abu-7",0.0104264939133969,0.0479618720016257,-2.86877676955379,-10.3612918115047,7,2,0.569070017028697,0,0,1,0.120447615387524,0.914706378903576,0.0131456565410998,0.0547748309850492,FALSE,FALSE,FALSE
"abu-8","abu-8",1.65821480184945e-06,1.88595861150598e-05,-23.3649079418757,-40.7591389345616,7,2,16.7881561521459,0,0,0,0.791859266386033,1,1.69433766431224e-07,2.28870055925351e-06,FALSE,TRUE,FALSE
"abu-10","abu-10",0.000507147196130314,0.00355814669564368,-19.3092448702095,-30.3457036838497,7,2,7.67896498994858,0,0,0,0.959714184411704,1,6.55231019490738e-05,0.000549839162353394,FALSE,TRUE,FALSE
"abu-11","abu-11",0.192126572891509,0.467613581766733,-31.573479629373,-35.2766848629309,7,2,14.0323091438874,0,0,0,0.249867516585855,1,0.200749575722144,0.4502933571666,FALSE,FALSE,FALSE
"ace-1","ace-1",3.14588037873656e-79,1.4681113367478e-76,-42.5632092979828,-230.901972145581,7,2,509.103532164797,0,0,0,0.999576535792136,1,2.49328169504675e-81,1.33593726971264e-78,FALSE,TRUE,FALSE
"ace-2","ace-2",0.284951361964345,0.610182260736854,-7.37698114425154,-10.4894032783103,7,2,0.585828387144704,0,0,0,0.371643882167419,1,0.236174710510446,0.501135162357674,FALSE,FALSE,FALSE
"ace-3","ace-3",3.06010273804605e-15,9.99334228246326e-14,-35.5931468741759,-74.2494014323976,7,2,47.5895563507367,0,0,0,0.0530881927182477,0.613930362953549,2.09736419610309e-15,7.07285963287258e-14,FALSE,TRUE,FALSE
"ace-4","ace-4",0.209411596610494,0.496567377178171,-11.5698444078321,-15.1470213592509,7,2,1.10366886699375,0,0,0,0.841433746408448,1,0.0782392881003652,0.223076030931806,FALSE,FALSE,FALSE
"acn-1","acn-1",0.79306849891107,0.999999975778061,-39.018315508974,-40.2129587509988,7,2,14.0119547675209,0,0,0,0.646761213530117,1,0.67818428657379,0.945733557770484,FALSE,FALSE,FALSE
