"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"aap-1","aap-1",0.998489096237922,0.999999999987259,-69.2721351118045,-69.3967965399656,7,2,121.914985463889,0,0,0,0.987676474467378,1,0.973536657319089,1,FALSE,FALSE,FALSE
"aat-1","aat-1",0.0551433556478068,0.156894817578237,-26.2216256613277,-31.6298462894696,7,2,7.31106961803949,0,0,0,0.00915023421248872,0.151138243585585,0.698870397066447,1,FALSE,FALSE,FALSE
"aat-2","aat-2",0.995235006083525,0.999999999987259,-79.3532907316773,-79.5549982987402,7,2,358.72470441572,0,0,0,0.986132408804253,1,0.945258664701382,1,FALSE,FALSE,FALSE
"aat-3","aat-3",0.911364638025272,0.999999999987259,-77.9246454263538,-78.6820065735722,7,2,550.379255223018,0,0,0,0.826117229464079,1,0.769190196940754,1,FALSE,FALSE,FALSE
"aat-4","aat-4",0.0330390869058305,0.102848980952388,-3.70787261141278,-9.77326217764269,7,2,0.369650602589208,0,0,0,0.171319341486974,0.804217338188275,0.0350731922454221,0.110045724443062,FALSE,FALSE,FALSE
"aat-5","aat-5",6.74776056785628e-06,7.14721735311506e-05,-49.8491437256139,-65.709503175747,7,2,271.456023711167,0,0,0,0.992539372474604,1,6.03665353580812e-07,8.66708485595503e-06,FALSE,TRUE,FALSE
"aat-6","aat-6",0.0374595525460848,0.114393909186481,-5.07479099752502,-10.9806913967615,7,2,0.369951823963486,0,0,1,0.679389357676999,1,0.0115185515414448,0.0432845150115691,FALSE,FALSE,FALSE
"aat-8","aat-8",1.25550675066906e-14,1.0120012163768e-12,-9.77828339655113,-46.9662897574095,7,2,3.79533645953121,0,0,0,7.47277765920409e-05,0.00757664456880687,5.71742919747668e-12,2.82732135253133e-10,FALSE,TRUE,FALSE
"aat-9","aat-9",0.999773128761913,0.999999999987259,-69.5801916440222,-69.6374761796799,7,2,106.452722502149,0,0,0,0.964504867498054,1,0.997716265054668,1,FALSE,FALSE,FALSE
"abf-1","abf-1",2.65726885045708e-12,1.39536909245012e-10,-7.06275648897882,-38.6584139487759,7,2,2.2594882360204,0,0,0,0.000550972548171966,0.0266733587059467,1.94620444311508e-10,6.88043022531978e-09,FALSE,TRUE,FALSE
"abf-2","abf-2",1.0688805673179e-09,3.12163471480651e-08,-9.69170024686752,-34.9671610264144,7,2,2.4900414545047,0,0,0,0.00037838309801276,0.0213187879721043,1.34814729950008e-07,2.3471695487931e-06,FALSE,TRUE,FALSE
"abf-5","abf-5",0.496913126570252,0.878273929770752,-3.93747345087331,-6.12448639291961,7,2,0.182079453947316,0,0,0,0.999795606341075,1,0.223844202217822,0.482238725638582,FALSE,FALSE,FALSE
"abl-1","abl-1",0.988959601083204,0.999999999987259,-82.8083418068476,-83.0976699963179,7,2,519.633809466235,0,0,0,0.965288358205619,1,0.917130459273622,1,FALSE,FALSE,FALSE
"abt-2","abt-2",0.0997750344035859,0.259305711691151,-18.5836162226147,-23.204850604469,7,2,2.89112650968155,0,0,0,0.0957083060292298,0.58004270732978,0.207911286991779,0.458325975330844,FALSE,FALSE,FALSE
"abt-4","abt-4",0.00049245890012017,0.00289197392474882,-3.20302088823209,-14.2730316257061,7,2,0.555898818709201,0,0,0,0.0090147980075124,0.149685120442574,0.00527743913847116,0.0223125088778635,FALSE,FALSE,FALSE
"abt-5","abt-5",0.000825777990266408,0.00446573867195061,-9.56921481174589,-20.0471228653502,7,2,1.74366255528787,0,0,0,0.0162920778760352,0.216168384723921,0.0052788707250943,0.022312709742854,FALSE,FALSE,FALSE
"abu-1","abu-1",0.00144833202805938,0.00726916582327062,-9.43768130583461,-19.2668073574258,7,2,1.60621049179307,0,0,0,0.453711049904192,1,0.000423921402440732,0.00257693700178999,FALSE,FALSE,FALSE
"abu-4","abu-4",0.00261723389711623,0.0120929858570968,-1.80367131191812,-10.9427610088985,7,2,0.365991452066811,0,0,0,0.00774656541081663,0.138006783874074,0.0357965149673007,0.111091317164398,FALSE,FALSE,FALSE
"abu-7","abu-7",0.000104465439934572,0.000765842363431208,-1.94630157478545,-14.7697395391741,7,2,0.464151284878742,0,0,0,0.011124536041001,0.168629108107041,0.00083420455226964,0.00455871579225046,FALSE,FALSE,FALSE
"abu-8","abu-8",0.00616417508920101,0.0248223218276507,-26.7468358913733,-34.8720737811895,7,2,17.0808321679777,0,0,0,0.880468034328346,1,0.00113619598269133,0.00596243992088768,FALSE,FALSE,FALSE
"abu-10","abu-10",0.000354935332194705,0.0021990440008881,-19.161973851973,-30.6049638493915,7,2,7.65423781887131,0,0,0,0.956979978616222,1,4.44926761020425e-05,0.000369724964660324,FALSE,TRUE,FALSE
"abu-11","abu-11",0.000854362114006592,0.0046017947343469,-27.3368037030119,-37.7755784214051,7,2,13.7426503648415,0,0,0,0.0686505458847917,0.494883677464279,0.00142205312522345,0.00726161496095257,FALSE,FALSE,FALSE
"ace-1","ace-1",4.43336443193038e-07,6.68571262929371e-06,-52.5465775905087,-71.3722358673696,7,2,512.387585358201,0,0,0,0.921771736222113,1,3.62692734513865e-08,7.53475460450776e-07,FALSE,TRUE,FALSE
"ace-2","ace-2",0.0298657126322316,0.094497576711326,-5.77107759318913,-11.964042228954,7,2,0.466145923132986,0,0,0,0.321954101801352,0.986257282053539,0.0175793032940953,0.0612218510270273,FALSE,FALSE,FALSE
"ace-3","ace-3",0.39728435489007,0.751275200607955,-48.1691581003926,-50.7465480087325,7,2,49.8084319568879,0,0,0,0.829932252273397,1,0.188477483440326,0.427829556539214,FALSE,FALSE,FALSE
"ace-4","ace-4",0.0518919284752154,0.149169318246327,-10.5529689619813,-16.0401189130339,7,2,0.999239150448605,0,0,0,0.668566662647472,1,0.0171823870117793,0.0600470975540634,FALSE,FALSE,FALSE
"acn-1","acn-1",0.45919685133753,0.825734795361107,-35.2307003985527,-37.5590434887933,7,2,13.929841038546,0,0,0,0.434489860395817,1,0.393243680258575,0.743546958649834,FALSE,FALSE,FALSE
"aco-1","aco-1",0.999632627188954,0.999999999987259,-68.751794392864,-68.8215058501519,7,2,99.3316182812994,0,0,0,0.995142217508693,1,0.988051504562872,1,FALSE,FALSE,FALSE
"aco-2","aco-2",0.890578783298915,0.999999999987259,-86.6408662267617,-87.4841853939296,7,2,1022.48599045751,0,0,0,0.995789791100786,1,0.641791229288667,1,FALSE,FALSE,FALSE
"acr-2","acr-2",0.212953361055589,0.476640995103818,-19.6204277070447,-23.1728886434424,7,2,2.76883652279059,0,0,0,0.594011290132059,1,0.108575189989476,0.275600793232615,FALSE,FALSE,FALSE
"acr-3","acr-3",0.0119144962238257,0.0430754863476777,-6.4077132923715,-13.7381039605839,7,2,0.565414285205453,0,0,0,0.401793564830462,1,0.0050023512771414,0.0213059194025882,FALSE,FALSE,FALSE
