,270_330_rep1,330_390_rep1,390_450_rep1,450_510_rep1,510_580_rep1,580_650_rep1,gt_650_rep1,270_330_rep2,330_390_rep2,390_450_rep2,450_510_rep2,510_580_rep2,580_650_rep2,gt_650_rep2,270_330_rep3,330_390_rep3,390_450_rep3,450_510_rep3,510_580_rep3,580_650_rep3,gt_650_rep3
aap-1,267,177,90,59,61,22,57,213,141,72,47,48,17,45,320,212,108,70,73,26,68
aat-1,1,2,6,6,22,1,0,0,1,4,4,17,0,0,1,2,7,7,26,1,0
aat-2,379,597,530,464,278,218,253,303,477,424,371,222,174,202,454,716,636,556,333,261,303
aat-3,294,348,471,1003,924,412,203,235,278,376,802,739,329,162,352,417,565,1203,1108,494,243
aat-4,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
aat-5,13,15,37,167,478,554,502,10,12,29,133,382,443,401,15,18,44,200,573,664,602
aat-6,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,2
aat-8,0,0,1,1,30,0,1,0,0,0,0,24,0,0,0,0,1,1,36,0,1
aat-9,204,156,88,49,38,56,81,163,124,70,39,30,44,64,244,187,105,58,45,67,97
abf-1,0,0,0,18,2,2,0,0,0,0,14,1,1,0,0,0,0,21,2,2,0
abf-2,0,1,1,3,18,0,0,0,0,0,2,14,0,0,0,1,1,3,21,0,0
abf-5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
abl-1,370,550,487,645,748,608,254,296,440,389,516,598,486,203,444,660,584,774,897,729,304
abt-2,2,9,3,1,0,0,7,1,7,2,0,0,0,5,2,10,3,1,0,0,8
abt-4,0,0,2,4,0,0,0,0,0,1,3,0,0,0,0,0,2,4,0,0,0
abt-5,3,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0
abu-1,0,0,1,2,1,3,6,0,0,0,1,0,2,4,0,0,1,2,1,3,7
abu-4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0
abu-7,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0
abu-8,1,3,11,14,16,51,22,0,2,8,11,12,40,17,1,3,13,16,19,61,26
abu-10,0,2,3,12,19,8,11,0,1,2,9,15,6,8,0,2,3,14,22,9,13
abu-11,0,9,14,26,21,15,15,0,7,11,20,16,12,12,0,10,16,31,25,18,18
ace-1,9,6,337,844,732,966,614,7,4,269,675,585,772,491,10,7,404,1012,878,1159,736
ace-2,1,0,0,1,0,0,3,0,0,0,0,0,0,2,1,0,0,1,0,0,3
ace-3,4,14,35,57,35,52,125,3,11,28,45,28,41,100,4,16,42,68,42,62,150
ace-4,1,0,4,2,1,0,2,0,0,3,1,0,0,1,1,0,4,2,1,0,2
acn-1,5,6,25,24,22,11,2,4,4,20,19,17,8,1,6,7,30,28,26,13,2
aco-1,135,104,68,68,88,52,47,108,83,54,54,70,41,37,162,124,81,81,105,62,56
aco-2,260,441,674,1134,1176,1584,1634,208,352,539,907,940,1267,1307,312,529,808,1360,1411,1900,1960
acr-2,0,10,5,2,1,0,5,0,8,4,1,0,0,4,0,12,6,2,1,0,6
acr-3,0,0,1,3,0,0,2,0,0,0,2,0,0,1,0,0,1,3,0,0,2
acr-5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
acr-6,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0
acr-7,30,16,12,23,119,179,248,24,12,9,18,95,143,198,36,19,14,27,142,214,297
acr-8,1,4,62,346,745,1059,820,0,3,49,276,596,847,656,1,4,74,415,894,1270,984
acr-9,2,1,0,3,4,0,5,1,0,0,2,3,0,4,2,1,0,3,4,0,6
acr-10,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0
acr-11,0,1,7,2,4,17,19,0,0,5,1,3,13,15,0,1,8,2,4,20,22
acr-12,12,6,1,3,2,6,10,9,4,0,2,1,4,8,14,7,1,3,2,7,12
acr-14,1,4,1,5,1,19,0,0,3,0,4,0,15,0,1,4,1,6,1,22,0
acr-15,9,114,534,867,1100,750,495,7,91,427,693,880,600,396,10,136,640,1040,1320,900,594
acr-16,1,8,13,61,140,268,259,0,6,10,48,112,214,207,1,9,15,73,168,321,310
acr-17,0,4,0,2,6,0,3,0,3,0,1,4,0,2,0,4,0,2,7,0,3
