,90_160,160_210,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
aap-1,1115,2380,1652,1757,1167,597,393,407,151,380
aat-1,2941,471,1294,235,353,824,824,2706,235,118
aat-2,456,658,1157,1077,1695,1506,1318,791,621,720
aat-3,897,959,798,592,700,947,2014,1856,828,409
aat-4,714,714,714,714,714,1429,1429,2143,714,714
aat-5,6,155,11,78,89,211,931,2655,3076,2788
aat-6,714,714,714,714,714,714,2143,714,714,2143
aat-8,233,233,233,233,233,465,465,7209,233,465
aat-9,1045,1404,2137,1635,1252,710,399,311,455,654
abf-1,312,312,312,312,312,312,5938,938,938,312
abf-2,303,303,303,303,606,606,1212,5758,303,303
abf-5,833,833,833,833,833,2500,833,833,833,833
abl-1,737,839,650,786,1167,1034,1369,1587,1290,540
abt-2,250,1750,750,750,2500,1000,500,250,250,2000
abt-4,625,625,625,625,625,1875,3125,625,625,625
abt-5,323,2258,3871,1290,323,645,323,323,323,323
abu-1,435,435,435,435,435,870,1304,870,1739,3043
abu-4,714,714,714,714,714,3571,714,714,714,714
abu-7,667,667,667,667,667,667,667,4000,667,667
abu-8,78,78,78,156,312,938,1172,1328,4062,1797
abu-10,154,154,154,154,462,615,2000,3077,1385,1846
abu-11,85,684,85,85,855,1282,2308,1880,1368,1368
ace-1,17,17,23,28,20,956,2390,2074,2736,1740
ace-2,667,667,667,1333,667,667,1333,667,667,2667
ace-3,271,515,298,136,407,976,1572,976,1436,3415
ace-4,500,500,500,1000,500,2500,1500,1000,500,1500
acn-1,1739,362,507,435,507,1884,1812,1667,870,217
aco-1,2861,1024,1137,1190,919,604,604,779,464,420
aco-2,318,347,332,340,576,879,1479,1534,2065,2130
acr-2,263,1316,526,263,2895,1579,789,526,263,1579
acr-3,625,625,625,625,625,1250,2500,625,625,1875
acr-5,909,909,909,909,909,909,909,1818,909,909
acr-6,769,769,769,769,1538,769,769,2308,769,769
acr-7,161,307,263,453,249,190,351,1754,2632,3640
acr-8,62,23,3,7,16,205,1130,2429,3452,2673
acr-9,345,1724,345,1034,690,345,1379,1724,345,2069
acr-10,345,3793,2414,345,345,345,1379,345,345,345
acr-11,2133,133,133,133,267,1067,400,667,2400,2667
acr-12,822,685,2055,1781,959,274,548,411,959,1507
acr-14,213,1489,213,426,1064,426,1277,426,4255,213
acr-15,18,28,8,26,295,1373,2227,2825,1927,1273
acr-16,13,78,39,26,117,183,808,1838,3507,3390
acr-17,5294,196,196,196,980,196,588,1373,196,784
acr-18,588,1176,588,588,1765,2941,588,588,588,588
acr-19,87,87,3826,3826,957,174,174,174,87,609
acr-20,357,357,357,357,357,357,1071,2143,3571,1071
lgc-11,185,556,185,556,556,370,2037,185,1852,3519
acr-23,244,244,244,244,244,732,488,244,244,7073
act-1,134,320,242,348,305,148,396,1322,2415,4371
act-2,1797,1942,1539,1402,827,409,400,654,664,366
act-3,210,260,200,311,553,730,853,1264,2078,3541
act-4,207,512,463,659,1032,1395,1462,1522,1435,1313
act-5,16,95,540,127,190,873,651,1651,3238,2619
acy-1,45,390,981,1008,1621,2206,1337,1042,964,407
acy-2,303,1818,303,303,303,606,606,3636,1818,303
acy-3,3,48,99,134,987,2373,2768,1252,1143,1194
acy-4,370,1852,370,1481,741,370,741,741,2963,370
add-1,261,435,87,609,522,5043,2174,348,435,87
add-2,486,748,1813,1944,1215,1551,1196,168,449,430
adm-2,1096,844,1121,1134,945,1171,1171,919,617,982
adm-4,2143,476,1786,1012,952,893,595,952,536,655
adr-1,2596,1843,1799,1494,909,437,254,215,228,225
adr-2,1400,1626,1839,1786,1220,822,505,360,241,200
ads-1,419,488,628,744,326,558,1442,1047,1953,2395
adt-1,147,1029,147,147,441,441,588,441,4118,2500
