gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
WBGene00006873,vab-7,BWM_far_posterior,0.266744609385779,0.864557839294661,0.326883910386965,0.816022449896681,0.201005142830414,1.6336916168993398e-280,8.34816416235562e-277
WBGene00000454,ceh-33,BWM_head_row_1,0.231763330126557,0.620587613073079,0.284815436241611,0.813731633316219,0.230740289136326,0.0,0.0
WBGene00014131,sdz-38,BWM_head_row_1,0.19979308802828,0.500904690849913,0.249580536912752,0.800515498923394,0.193576174045435,0.0,0.0
WBGene00001182,egl-13,BWM_head_row_1,0.182054328341318,0.332880354219226,0.230285234899329,0.790560143471225,0.176061877034789,0.0,0.0
WBGene00001377,eya-1,BWM_head_row_1,0.645389046048413,2.79175751432335,0.823406040268456,0.783804119092927,0.628620061457833,0.0,0.0
WBGene00006585,tni-3,BWM_head_row_1,0.204499611128451,0.941053211384954,0.274748322147651,0.744316141878209,0.176471569609304,0.0,0.0
WBGene00006580,tlp-1,BWM_far_posterior,0.212424523146926,1.01501812805162,0.431771894093686,0.491983211628023,0.0730543143026062,6.63044015551096e-101,3.3881549194661e-97
WBGene00001820,ham-1,BWM_head_row_1,0.0581512204082475,0.261767799330224,0.119546979865772,0.486429857730744,0.0195674859269229,4.9706012007092895e-43,2.53997721356245e-39
WBGene00001434,fkh-2,BWM_head_row_1,0.23031766471384,2.41748364715061,0.501258389261745,0.459478922742924,0.121159334605591,4.59009675596946e-264,2.3455394423004e-260
WBGene00000455,ceh-34,BWM_head_row_1,0.381009598873765,4.91039252626921,0.834731543624161,0.456445670208571,0.394933336270939,0.0,0.0
WBGene00006874,vab-8,BWM_far_posterior,0.328537862504171,2.48927845183104,0.734215885947047,0.447467657391257,0.173724861239594,1.61453816311718e-241,8.250290013528799e-238
WBGene00014033,arrd-15,BWM_head_row_1,0.124724872140046,0.43869359779325,0.282718120805369,0.441163345967167,0.0892445384188509,2.6913856336664e-193,1.37529805880353e-189
WBGene00000455,ceh-34,BWM_head_row_2,0.250557414214719,4.20994384506676,0.620607787274454,0.403729085184544,0.209499465883044,0.0,0.0
WBGene00006893,spon-1,BWM_posterior,0.31756566365051,2.43395427937192,0.789785602231131,0.40209097602361,0.303939096926232,0.0,0.0
WBGene00001434,fkh-2,BWM_head_row_2,0.253350670766423,1.87680112144986,0.673789173789174,0.376008817923952,0.193220573980009,0.0,0.0
WBGene00006796,unc-62,BWM_posterior,0.274040792986191,2.5243370695983,0.763988147115217,0.358697702341268,0.0775647499544543,3.1464258382895694e-220,1.6078236033659694e-216
WBGene00010593,gsnl-1,BWM_far_posterior,0.204031665812323,4.76534068531921,0.569246435845214,0.358424142804475,0.0170146374621936,1.30646203441952e-24,6.67602099588374e-21
WBGene00001981,hnd-1,BWM_far_posterior,0.0384678382973654,0.305808379422438,0.115071283095723,0.334295727504538,0.0002830748634751,0.187195318008003,1.0
WBGene00004257,pxn-2,BWM_head_row_1,0.127060879447169,0.730692912593911,0.384228187919463,0.33069119716381,0.0233747583218643,4.13156909337587e-51,2.1112318067150702e-47
WBGene00021043,pck-1,BWM_head_row_1,0.125136689518892,1.13839579687554,0.381291946308725,0.328191273721715,0.038864504855928,4.0856339118664e-84,2.08775892896373e-80
WBGene00017060,D2063.1,BWM_head_row_1,0.154272824128584,1.53026629995398,0.470637583892617,0.327795376758062,0.0510794302911485,2.5677737355841202e-110,1.31213237888348e-106
WBGene00014033,arrd-15,BWM_head_row_2,0.0602910407101113,0.296012876172324,0.185660018993352,0.324738955845254,0.0238127712148274,1.98003743668293e-49,1.01179913014498e-45
WBGene00006796,unc-62,BWM_anterior,0.246949904136761,2.21476642309698,0.761125024080139,0.324453797108056,0.0516156593864014,6.315518674518841e-143,3.22723004267913e-139
WBGene00001971,hmg-1.1,BWM_far_posterior,0.253565999808905,4.25327334856611,0.807535641547862,0.313999762688959,0.0213043347200962,2.01945200727155e-30,1.03193997571576e-26
WBGene00006893,spon-1,BWM_far_posterior,0.214740476128405,1.67889871128073,0.710794297352342,0.302113391917039,0.0293793440263001,2.31474382275255e-41,1.18283409342656e-37
WBGene00001981,hnd-1,BWM_head_row_1,0.0251617002825866,0.261776701271356,0.0847315436241611,0.296957888483596,0.0006689128683614,0.0112135645906954,1.0
