"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"aap-1","aap-1",5.67475595047398e-112,1.57946720783134e-111,-200.112883810464,-464.352660472579,7,2,134.680134512964,0,0,0,4.07928803809134e-22,1.66066167833511e-21,7.09918131640223e-93,1.96237829221057e-92,TRUE,FALSE,FALSE
"aat-1","aat-1",1.03885605533309e-29,1.65275816323149e-29,-108.862180425882,-181.768613248019,7,2,6.44495279926418,0,0,0,1.78092756348963e-26,8.41945256628044e-26,5.26171527202075e-06,6.33204776800885e-06,TRUE,FALSE,FALSE
"aat-2","aat-2",0,0,-226.391554960987,-1502.47269123517,7,2,313.398056320076,0,0,0,1.19454627142043e-42,8.35094555141748e-42,0,0,TRUE,FALSE,FALSE
"aat-3","aat-3",0,0,-203.788040076788,-3843.37357084093,7,2,443.834642242053,0,0,0,0,0,0,0,TRUE,FALSE,FALSE
"aat-4","aat-4",2.22315479335075e-05,2.50976739661116e-05,-9.71926775075739,-24.2658661232857,7,2,0.267299620437278,0,0,0,0.0134654976236991,0.0174457355293461,0.000135110593553758,0.000157601470296025,FALSE,TRUE,FALSE
"aat-5","aat-5",0,0,-162.780849549824,-7110.50911268747,7,2,159.904763966678,0,0,0,0.524139460339591,0.56373219990795,0,0,FALSE,TRUE,FALSE
"aat-6","aat-6",9.25297326383458e-06,1.05299436669686e-05,-13.4642698127204,-28.9777687947059,7,2,0.296999838504021,0,0,0,0.342133503415332,0.372872783163776,2.37112345579242e-06,2.8778272696353e-06,FALSE,TRUE,FALSE
"aat-8","aat-8",2.78423641437709e-98,7.24647646693139e-98,-21.6213312468785,-254.145951969128,7,2,2.8513154955212,0,0,0,1.05672348613462e-36,6.48228284626188e-36,1.35946848016391e-64,3.18222613165709e-64,TRUE,FALSE,FALSE
"aat-9","aat-9",5.42735508503775e-43,9.80109682154068e-43,-148.615350521399,-252.631580994896,7,2,110.58727529449,0,0,0,2.89765564798156e-25,1.3180899182029e-24,1.81823924276617e-20,2.82741726947366e-20,TRUE,FALSE,FALSE
"abf-1","abf-1",4.59146615709513e-56,9.25584918326005e-56,-17.5466245043728,-152.045978124172,7,2,1.87112978268635,0,0,0,1.25571112398531e-19,4.60703664764842e-19,3.33483006770231e-39,6.39704849136471e-39,TRUE,FALSE,FALSE
"abf-2","abf-2",5.55276934782649e-55,1.10965903875432e-54,-21.9535353697897,-153.932038206367,7,2,1.93053222622322,0,0,0,9.55158341532141e-24,4.12596667305457e-23,5.08519882631507e-34,9.26624734701314e-34,TRUE,FALSE,FALSE
"abf-5","abf-5",0.000174989833215356,0.000192639381402947,-3.68890758047735,-15.9323490135629,7,2,0.148499512349051,0,0,0,0.00138327102771826,0.00196611816591836,0.0101142986861902,0.0111010763289809,FALSE,FALSE,FALSE
"abl-1","abl-1",0,0,-194.876174481229,-2776.12405516027,7,2,420.236409184805,0,0,0,1.73235474516613e-120,2.96783112081011e-119,0,0,TRUE,FALSE,FALSE
"abt-2","abt-2",2.15207442250532e-10,2.63269022349433e-10,-58.164707140904,-85.1367236433819,7,2,2.46510195215442,0,0,0,3.97631447843333e-07,7.40551821936504e-07,1.9940491828728e-05,2.37275368150963e-05,TRUE,FALSE,FALSE
"abt-4","abt-4",1.52260233053565e-12,1.92486450521999e-12,-8.48452969040717,-40.6636662239718,7,2,0.475200156991817,0,0,0,7.78532766964469e-07,1.41656057971041e-06,6.70629322383477e-08,8.44164543307882e-08,TRUE,FALSE,FALSE
"abt-5","abt-5",9.85912226055325e-20,1.38920470205733e-19,-21.9490084796266,-71.3064982886187,7,2,1.75227416876249,0,0,0,5.94182745029725e-10,1.34345302000339e-09,3.7569540765015e-12,5.13836062333764e-12,TRUE,FALSE,FALSE
"abu-1","abu-1",3.39582051030477e-21,4.87914638561705e-21,-19.2270555887479,-72.0528727433096,7,2,1.00977277449998,0,0,0,0.0351556571643053,0.0438147931307125,2.60632430326735e-21,4.09438258555574e-21,FALSE,TRUE,FALSE
"abu-4","abu-4",0.000145236159889898,0.000160547324262236,-19.2770601146831,-31.7303907886916,7,2,0.326745661512751,0,0,0,0.999820822952214,1,1.61529035247457e-05,1.92761090918962e-05,FALSE,TRUE,FALSE
"abu-7","abu-7",1.39425351756965e-16,1.87619039705679e-16,-5.20224187218389,-47.0637242716401,7,2,0.445500476578284,0,0,0,2.34650880531319e-07,4.43779452091806e-07,1.66793325945644e-11,2.252679849967e-11,TRUE,FALSE,FALSE
"abu-8","abu-8",9.11582791609524e-177,3.21356356517322e-176,-64.5859818764197,-478.691650071314,7,2,10.307056024461,0,0,0,0.00136447454520949,0.00194764424856757,2.39487759166641e-176,9.00368975169174e-176,FALSE,TRUE,FALSE
"abu-10","abu-10",1.48509918316989e-79,3.50172355300305e-79,-38.9752400227799,-228.070597036018,7,2,4.72253266248582,0,0,0,0.0137954621768882,0.0178574470654901,8.39815617419112e-80,2.1651475401269e-79,FALSE,TRUE,FALSE
"abu-11","abu-11",9.10933289869296e-95,2.32580861038691e-94,-73.8938894790813,-298.272168680611,7,2,9.3859501589835,0,0,0,9.79235634601348e-05,0.000153279519034939,6.063072187808e-93,1.67712400033721e-92,TRUE,FALSE,FALSE
"ace-1","ace-1",0,0,-147.742816023952,-12429.6805778556,7,2,314.931856821272,0,0,0,4.1803626461401e-14,1.19304444134791e-13,0,0,FALSE,TRUE,FALSE
"ace-2","ace-2",4.43524142898831e-07,5.15096369690372e-07,-13.6403064990809,-32.4655068844939,7,2,0.356399758794033,0,0,0,0.0975149370801449,0.111896811208557,3.22865817752863e-07,4.00101456529625e-07,FALSE,TRUE,FALSE
"ace-3","ace-3",0,0,-97.616401368828,-931.085464156563,7,2,31.8180940768547,0,0,0,3.51792127628421e-30,1.84971979435674e-29,0,0,FALSE,TRUE,FALSE
"ace-4","ace-4",1.24273032242916e-08,1.47591391836456e-08,-24.5167885906058,-47.1821551575837,7,2,0.742501335201202,0,0,0,0.0597010102426818,0.0726314984621744,1.2371759848615e-08,1.58139185315194e-08,FALSE,TRUE,FALSE
"acn-1","acn-1",1.73008617880378e-51,3.35386234830396e-51,-93.6754012077225,-217.514954869558,7,2,11.1677436727761,0,0,0,1.12274664998e-15,3.47404966301874e-15,1.57563603307886e-38,2.99962547109876e-38,TRUE,FALSE,FALSE
"aco-1","aco-1",5.64783316701377e-115,1.59594598572181e-114,-113.447399951133,-384.638492417201,7,2,100.676939824949,0,0,0,2.21869433808901e-05,3.64826309917717e-05,1.3749184856097e-112,4.16871561153168e-112,TRUE,FALSE,FALSE
"aco-2","aco-2",0,0,-161.797776593232,-13700.8359102272,7,2,686.521077913251,0,0,0,4.84636012632371e-45,3.54483537189041e-44,0,0,FALSE,TRUE,FALSE
"acr-2","acr-2",4.51556052992024e-13,5.77099661509784e-13,-57.2883949911254,-90.7394096684988,7,2,2.37600950382618,0,0,0,0.00144305543496149,0.00204298732475755,1.22572663215056e-11,1.66077820111776e-11,FALSE,TRUE,FALSE
