,head_row_1,head_row_2,anterior,posterior,far_posterior
atf-2,133.0,129.8,194.5,338.8,211.8
cdc-14,107.7,82.7,113.1,83.4,37.9
T20F10.2,540.2,314.6,254.1,194.8,291.5
ceh-13,3.6,1.9,92.0,35.4,13.9
ceh-20,10.0,18.3,32.2,34.8,83.9
ceh-100,28.6,22.3,57.9,29.9,86.1
ceh-32,20.4,66.8,17.9,2.0,0.0
ceh-33,1866.5,183.1,22.9,13.7,0.0
ceh-34,1107.3,4283.0,129.6,45.8,61.8
dmd-3,3.3,8.0,6.2,35.0,453.7
ces-2,843.6,1761.4,1543.1,1941.9,1690.2
cey-1,3577.9,3297.3,4027.2,3895.5,4885.9
cey-4,240.2,302.6,177.2,153.4,84.8
Y56A3A.18,141.4,165.6,184.8,193.9,369.7
cnd-1,17.8,13.5,9.6,11.3,184.1
daf-16,1.0,17.0,56.4,30.1,28.4
dnj-11,130.9,120.2,86.8,64.0,45.5
dsc-1,0.0,0.0,0.0,0.0,72.5
ech-6,226.5,145.9,113.7,77.6,88.7
egl-13,136.0,0.0,1.1,3.2,0.0
sdz-38,394.9,41.9,9.1,0.0,45.9
B0238.11,19.6,35.5,53.2,69.6,78.8
eya-1,2863.2,40.3,7.9,15.6,3.9
fkh-2,7072.5,2797.5,304.5,3.0,25.4
attf-4,36.9,42.2,66.2,61.4,182.1
gop-3,280.2,158.7,110.1,124.1,29.5
nhr-156,394.9,132.8,20.1,16.0,14.0
ham-1,447.5,7.2,8.9,0.0,32.5
hbl-1,777.9,763.4,960.7,1064.3,1213.4
hel-1,151.0,142.9,161.7,96.3,34.1
hif-1,145.1,320.1,160.0,237.2,270.1
elf-1,5.1,0.0,10.8,0.0,86.2
hlh-1,135.1,115.3,302.7,315.9,463.9
flh-2,321.1,192.0,95.6,50.9,42.5
hlh-13,39.3,23.5,189.3,231.7,86.2
hlh-16,37.7,19.3,429.7,29.3,0.0
hmg-1.1,529.1,514.6,923.4,1211.8,1617.8
hmg-1.2,774.7,926.7,1002.5,1361.0,1390.9
hnd-1,1779.9,208.8,90.3,136.3,351.2
attf-2,280.4,294.7,425.9,457.0,527.4
hsf-1,32.6,71.9,217.0,193.9,261.0
ldb-1,120.3,125.4,151.2,152.9,351.5
F13C5.2,211.5,221.6,289.6,313.6,342.9
lin-28,160.7,219.1,236.2,269.9,303.3
lin-36,89.3,26.1,11.9,9.1,12.2
lin-39,3.8,0.0,266.6,896.9,8.8
lir-2,59.4,40.9,111.0,75.1,76.7
F26A10.2,222.8,201.7,108.6,62.3,115.1
mab-5,0.0,7.8,6.2,52.3,111.7
mdl-1,415.3,176.0,81.8,55.5,23.3
nhr-1,50.5,6.5,85.4,84.7,57.2
nhr-3,243.3,228.1,212.9,139.2,34.9
lect-2,156.8,128.8,268.5,444.1,1064.5
M03D4.4,102.8,897.9,551.7,588.3,473.4
nhr-47,61.7,26.0,82.0,63.8,105.8
nhr-56,48.3,43.2,14.2,5.1,0.0
nhr-58,202.9,126.7,109.5,92.8,58.5
T26A5.8,6.8,7.9,28.0,13.6,101.0
nhr-66,70.4,23.7,0.0,32.9,28.1
hlh-30,10.0,0.0,87.8,37.9,31.0
W02D7.6,86.0,73.4,135.3,140.0,103.6
Y66H1A.4,254.9,238.2,227.6,188.4,63.8
nhr-100,33.9,0.0,50.1,61.8,86.5
Y82E9BR.17,13.7,30.2,316.2,170.3,189.1
ztf-8,57.5,70.0,32.0,30.5,0.0
ceh-99,35.7,86.7,65.7,136.5,738.9
syd-9,809.9,2159.3,1182.4,1306.7,1409.7
nhr-134,59.1,55.3,14.9,22.8,0.0
nsy-7,36.7,129.3,256.2,152.3,181.1
nob-1,0.0,7.2,16.2,0.0,114.4
pat-9,465.6,582.4,660.4,699.7,802.3
php-3,0.0,0.0,0.0,0.0,158.2
plp-1,426.6,359.0,98.3,123.1,201.5
ref-1,4.3,12.8,61.3,30.5,175.6
rnt-1,6.6,7.5,74.4,147.5,515.5
sem-4,2.7,2.1,23.3,91.2,254.8
ctbp-1,124.6,148.9,13.4,6.8,8.4
tbx-2,333.7,717.6,819.7,221.2,1262.6
tlp-1,14.4,113.9,217.4,351.9,1104.1
unc-62,133.1,1657.0,2070.0,2614.6,41.3
unc-86,1.9,0.0,70.6,2.3,29.5
unc-98,1121.7,950.0,723.9,764.1,528.5
unc-130,13.2,20.2,54.5,61.3,185.3
vab-7,0.0,6.1,0.0,88.0,1366.0
xbp-1,419.7,433.1,707.9,644.3,624.2
zyx-1,231.5,195.2,294.5,285.6,372.5
dmd-6,87.9,39.1,122.2,94.7,121.8
irx-1,90.1,63.6,18.7,21.8,21.6
D1046.2,6.4,20.1,3.3,14.9,82.9
F22D6.2,317.5,261.0,190.0,219.3,550.2
nurf-1,1027.3,993.1,1189.7,1425.7,1884.4
row-1,26.3,0.0,12.1,37.7,92.3
ccch-1,41.0,46.6,82.6,115.6,120.2
psa-3,0.0,0.0,0.0,5.8,588.2
ztf-7,134.7,169.0,248.8,238.5,112.5
saeg-1,89.0,86.2,86.5,118.9,154.6
ztf-26,71.3,97.1,0.0,4.3,19.0
somi-1,299.3,189.8,168.4,169.6,229.9
