,slope_e5,interecept,r,p,std_err,r^2
atf-2,0.04284016554199864,0.010115062851202054,0.04957428519057258,0.9159434575771159,3.8598938136119236e-05,0.002457609752156224
cdc-14,0.19579165917920602,0.0017778088100572215,0.5947191505952177,0.15900139807905284,1.183633932877753e-05,0.3536908680846973
T20F10.2,0.9575448574657811,-0.010529918791295702,0.41808491717748997,0.35060638720345216,9.304446685599821e-05,0.17479499797130865
ceh-13,0.05073881360387513,0.012310241099321138,0.17136910906677058,0.7133277351916643,1.3045184034216138e-05,0.029367371542338712
ceh-20,0.46421882406368653,-0.015601908330079272,0.7723021442768427,0.04185141831543727,1.707649975198492e-05,0.5964506020546092
ceh-100,0.21556708418594211,-0.005184555165068595,0.5785904916861638,0.17354359022791396,1.3589799814390446e-05,0.33476695706963683
ceh-32,0.3484429591317077,-0.011926864375481837,0.6471296690460853,0.11615543847181335,1.835806262746513e-05,0.41877680855969585
ceh-33,17.658670859226007,-0.6968066980124902,0.776658925700758,0.03997901750388674,0.0006405145554457995,0.6031990868706556
ceh-34,-6.6890871554337785,1.069059829498181,-0.38758201456208935,0.390306686282078,0.0007114944815381142,0.15021981801200765
dmd-3,-0.5077573554771753,0.03120645217906193,-0.8436922616705634,0.01702295055403592,1.4448461713915967e-05,0.7118166324027905
ces-2,-1.8067846237776342,0.11336582348994605,-0.8804274591453454,0.008894679149366097,4.3518290392967416e-05,0.7751525108171288
cey-1,2.9965811682679857,-8.791712963604481e-05,0.49722537527831495,0.25623793503171527,0.00023383958106563965,0.24723307382066115
cey-4,0.698115770741924,-0.0208077400263313,0.39298547155807007,0.3831474639501825,7.305312324527814e-05,0.1544375808557187
Y56A3A.18,1.4781577492877311,-0.05282327642884764,0.8639735378312531,0.012164880135413126,3.8527152694586995e-05,0.7464502740726517
cnd-1,-0.0030539125276806056,0.007688257190227755,-0.0057286037184267335,0.9902749798537853,2.3840517845715682e-05,3.28169005627726e-05
daf-16,0.1940812034383092,-0.0026062043684715068,0.4380354927272826,0.32560702014458054,1.781264525680539e-05,0.19187509288883325
dnj-11,0.07964692515252961,0.003749686687161128,0.15456241487404124,0.7407296592380548,2.2768247343799765e-05,0.023889540091695242
dsc-1,0.3210285149748924,-0.012264716771830001,0.6984160103855392,0.08089927592526461,1.4711962178731885e-05,0.48778492356285363
ech-6,1.6833007403729503,-0.05763161295310605,0.9545645981068723,0.0008246812233124763,2.350139217412314e-05,0.9111935719589347
egl-13,-0.00366835324683397,0.008150192839316795,-0.005607533650743173,0.9904805048791344,2.9255493665650412e-05,3.1444433644217065e-05
