,PC_head_row_1,PC_head_row_2,PC_anterior,PC_posterior,PC_far_posterior,time_bin,slope_e5,std_err_e5,pca_slope_e5,pca_r^2,specificity_cell,specificity,max_PC_cell,monotonous,transient,classification
atf-2,133.0,129.8,194.5,338.8,211.8,450_510,2.7563437361810004,1.423939093545,0.0428401655419986,0.0024576097521562,BWM_posterior,0.314560186736174,BWM_posterior,False,True,t_up
cdc-14,107.7,82.7,113.1,83.4,37.9,gt_650,-25.563993030362,1.636566313037,0.195791659179206,0.3536908680846973,,,BWM_anterior,False,True,t_down
T20F10.2,540.2,314.6,254.1,194.8,291.5,580_650,-21.996253808677,0.861128156762323,0.9575448574657812,0.1747949979713086,BWM_head_row_1,0.32338951757352,BWM_head_row_1,False,True,t_up
ceh-13,3.6,1.9,92.0,35.4,13.9,580_650,-33.042347777019,2.270716037837,0.0507388136038751,0.0293673715423387,BWM_anterior,0.504648879186497,BWM_anterior,False,True,t_up
ceh-20,10.0,18.3,32.2,34.8,83.9,gt_650,-34.834989646285,1.395025963359,0.4642188240636865,0.5964506020546092,,,BWM_far_posterior,False,True,t_up
ceh-100,28.6,22.3,57.9,29.9,86.1,580_650,-31.541823480843,2.847292204438,0.2155670841859421,0.3347669570696368,,,BWM_far_posterior,False,True,t_down
ceh-32,20.4,66.8,17.9,2.0,0.0,580_650,21.686599507591,5.155416039723,0.3484429591317077,0.4187768085596958,,,BWM_head_row_2,False,True,t_down
ceh-33,1866.5,183.1,22.9,13.7,0.0,gt_650,115.695957779639,1.965824941011,17.658670859226007,0.6031990868706556,BWM_head_row_1,0.761427935693231,BWM_head_row_1,True,False,m_up
ceh-34,1107.3,4283.0,129.6,45.8,61.8,510_580,3.849738390222,1.928948411348,-6.6890871554337785,0.1502198180120076,BWM_head_row_2,0.632994841160449,BWM_head_row_2,True,False,m_up
dmd-3,3.3,8.0,6.2,35.0,453.7,330_390,-88.147184331574,6.269423043372999,-0.5077573554771753,0.7118166324027905,BWM_far_posterior,0.762967452696245,BWM_far_posterior,False,True,t_up
ces-2,843.6,1761.4,1543.1,1941.9,1690.2,270_330,-73.177643442283,1.163222927289,-1.8067846237776344,0.7751525108171288,BWM_posterior,0.258283687307527,BWM_posterior,False,True,t_up
cey-1,3577.9,3297.3,4027.2,3895.5,4885.9,450_510,13.25681147674,0.429703344242841,2.9965811682679857,0.2472330738206611,BWM_far_posterior,0.25963528513631,BWM_far_posterior,True,False,m_up
cey-4,240.2,302.6,177.2,153.4,84.8,580_650,-29.679413477868003,1.208231450549,0.698115770741924,0.1544375808557187,BWM_head_row_2,0.298136817406136,BWM_head_row_2,False,True,t_down
Y56A3A.18,141.4,165.6,184.8,193.9,369.7,gt_650,-35.661036232026,1.084869851028,1.4781577492877311,0.7464502740726517,BWM_far_posterior,0.326027983248465,BWM_far_posterior,False,True,t_up
cnd-1,17.8,13.5,9.6,11.3,184.1,390_450,-17.183201828854,6.180932049250001,-0.0030539125276806,3.28169005627726e-05,,,BWM_far_posterior,False,True,t_up
daf-16,1.0,17.0,56.4,30.1,28.4,gt_650,-21.160290614815,2.74596899708,0.1940812034383092,0.1918750928888332,,,BWM_anterior,False,True,t_up
dnj-11,130.9,120.2,86.8,64.0,45.5,390_450,-38.289220319655,2.170227104988,0.0796469251525296,0.0238895400916952,,,BWM_head_row_1,False,True,t_up
