gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value,intercept
R02D3.7,862,WBGene00019824,OK,embryo.time,-0.0042015930067103,0.0004441967725951,-9.45885532252521,3.49759642637745e-21,-0.0058038724269419,count,2.47280067344886e-18,-1.48875868155754
Y66H1A.4,5516,WBGene00022046,OK,embryo.time,-0.0042975620170983,0.0001492115398687,-28.8018072923821,2.84307252233897e-178,-0.006169332317357,count,2.6412143732529e-175,0.698790033717949
madf-1,149,WBGene00021942,OK,embryo.time,0.0097693241532264,0.0007754578181785,12.5981374153572,3.1043672209773395e-36,8.71951120332885e-05,count,2.38725839293157e-33,-9.68922015706914
nhr-41,50,WBGene00022423,OK,embryo.time,0.0067442794269374,0.0011952990371477,5.64233653448838,1.70351549616938e-08,9.2869700050102e-05,count,9.82928441289732e-06,-9.25071902201585
nhr-122,1186,WBGene00003712,OK,embryo.time,-0.0020769726247167,0.0003431083502257,-6.05340156644388,1.44708123498948e-09,-0.0027952930556373,count,8.6246041605373e-07,-1.97246560411971
zip-11,932,WBGene00021082,OK,embryo.time,-0.0042645206942882,0.0004069625988996,-10.4789007781514,1.28576482238903e-25,-0.0059497568231646,count,9.231791424753241e-23,-1.22339237359932
Y37E11B.1,1167,WBGene00021374,OK,embryo.time,-0.0035273861890778,0.0003572651947025,-9.87329927846631,6.23812239245029e-23,-0.0048908150275931,count,4.42906689863971e-20,-1.39720271187393
pqn-75,297,WBGene00004157,OK,embryo.time,-0.0139876331796947,0.0021392561192108,-6.53855003806409,6.383402015144429e-11,-0.0200441964446834,count,3.90664203326839e-08,0.397134742894018
nhr-78,850,WBGene00003668,OK,embryo.time,-0.0047207314849418,0.000431755708844,-10.9338021206031,9.76635006246798e-28,-0.0065803077118711,count,7.11966919553916e-25,-1.25021684320773
nhr-104,1454,WBGene00003694,OK,embryo.time,0.0012997589953906,0.0002622992504642,4.95525241909869,7.29103582626068e-07,0.0015319925477314,count,0.0003973614525312,-3.10970198915056
eor-1,2996,WBGene00001324,OK,embryo.time,-0.0061995875346916,0.0002273030423641,-27.2745470989321,1.88059667642443e-160,-0.0088930836331583,count,1.7357907323397502e-157,0.558535681248082
pes-1,72,WBGene00003976,OK,embryo.time,-0.0204262359832114,0.0023519964175596,-8.68463737049593,4.12869570585371e-18,-0.0293704878742951,count,2.8488000370390603e-15,1.10435989664069
lag-1,1176,WBGene00002245,OK,embryo.time,-0.0043213572773374,0.0004120911686058,-10.4864107909833,1.1881769082390902e-25,-0.0060634004609539,count,8.54299197023906e-23,-1.0346477539453
M03D4.4,7185,WBGene00019751,OK,embryo.time,-0.0057616566264092,0.0001250717538232,-46.066809253754,0.0,-0.0082990529788185,count,0.0,1.83682177755759
dnj-11,2960,WBGene00001029,OK,embryo.time,-0.0038289220319655,0.0002170227104988,-17.6429555375267,4.56074132721012e-69,-0.0054514057195492,count,3.86750864547418e-66,-0.284055420248516
nhr-105,632,WBGene00003695,OK,embryo.time,0.0038311515793813,0.0003583443848437,10.6912560693592,1.3509883157621398e-26,0.0020838590213701,count,9.781155406117901e-24,-5.10930182804924
plp-1,8799,WBGene00004046,OK,embryo.time,-0.0019927505557354,0.0001032720011019,-19.296135781941,4.1148220013277797e-82,-0.0028573572957719,count,3.5634358531498597e-79,0.487055497773585
hmg-5,3223,WBGene00001975,OK,embryo.time,-0.0067726845925183,0.000216009511377,-31.3536406306513,5.305961542161911e-210,-0.0097310869069362,count,4.9929098111743595e-207,0.896639159031911
