,Sample,Condition,Time,Batch
X270_330_rep1,X270_330_rep1,case,4,B_NULL
X330_390_rep1,X330_390_rep1,case,5,B_NULL
X390_450_rep1,X390_450_rep1,case,6,B_NULL
X450_510_rep1,X450_510_rep1,case,7,B_NULL
X510_580_rep1,X510_580_rep1,case,8,B_NULL
X580_650_rep1,X580_650_rep1,case,9,B_NULL
gt_650_rep1,gt_650_rep1,case,10,B_NULL
X270_330_rep2,X270_330_rep2,case,4,B_NULL
X330_390_rep2,X330_390_rep2,case,5,B_NULL
X390_450_rep2,X390_450_rep2,case,6,B_NULL
X450_510_rep2,X450_510_rep2,case,7,B_NULL
X510_580_rep2,X510_580_rep2,case,8,B_NULL
X580_650_rep2,X580_650_rep2,case,9,B_NULL
gt_650_rep2,gt_650_rep2,case,10,B_NULL
X270_330_rep3,X270_330_rep3,case,4,B_NULL
X330_390_rep3,X330_390_rep3,case,5,B_NULL
X390_450_rep3,X390_450_rep3,case,6,B_NULL
X450_510_rep3,X450_510_rep3,case,7,B_NULL
X510_580_rep3,X510_580_rep3,case,8,B_NULL
X580_650_rep3,X580_650_rep3,case,9,B_NULL
gt_650_rep3,gt_650_rep3,case,10,B_NULL
