,head_row_1,head_row_2,anterior,posterior,far_posterior
atf-2,133.0,129.8,194.5,338.8,211.8
cdc-14,107.7,82.7,113.1,83.4,37.9
ceh-13,3.6,1.9,92.0,35.4,13.9
ceh-32,20.4,66.8,17.9,2.0,0.0
ceh-34,1107.3,4283.0,129.6,45.8,61.8
ces-2,843.6,1761.4,1543.1,1941.9,1690.2
cey-4,240.2,302.6,177.2,153.4,84.8
daf-16,1.0,17.0,56.4,30.1,28.4
hel-1,151.0,142.9,161.7,96.3,34.1
hif-1,145.1,320.1,160.0,237.2,270.1
hlh-13,39.3,23.5,189.3,231.7,86.2
hlh-16,37.7,19.3,429.7,29.3,0.0
lin-39,3.8,0.0,266.6,896.9,8.8
lir-2,59.4,40.9,111.0,75.1,76.7
nhr-1,50.5,6.5,85.4,84.7,57.2
M03D4.4,102.8,897.9,551.7,588.3,473.4
hlh-30,10.0,0.0,87.8,37.9,31.0
W02D7.6,86.0,73.4,135.3,140.0,103.6
Y82E9BR.17,13.7,30.2,316.2,170.3,189.1
ztf-8,57.5,70.0,32.0,30.5,0.0
syd-9,809.9,2159.3,1182.4,1306.7,1409.7
nsy-7,36.7,129.3,256.2,152.3,181.1
ctbp-1,124.6,148.9,13.4,6.8,8.4
unc-62,133.1,1657.0,2070.0,2614.6,41.3
unc-86,1.9,0.0,70.6,2.3,29.5
xbp-1,419.7,433.1,707.9,644.3,624.2
dmd-6,87.9,39.1,122.2,94.7,121.8
ztf-7,134.7,169.0,248.8,238.5,112.5
ztf-26,71.3,97.1,0.0,4.3,19.0
