,90_160,160_210,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
aap-1,12,24,17,18,12,6,4,5,2,4
aat-1,33,5,14,2,3,9,9,30,2,1
aat-2,5,7,12,11,17,16,14,8,7,8
aat-3,9,10,8,6,7,10,21,19,9,5
aat-4,1,1,1,1,1,26,26,51,1,1
aat-5,1,2,1,1,1,3,10,27,31,28
aat-6,1,1,1,1,1,1,51,1,1,51
aat-8,1,1,1,1,1,4,4,91,1,4
aat-9,11,15,22,17,13,8,4,4,5,7
abf-1,1,1,1,1,1,1,82,10,10,1
abf-2,1,1,1,1,5,5,14,79,1,1
abf-5,1,1,1,1,1,101,1,1,1,1
abl-1,8,9,7,8,12,11,14,16,13,6
abt-2,1,21,7,7,31,11,4,1,1,24
abt-4,1,1,1,1,1,34,67,1,1,1
abt-5,1,29,53,15,1,5,1,1,1,1
abu-1,1,1,1,1,1,8,16,8,24,47
abu-4,1,1,1,1,1,101,1,1,1,1
abu-7,1,1,1,1,1,1,1,101,1,1
abu-8,1,1,1,1,3,10,12,14,44,19
abu-10,1,1,1,1,4,6,22,35,15,21
abu-11,1,7,1,1,9,14,25,20,15,15
ace-1,1,1,1,1,1,10,24,21,28,18
ace-2,1,1,1,21,1,1,21,1,1,61
ace-3,3,6,3,2,4,10,16,10,15,35
ace-4,1,1,1,11,1,41,21,11,1,21
acn-1,18,4,5,4,5,20,19,18,9,2
aco-1,29,11,12,12,10,7,7,8,5,5
aco-2,4,4,4,4,6,9,15,16,21,22
acr-2,1,15,4,1,36,18,8,4,1,18
acr-3,1,1,1,1,1,17,51,1,1,34
acr-5,1,1,1,1,1,1,1,101,1,1
acr-6,1,1,1,1,34,1,1,67,1,1
acr-7,2,3,3,5,3,2,4,18,27,37
acr-8,1,1,1,1,1,3,12,25,35,27
acr-9,1,22,1,11,6,1,16,22,1,27
acr-10,1,53,32,1,1,1,16,1,1,1
acr-11,24,1,1,1,2,11,4,7,27,30
acr-12,8,7,23,20,10,2,5,4,10,16
acr-14,1,17,1,3,11,3,14,3,52,1
acr-15,1,1,1,1,3,14,23,29,20,13
acr-16,1,1,1,1,2,2,9,19,36,35
acr-17,64,1,1,1,10,1,5,15,1,8
acr-18,1,15,1,1,29,58,1,1,1,1
acr-19,1,1,41,41,10,1,1,1,1,6
acr-20,1,1,1,1,1,1,12,28,51,12
lgc-11,1,5,1,5,5,3,23,1,21,41
acr-23,1,1,1,1,1,7,4,1,1,91
act-1,2,4,3,4,4,2,4,14,25,44
act-2,18,20,16,15,9,5,4,7,7,4
act-3,3,3,2,4,6,8,9,13,21,36
act-4,3,6,5,7,11,14,15,16,15,14
act-5,1,1,6,2,2,9,7,17,33,27
acy-1,1,4,10,11,17,23,14,11,10,5
acy-2,1,22,1,1,1,5,5,48,22,1
acy-3,1,1,1,2,10,24,28,13,12,12
acy-4,1,24,1,18,6,1,6,6,42,1
add-1,2,4,1,6,5,55,23,3,4,1
add-2,5,8,19,20,13,16,13,2,5,5
adm-2,11,9,12,12,10,12,12,10,7,10
adm-4,23,5,19,11,10,9,6,10,6,7
adr-1,26,19,19,15,10,5,3,3,3,3
adr-2,15,17,19,18,13,9,6,4,3,2
ads-1,5,5,7,8,4,6,15,11,20,25
adt-1,1,11,1,1,4,4,6,4,47,28
adt-2,15,3,15,11,18,7,1,7,1,28
aex-1,1,1,1,8,1,15,8,15,58,1
aex-2,1,1,1,1,1,17,1,51,1,34
aex-3,6,1,23,16,8,6,3,13,6,23
aex-5,1,1,1,1,22,32,13,7,7,22
aex-6,15,14,11,16,10,6,10,3,10,9
age-1,8,8,15,13,15,13,8,11,7,7
ags-3,16,10,13,12,8,8,6,4,6,19
agt-1,6,13,17,16,16,11,7,6,7,6
agt-2,16,17,18,17,12,8,6,6,3,3
aha-1,7,11,9,11,12,12,13,10,7,12
ahr-1,1,10,1,1,28,10,46,10,1,1
aip-1,19,17,17,16,11,7,6,3,6,4
air-1,32,23,19,16,8,1,1,2,1,2
air-2,26,26,22,19,5,1,1,3,1,1
ajm-1,3,4,6,6,11,14,12,14,23,12
aka-1,18,12,20,17,11,8,6,5,3,6
akt-1,7,6,4,5,6,10,14,12,16,24
akt-2,13,10,4,4,4,5,11,7,29,19
