gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
WBGene00013868,ZC373.3,BWM_far_posterior,0.20428579282109,0.593617684049692,0.225050916496945,0.907731441404119,0.175999554512029,9.366712521193371e-245,9.47068303017861e-240
WBGene00013957,sre-23,BWM_head_row_1,0.284533072552284,0.658225082676583,0.32256711409396,0.882089525311632,0.277102684827657,0.0,0.0
WBGene00004024,php-3,BWM_far_posterior,0.238407335065409,0.328954520586331,0.272912423625255,0.873567175500864,0.209147658900634,3.14198335824415e-292,3.17685937352066e-287
WBGene00007966,maph-1.3,BWM_head_row_1,0.442933534978623,1.07132382672753,0.509228187919463,0.869813465724083,0.439126283357634,0.0,0.0
WBGene00013421,fbxa-220,BWM_head_row_1,0.252139538077433,0.647225312941674,0.290687919463087,0.867389118003752,0.246326403503728,0.0,0.0
WBGene00000968,dhs-4,BWM_far_posterior,0.377577866911499,1.2844539629494,0.438900203665988,0.860281822058217,0.317023139620142,0.0,0.0
WBGene00003395,mom-2,BWM_far_posterior,0.687183980462348,7.8746617967072,0.813645621181263,0.844574053584513,0.588185946873825,0.0,0.0
WBGene00018728,frpr-8,BWM_head_row_1,0.250489542346713,0.378595180307264,0.29739932885906,0.8422666698936,0.245721407976953,0.0,0.0
WBGene00001184,egl-15,BWM_head_row_1,0.278279341872109,0.470011183978971,0.335570469798658,0.829272438778885,0.27300942993203,0.0,0.0
WBGene00022242,sfrp-1,BWM_head_row_1,0.788479097186678,9.84522016783348,0.951342281879195,0.828806952245608,0.825818976706885,0.0,0.0
WBGene00009560,psa-3,BWM_far_posterior,0.279759489829109,0.858137904281499,0.338085539714868,0.827481382566823,0.229778504090471,4.5e-322,4.545903e-317
WBGene00006873,vab-7,BWM_far_posterior,0.266744609385779,0.864557839294661,0.326883910386965,0.816022449896681,0.201005142830414,1.6336916168993398e-280,1.65182559384692e-275
WBGene00000454,ceh-33,BWM_head_row_1,0.231763330126557,0.620587613073079,0.284815436241611,0.813731633316219,0.230740289136326,0.0,0.0
WBGene00003779,nob-1,BWM_far_posterior,0.20856827531902,0.320103150233827,0.264765784114053,0.787746332166453,0.168139206833721,1.39284671397218e-233,1.40830731249727e-228
WBGene00006195,str-148,BWM_head_row_1,0.357150591765918,1.01072088957795,0.453439597315436,0.787647558529091,0.356742052317809,0.0,0.0
WBGene00001377,eya-1,BWM_head_row_1,0.645389046048413,2.79175751432335,0.823406040268456,0.783804119092927,0.628620061457833,0.0,0.0
WBGene00001863,him-4,BWM_head_row_1,0.281241442041461,0.943127860271011,0.362835570469799,0.775120922343172,0.256970793644825,0.0,0.0
WBGene00006983,zig-6,BWM_head_row_1,0.473663501734625,6.38409578813671,0.680788590604027,0.695757109140693,0.49286954708089,0.0,0.0
WBGene00044921,F53C11.9,BWM_anterior,0.232744298958636,1.46637715947626,0.342901175110769,0.678750368479932,0.195397797172306,0.0,0.0
WBGene00016979,C56G2.4,BWM_head_row_1,0.284546857707389,0.578043749315467,0.434563758389262,0.654787363681869,0.244539345752551,0.0,0.0
WBGene00003166,mec-2,BWM_head_row_1,0.271140750557666,0.576201956908035,0.415268456375839,0.652928837706542,0.25516160367043,0.0,0.0
WBGene00002255,lbp-3,BWM_posterior,0.53210876253634,4.99483255500676,0.836674219975597,0.635980827223121,0.518313352917175,0.0,0.0
WBGene00011345,dma-1,BWM_posterior,0.254670768387961,1.03444738799365,0.421648945441869,0.603987680133003,0.216520129716667,0.0,0.0
WBGene00020895,T28D9.3,BWM_posterior,0.252187082371203,1.11930926597217,0.420951716925222,0.599087905409355,0.216263706237871,0.0,0.0
WBGene00003024,lin-39,BWM_posterior,0.260631499202912,1.22281920510739,0.440125501132996,0.592175410268161,0.198423935535357,0.0,0.0
WBGene00000857,cwn-1,BWM_posterior,0.395479247722105,2.04782499290969,0.708732787170995,0.558008963153398,0.471688994155169,0.0,0.0
WBGene00000437,ceh-13,BWM_anterior,0.184991685608326,0.477599620805845,0.355037565016375,0.521048204011297,0.158794871807155,0.0,0.0
WBGene00013542,lron-12,BWM_head_row_1,0.235319018489512,0.994231642051713,0.465604026845638,0.505405891963059,0.178575799828676,0.0,0.0
WBGene00006580,tlp-1,BWM_far_posterior,0.212424523146926,1.01501812805162,0.431771894093686,0.491983211628023,0.0730543143026062,6.63044015551096e-101,6.7040380412371296e-96
WBGene00003238,mig-1,BWM_posterior,0.284841180956444,1.61744223596445,0.616001394457033,0.462403467783565,0.151922865948372,0.0,0.0
WBGene00001434,fkh-2,BWM_head_row_1,0.23031766471384,2.41748364715061,0.501258389261745,0.459478922742924,0.121159334605591,4.59009675596946e-264,4.6410468299607204e-259
WBGene00003246,mig-14,BWM_far_posterior,0.189818785694012,0.720240614859626,0.413441955193483,0.459118343722955,0.0594567606403674,2.7679329805656897e-82,2.7986570366499698e-77
WBGene00000455,ceh-34,BWM_head_row_1,0.381009598873765,4.91039252626921,0.834731543624161,0.456445670208571,0.394933336270939,0.0,0.0
