gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
WBGene00044584,T03G11.9,BWM_head_row_1,0.331394410845876,0.394840461135893,0.347142857142857,0.954634105317338,0.332870231222334,1.0724727061859e-208,1.08437715322457e-203
WBGene00013868,ZC373.3,BWM_far_posterior,0.328483721249857,0.817516030901641,0.344978165938865,0.952186989445788,0.299353668831947,2.46708279541097e-103,2.4944674144400402e-98
WBGene00018728,frpr-8,BWM_head_row_1,0.475408975642499,0.705765881200894,0.508571428571429,0.934792929634128,0.476306225268669,1.33684940083e-313,1.35168842917661e-308
WBGene00015792,C15C7.6,BWM_head_row_1,0.308739814113576,0.520771066832866,0.337142857142857,0.915753685930099,0.304658510376175,2.39682406360064e-189,2.42342881070661e-184
WBGene00003395,mom-2,BWM_far_posterior,0.859860554115883,9.82679613361876,0.956331877729258,0.899123593116609,0.835910788961171,4.793327e-317,4.84653300144e-312
WBGene00007966,maph-1.3,BWM_head_row_1,0.640335020531077,1.66741531788714,0.715714285714286,0.894679669404698,0.652402807182432,0.0,0.0
WBGene00006195,str-148,BWM_head_row_1,0.303354814354448,0.537386327101321,0.35,0.866728041012709,0.295410174644955,4.3540308170467e-183,4.40236055911592e-178
WBGene00000968,dhs-4,BWM_far_posterior,0.305826347363302,1.12824762831937,0.353711790393013,0.86462016723699,0.256214441502664,4.84409649796602e-88,4.89786596909345e-83
WBGene00001184,egl-15,BWM_head_row_1,0.42044048416696,0.696719736760301,0.487142857142857,0.863074307674112,0.427670130534629,9.941970949490071e-277,1.00523268270294e-271
WBGene00009560,psa-3,BWM_far_posterior,0.279137512112946,1.00505248281259,0.327510917030568,0.852299870318196,0.225197270044747,3.4349325416350698e-77,3.47306029284722e-72
WBGene00006668,twk-13,BWM_far_posterior,0.269842660120308,0.810819275105148,0.318777292576419,0.846492728322609,0.231868243571793,1.6301817870611e-79,1.64827680489747e-74
WBGene00022242,sfrp-1,BWM_head_row_1,0.836166009510737,13.0630518950112,0.988571428571429,0.845832668580225,0.891287659272712,0.0,0.0
WBGene00001377,eya-1,BWM_head_row_1,0.758798200659215,3.13769365166793,0.901428571428571,0.841772964281221,0.784065947877409,0.0,0.0
WBGene00021067,W06H8.4,BWM_head_row_1,0.287794812265382,0.434584148708054,0.344285714285714,0.835918541849657,0.27903556863959,4.19117623626671e-172,4.2376982924892706e-167
WBGene00003166,mec-2,BWM_head_row_1,0.41464423662698,0.720098926526656,0.501428571428571,0.826925828031014,0.423549420598059,1.14076271113091e-273,1.1534251772244599e-268
WBGene00017013,ensh-1,BWM_head_row_1,0.281104901708315,0.532677603158961,0.34,0.826779122671515,0.279977475424148,9.86111482344679e-173,9.97057319798705e-168
WBGene00044144,M153.4,BWM_head_row_1,0.302090357699202,0.563066414434955,0.37,0.816460426214058,0.288155279338362,3.31631563679563e-178,3.3531267403640604e-173
WBGene00006874,vab-8,BWM_far_posterior,0.673543693128213,3.63665870710806,0.834061135371179,0.807547150399794,0.612677069696813,2.66849332686671e-222,2.69811360279493e-217
WBGene00006983,zig-6,BWM_head_row_1,0.766811549647399,13.5063873156425,0.975714285714286,0.78589763507054,0.888119297936477,0.0,0.0
WBGene00016979,C56G2.4,BWM_head_row_1,0.370696251851615,0.687376108198455,0.514285714285714,0.720798267489251,0.358545971321609,1.18922025143525e-226,1.20242059622618e-221
WBGene00002255,lbp-3,BWM_posterior,0.541418205078352,3.6950365800672,0.75958904109589,0.712777799291608,0.540436020989981,0.0,0.0
WBGene00044921,F53C11.9,BWM_anterior,0.394013079526166,2.67755067208702,0.552834149755074,0.712714798282142,0.367476282513297,2.4779907793439298e-294,2.50549647699465e-289
WBGene00000857,cwn-1,BWM_posterior,0.517976592932878,2.1760173181016,0.757534246575343,0.683766569332733,0.590478188275987,0.0,0.0
WBGene00011345,dma-1,BWM_posterior,0.374542144351217,1.46297729412384,0.55,0.680985717002213,0.346042419792151,7.40802550590366e-276,7.49025458901919e-271
WBGene00010727,K09G1.1,BWM_head_row_1,0.394891671762074,1.26408449781392,0.62,0.636922051229152,0.359070143087217,5.07210149574159e-227,5.1284018223443194e-222
WBGene00003024,lin-39,BWM_posterior,0.311662663294766,1.49010553897233,0.493150684931507,0.631982622792164,0.240300084334922,1.3381550058713e-183,1.3530085264364699e-178
WBGene00017980,F32B5.7,BWM_head_row_2,0.278531862967411,0.736801419892125,0.481927710843373,0.577953615657378,0.200327057143599,6.07980725083352e-112,6.14729311131777e-107
WBGene00008760,F13E9.11,BWM_far_posterior,0.282284945131637,1.90171389376008,0.537117903930131,0.525554897846706,0.118485578001069,9.99174253743362e-41,1.0102650879599101e-35
WBGene00002253,lbp-1,BWM_posterior,0.423672783951743,9.91295180695166,0.81027397260274,0.522875963287865,0.343553512307787,1.40057614553108e-273,1.41612254074647e-268
WBGene00000272,bro-1,BWM_far_posterior,0.339492889225138,1.97319237837647,0.689956331877729,0.492049820459219,0.143769031497821,2.98828026417199e-49,3.0214501751043e-44
WBGene00019249,H28G03.1,BWM_head_row_1,0.331226692197223,1.17838161213758,0.68,0.487098076760623,0.260024136600256,1.65701824956026e-159,1.67541115213038e-154
WBGene00003238,mig-1,BWM_posterior,0.324846548219519,2.04506658120637,0.68013698630137,0.477619295468779,0.18724705958436,1.90512612170901e-140,1.92627302165998e-135
WBGene00009514,F37H8.5,BWM_posterior,0.455866837162266,13.4560543385101,0.971917808219178,0.469038465297328,0.376769997597118,2.03430527566451e-304,2.05688606422438e-299
WBGene00000455,ceh-34,BWM_head_row_2,0.327600895986065,4.73093252315371,0.710843373493976,0.460862277404126,0.256598916525407,3.0219609065230102e-145,3.05550467258541e-140
WBGene00006893,spon-1,BWM_posterior,0.368002507690139,2.51427171241583,0.823972602739726,0.446619834769412,0.358339909564808,3.4764740950049e-287,3.51506295745945e-282
WBGene00001434,fkh-2,BWM_head_row_2,0.323548505890154,1.64622416368272,0.757314974182444,0.427231095277681,0.290520931348813,6.85053340348052e-166,6.926574324259151e-161
WBGene00013329,Y57G11C.40,BWM_head_row_2,0.291489449166435,2.00209881904199,0.700516351118761,0.416106560112282,0.157426447992328,2.6905146577121998e-87,2.7203793704127997e-82
WBGene00002011,hsp-12.2,BWM_far_posterior,0.390723937750393,13.9444841660681,0.960698689956332,0.406708098840182,0.187642284204494,3.29121729981451e-64,3.32774981184246e-59
WBGene00015148,hpo-28,BWM_head_row_1,0.373946181669755,3.18745007349371,0.925714285714286,0.403954208593871,0.294127667567124,3.18921857810314e-182,3.2246189043200896e-177
WBGene00012478,mxt-1,BWM_head_row_1,0.369802035637514,4.4430304402348,0.92,0.401958734388602,0.277172099509771,7.31772618524662e-171,7.39895294590286e-166
WBGene00010593,gsnl-1,BWM_far_posterior,0.382552779092821,13.629083576577,0.965065502183406,0.396400843494371,0.285597020591678,1.97213178313212e-98,1.99402244592488e-93
WBGene00000455,ceh-34,BWM_head_row_1,0.349040208410269,3.9025627288179,0.882857142857143,0.395352986872473,0.421407699833303,4.40173905701147e-272,4.4505983605443e-267
