"","gene_id","gene_short_name","cell_group","marker_score","mean_expression","fraction_expressing","specificity","pseudo_R2","marker_test_p_value","marker_test_q_value"
"1","WBGene00003893","ost-1","BWM_anterior",0.260118338903529,34.8501573526285,1,0.260118338903529,0.0390561922383957,0.000111891183797101,1
"2","WBGene00003893","ost-1","BWM_posterior",0.261157167341474,35.0344120583726,1,0.261157167341474,0.0935112733208914,1.23819839197296e-11,1.25194239412386e-06
"3","WBGene00016289","lntl-1","BWM_head_row_2",0.290894968606921,1.60713166305842,0.733333333333333,0.396674957191256,0.168048717820494,1.681021011013e-15,1.69968034423525e-10
"4","WBGene00000535","cpi-1","BWM_posterior",0.230323359922012,1.3345759393756,0.573275862068966,0.401767063924112,0.129657429271025,9.35699328943201e-16,9.4608559149447e-11
"5","WBGene00022242","sfrp-1","BWM_head_row_1",0.774630275425393,8.2930759333399,0.975,0.79449259017989,0.864494933241661,2.50209958346239e-136,2.52987288883882e-131
"6","WBGene00004477","rps-8","BWM_head_row_2",0.260441291311313,5.78916407823522,0.966666666666667,0.269422025494461,0.0353887905177757,0.000337658420191505,1
"7","WBGene00015619","C08G9.1","BWM_posterior",0.273191309329895,2.21092707083194,0.788793103448276,0.346340894888173,0.295012398527826,4.10086429308958e-36,4.14638388674287e-31
"8","WBGene00001113","dur-1","BWM_anterior",0.247252228501772,1.53339055252266,0.676470588235294,0.365503294306968,0.0853358324620943,8.91610866214505e-09,0.000901507746829486
"9","WBGene00001113","dur-1","BWM_posterior",0.233361431115288,1.53505413557093,0.637931034482759,0.365809810937479,0.137266129777951,1.2329117549877e-16,1.24659707546806e-11
"10","WBGene00012382","ttr-16","BWM_far_posterior",0.438846661701455,162.541921224459,1,0.438846661701455,0.388451081147529,8.61248736555485e-19,8.70808597531251e-14
"11","WBGene00012382","ttr-16","BWM_posterior",0.334516917275027,115.417686119125,0.995689655172414,0.335965042458036,0.708576976628451,9.76726250583583e-105,9.87567911965061e-100
"12","WBGene00012383","ttr-17","BWM_far_posterior",0.319417681208121,14.446285503799,1,0.319417681208121,0.123722592986382,9.8985279552041e-07,0.100084016155069
"13","WBGene00012383","ttr-17","BWM_posterior",0.41301295368323,20.4731136942003,0.987068965517241,0.418423603731482,0.636291821907502,4.12877527621591e-90,4.17460468178191e-85
"14","WBGene00004480","rps-11","BWM_head_row_2",0.254389419314792,4.87989970182806,0.966666666666667,0.263161468256682,0.0363576413485165,0.000279297142923217,1
"15","WBGene00004424","rpl-12","BWM_head_row_2",0.252154112921943,17.6737648376508,1,0.252154112921943,0.0948773227842956,3.23568410493217e-09,0.000327160019849692
"16","WBGene00013308","nuo-3","BWM_head_row_1",0.306757441075054,3.52032954068734,0.95,0.322902569552688,0.208688917501686,1.82301153325321e-24,1.84324696127232e-19
