,slope,interecept,r,p,std_err,r^2
arrd-15,2.7798860844228106e-05,-0.0036731276039673674,0.33872182433369113,0.45737965933125424,3.453314118867497e-05,0.11473247427994392
act-1,,,,,,
act-4,0.0002222879005606519,0.18076056823222725,0.2505483800785301,0.5878795737881475,0.0003841150053422478,0.06277449075997557
vab-7,-6.462263537631845e-05,0.03771023348821121,-0.7078292591044528,0.0751538439147188,2.8841094517985697e-05,0.5010222600443586
vab-8,-5.398762092791685e-05,0.04854321216352223,-0.4254174522109527,0.3413272468143039,5.1361906584038816e-05,0.1809800086456582
spon-1,-0.0001854652795341243,0.11965516241752928,-0.8908474194042528,0.007122938696385352,4.229797113279349e-05,0.7936091246592167
sdz-38,4.451164121505299e-05,-0.004251720131485809,0.2522182393185966,0.5853091580942651,7.637294936945361e-05,0.06361404024497287
xbp-1,-0.00011289751822245474,0.07306643300595518,-0.6640543414287083,0.10378451188752312,5.6847849631657394e-05,0.44096816837031555
sgca-1,3.875522489017994e-06,0.008770470371509449,0.04997757695920763,0.9152613511191365,3.4635941927489744e-05,0.002497758198713522
gsnl-1,-0.00017103598176513373,0.12695669205678006,-0.3655703986428701,0.4200131287470059,0.0001947512377383316,0.13364171636390698
ham-1,-7.704953835193913e-05,0.045750858770097075,-0.7784204939975709,0.039235388564680826,2.7787712668415475e-05,0.6059384654754222
pxn-2,-7.056555498269905e-05,0.04445593522710717,-0.6442030194324582,0.11836777223430565,3.7468288284701864e-05,0.4149975302458961
hlh-1,-9.604539721700663e-05,0.058553328241348866,-0.5856705198340151,0.16708249278097342,5.944530838185428e-05,0.3430099578026454
M03D4.4,-6.0754698019338275e-05,0.03606930523838244,-0.7408062527112393,0.056804861755519055,2.4636425956512435e-05,0.5487939040560686
hmg-1.1,-0.00019389190759959652,0.12515935376795523,-0.910268326473514,0.004411796743064303,3.9438947921986054e-05,0.8285884261808918
hmg-1.2,-7.969454883498676e-05,0.0521678107860742,-0.6564766893430486,0.10923402912884485,4.095388206895044e-05,0.4309616436508095
ceh-33,0.00013467983257571295,-0.04435302574674646,0.8560819735771414,0.013944707523319439,3.636288958615659e-05,0.7328763454837335
ceh-34,-0.0012324279941606326,0.7614662531720368,-0.8107046511629451,0.02696368043044882,0.0003980225409643378,0.6572420314172325
hnd-1,-0.0001855333315675697,0.10782598364668303,-0.6262775124031262,0.1323860138206389,0.0001032861446748629,0.39222352254184795
T20F10.2,-5.473097812725401e-05,0.037870925099189254,-0.6634988892988206,0.10417904175152037,2.760021823274601e-05,0.4402307761007686
hsp-12.1,8.22666348241184e-05,-0.013149197386030601,0.6357808682287899,0.12485412841405416,4.4665810073263873e-05,0.40421731240575387
ces-2,-0.00012705306083801243,0.07532725371824142,-0.7359287584688405,0.05934464176545945,5.2274616819861804e-05,0.541591137541489
cey-1,-3.213225693590844e-05,0.04721952430356935,-0.4229872509347211,0.34439099574556226,3.07837951366786e-05,0.17891821445331274
lev-11,2.1256263989815875e-05,0.2011306614367369,0.02385477270734157,0.9595144015409065,0.0003983850634963262,0.0005690501809189283
pck-1,2.0335021602592905e-05,-0.0009440102474828228,0.23660149183358067,0.6094805045612466,3.73450197802823e-05,0.055980265937875945
D2063.1,2.9957404669971192e-05,-0.0018203554911338671,0.41778848823514275,0.35098370739323803,2.9134584686111097e-05,0.17454722090180602
tlp-1,-9.657724652950858e-05,0.05955816128522538,-0.8367500085457987,0.01890203278512573,2.8264785925461225e-05,0.7001505768013943
tni-1,7.002086498552656e-05,0.0010248926947021425,0.7158878497693035,0.07041449635024481,3.054125159766104e-05,0.5124954134473169
tni-3,0.0002131678906335142,-0.0781955304038473,0.9440646307559311,0.0013788930452449239,3.329918947247753e-05,0.8912580270443324
tnt-3,-0.0001283156260741103,0.15520813635408715,-0.17470107501420684,0.7079233544801637,0.0003234210557991073,0.030520465611119527
F19C7.8,4.4259837664102264e-05,-0.010559132815657584,0.38467658673445837,0.39417818817217387,4.749577245848144e-05,0.14797607638167326
unc-15,-4.369271876735238e-05,0.050241720740426224,-0.17552786107293378,0.7065838235294726,0.00010959291081815971,0.03081003001283914
egl-13,3.8125320031038637e-06,0.005684508835429504,0.04703807633468635,0.9202339942015696,3.620745129078976e-05,0.0022125806252677803
mlc-1,-2.4461859516609682e-05,0.024639355082510517,-0.2808230012902665,0.5418337873186891,3.738817291350111e-05,0.07886155805367302
mlc-2,4.0175496962964725e-05,0.0008958442461259285,0.5665036033451011,0.18485183691224513,2.6135572866251425e-05,0.32092633260298364
mlc-3,0.00031415410189164223,-0.010493434790623424,0.3974420458807928,0.3772832075973966,0.0003243771379730437,0.1579601798339102
mlp-1,-7.92708504998416e-05,0.056906327955441066,-0.7680749672754592,0.04371345036546669,2.955623122923421e-05,0.5899391553551977
unc-62,-0.00020655206958041937,0.13351795651617027,-0.8203761230609241,0.023781555749291403,6.438639876552904e-05,0.6730169832884725
mup-2,7.547006210272057e-05,-0.016715251840359293,0.611393558859281,0.14463309140208105,4.3684226998722e-05,0.37380208381461716
emb-9,2.7486414082922974e-05,0.007472242320358492,0.26247855129072584,0.5695923312496525,4.518961008619992e-05,0.0688949898876782
myo-3,5.8487670531005934e-05,-0.013254056064238235,0.589955149688046,0.1632312392906508,3.579879791387848e-05,0.3480470786434447
syd-9,-9.403344398889175e-05,0.057959552228581325,-0.8734213971613897,0.010215298539602428,2.3446142497913838e-05,0.762864937019354
eya-1,-0.00043166039766088507,0.2822877276241639,-0.9373111389683157,0.001826781374306836,7.177419059044843e-05,0.8785521712340814
set-18,7.987494758065924e-05,-0.01986469687468441,0.8825336008886677,0.008518171956218906,1.9033669800166844e-05,0.7788655566975182
unc-87,9.161304526470464e-05,-0.03288882092507678,0.9567639803670209,0.000729346652261907,1.245545439292771e-05,0.9153973141277452
fkh-2,-0.0009420383952826973,0.5588136087808125,-0.7345174208150864,0.060090803489786446,0.0003892143539691296,0.5395158414808467
pat-10,0.0008053734742851567,0.40058271983358507,0.794612685720727,0.03276046735645897,0.0002751876882947591,0.6314093203083068
unc-112,-6.27661977455322e-05,0.050071239826732755,-0.7026571084398865,0.07828276969152899,2.842429832283412e-05,0.4937270120411024
unc-120,-0.0002097479508674815,0.1269648065629015,-0.7116452660129676,0.07288899609035919,9.26018331995073e-05,0.5064389846386674
