,head_row_1,head_row_2,anterior,posterior,far_posterior
act-1,6663.7,6301.6,8954.7,6653.9,5479.3
act-4,14335.8,21197.4,20478.8,23134.8,24961.5
sdz-38,1257.3,18.0,2.8,4.1,3.2
spon-1,187.9,128.6,628.9,1496.7,1186.9
xbp-1,2102.8,1567.4,916.3,1151.3,1068.2
gsnl-1,697.9,1487.0,829.0,817.1,2168.5
ham-1,470.3,0.0,20.0,0.0,26.4
pxn-2,1057.1,481.4,427.3,148.5,261.8
hlh-1,1699.7,791.6,709.4,780.1,864.9
M03D4.4,102.8,897.9,551.7,588.3,473.4
hmg-1.1,1388.7,1994.4,2352.5,2824.2,3273.2
hmg-1.2,1608.5,1938.8,2191.4,2652.9,2776.4
ceh-33,1866.5,183.1,22.9,13.7,0.0
ceh-34,8396.8,2201.8,31.7,0.0,10.6
hnd-1,1779.9,208.8,90.3,136.3,351.2
T20F10.2,992.1,1139.1,798.4,452.1,322.9
hsp-12.1,2245.8,1103.1,1257.4,1301.0,1711.5
ces-2,843.6,1761.4,1543.1,1941.9,1690.2
cey-1,1198.5,2301.6,1681.4,1724.8,1739.5
lev-11,13184.9,16292.5,18089.0,20132.5,23270.2
tbx-2,21.2,1207.7,550.9,563.2,196.3
D2063.1,911.2,86.5,183.2,284.5,606.9
tlp-1,12.0,58.5,282.4,293.0,1261.4
tni-1,813.0,3166.6,4011.2,3720.5,5168.9
tni-3,4346.5,845.4,88.1,7.8,0.0
tnt-3,7391.6,13074.8,14189.5,13803.8,12753.2
F19C7.8,870.2,2003.0,1888.5,2365.8,2776.5
unc-15,2266.4,3175.7,3138.9,4095.0,4478.6
mlc-3,25819.8,27319.8,28540.8,29763.4,26580.0
mlp-1,986.4,1940.8,1544.2,1508.4,1725.2
unc-62,26.1,652.1,1562.5,2261.6,99.0
emb-9,1595.6,2323.1,2674.2,2036.6,1733.5
mup-2,1966.1,1052.4,1287.6,1480.5,2352.2
myo-3,1748.1,2908.4,3608.6,2736.6,2115.0
syd-9,809.9,2159.3,1182.4,1306.7,1409.7
eya-1,2378.3,530.6,78.2,36.2,44.8
fkh-2,7072.5,2797.5,304.5,3.0,25.4
pat-10,57481.9,77354.4,95774.7,80180.4,64946.6
unc-112,1164.1,856.9,493.1,635.8,845.5
unc-120,2369.7,1155.4,730.3,783.3,548.6
