,slope,interecept,r,p,std_err,r^2
act-1,,,,,,
act-4,0.00037416969620780494,0.11611006999019788,0.44688064800723537,0.31477719564689793,0.00033497920053501877,0.1997023135633666
sdz-38,3.349654466202292e-05,-0.0022533633966425933,0.2342637291033339,0.6131238574399578,6.216608931798674e-05,0.05487949477340021
spon-1,-0.00016472868676836364,0.10558258344001714,-0.9363802183262461,0.001894391388655795,2.7613624161967595e-05,0.8768079132727082
xbp-1,-0.00011092346231697608,0.0719929302715555,-0.6228868175767652,0.13512772727372405,6.230304146781017e-05,0.3879879875109104
gsnl-1,-6.489058022912455e-05,0.043341667425902106,-0.6751090869648412,0.09609492544526903,3.171122588987263e-05,0.45577227930250147
ham-1,-7.802658324879006e-05,0.046472268638339156,-0.7765064189629416,0.04004376027744969,2.8315775154174334e-05,0.6029622186906514
pxn-2,-7.13454788859891e-05,0.045272062221603265,-0.6584323898413503,0.10781369384076339,3.6471824938618545e-05,0.4335332119921919
hlh-1,-9.831078589842555e-05,0.060143176987661584,-0.5790663276904233,0.1731055669934474,6.190060224822647e-05,0.33531781186487275
M03D4.4,-6.609446896914784e-05,0.03929437815482774,-0.7967929557114412,0.031938026084842204,2.24157372415863e-05,0.6348790142713746
hmg-1.1,-0.0001538255039435153,0.10026542080676959,-0.8004442190218805,0.030586790048538766,5.1515066414109296e-05,0.6407109477655482
hmg-1.2,-7.451058119953441e-05,0.04848940254148748,-0.7149257131049512,0.07097164762662388,3.2589200857332024e-05,0.511118775258623
ceh-33,0.00012069124975065858,-0.04072163540710654,0.9239250029598027,0.0029418847343863556,2.2349566490712496e-05,0.8536374110942715
ceh-34,-0.0012675833286656865,0.7620825649785702,-0.7841438323332292,0.03687259247292223,0.0004486347897531483,0.6148815497862434
hnd-1,-0.00018988698051644923,0.11029675130587027,-0.6273406796624778,0.13153222222344998,0.0001054148925903797,0.39355632835937954
T20F10.2,-5.3850716107945845e-05,0.03547863771829933,-0.6372926222278059,0.12367676828812484,2.912117788342766e-05,0.40614188634599296
hsp-12.1,4.1102315744654794e-05,0.0029865536158181667,0.5368322710949412,0.21407620559742813,2.8888504230470615e-05,0.2881888872889525
ces-2,-0.00011991389032175457,0.07071891912102617,-0.7151639014037705,0.070833498753155,5.241181916368999e-05,0.511459405871062
cey-1,-6.841712654536545e-05,0.05276676893138517,-0.893907195019246,0.006645504991567321,1.53429796173677e-05,0.7990700733071763
lev-11,0.0002634179370091283,0.053322042971267525,0.49013106706692383,0.2641589702633989,0.0002095026982185062,0.2402284629041614
tbx-2,-6.207333123090119e-05,0.03861803175391043,-0.7882336778808973,0.03523391277696596,2.1672332051083015e-05,0.6213123309456461
D2063.1,-3.5522300729032597e-06,0.0168990612355143,-0.02817647991010718,0.9521851077944143,5.635817017165021e-05,0.0007939140201246736
tlp-1,-8.271903031146234e-05,0.051044480336012374,-0.8185380087293277,0.024369052435902573,2.596184838224405e-05,0.6700044717345729
tni-1,0.0001187556041904062,-0.02095758461275502,0.8542834223066806,0.01436989798151461,3.231541010732285e-05,0.7298001656280144
tni-3,0.0002132205501343136,-0.08010437199142992,0.8766255390964132,0.009598250809842576,5.233971862537449e-05,0.768472335796077
tnt-3,-0.0002466121153219384,0.2432934123925443,-0.2638304338130077,0.567531525409628,0.00040321608538549346,0.06960649780595983
F19C7.8,4.185063531225878e-05,-0.009897587009257495,0.32608005000413076,0.47538387963560585,5.426025760380579e-05,0.10632819901069641
unc-15,6.871095576793482e-06,0.024234767869019177,0.04685178593984303,0.9205492057117397,6.551453387558863e-05,0.002195089845752873
mlc-3,0.0005402857897874166,-0.12742394081072725,0.7936778802712153,0.0331166705653379,0.00018519932012140932,0.6299245776318096
mlp-1,-8.596087933161797e-05,0.059316432645831044,-0.7515209875980653,0.0514371141271709,3.374638544504965e-05,0.5647837948003714
unc-62,-0.00026499693639649575,0.17333009980172148,-0.9648848659531237,0.0004354823226332004,3.226235572712952e-05,0.9310028045453775
emb-9,-1.1214024903510379e-05,0.03590420270299577,-0.15302744510541577,0.7432435993515241,3.238632560416683e-05,0.023417398955491036
mup-2,2.028908120210747e-05,0.014156345827259074,0.17632921205951402,0.7052860757220567,5.065174177979991e-05,0.031091991025529064
myo-3,3.416400778367947e-05,-0.0008830827731924271,0.33146807674737105,0.46767915976701563,4.3487911954561324e-05,0.10987108590260107
syd-9,-9.65784052774e-05,0.059183262277990575,-0.8724417317531038,0.010408391525582048,2.41945227509967e-05,0.7611545753043547
eya-1,-0.0004619816161122343,0.2983798514203884,-0.9430845873063661,0.0014393172941483247,7.285340297185127e-05,0.889408538814819
fkh-2,-0.0009538153217002389,0.5614691626039735,-0.7287334096226987,0.06320159982455315,0.00040084159222954343,0.531052382300324
pat-10,0.0006948912550389022,0.4678962600453348,0.7813473288218026,0.03801692395045622,0.00024822150782168387,0.6105036482569661
unc-112,-4.9012046230472336e-05,0.03455594136370153,-0.5982339886169824,0.15591607488627104,2.9359829312096644e-05,0.35788390513658386
unc-120,-0.0002118832472535686,0.12683451884780983,-0.6953908878389518,0.08279357681812587,9.792396504061391e-05,0.4835684868894456
