,head_row_1,head_row_2,anterior,posterior,far_posterior
act-1,2015.0,1782.1,1872.2,2035.5,2594.3
vab-15,3.4,0.0,0.0,4.2,37.1
spon-1,15.9,12.2,82.9,101.8,362.1
zyx-1,231.5,195.2,294.5,285.6,372.5
madf-5,8.0,4.1,1.6,2.5,27.4
nhr-153,0.0,0.0,3.1,2.7,10.1
ceh-20,10.0,18.3,32.2,34.8,83.9
pros-1,0.1,0.0,4.1,0.7,27.3
cey-1,2112.3,2101.8,1951.3,1942.7,2936.7
D1046.2,6.4,20.1,3.3,14.9,82.9
cey-3,0.0,0.0,0.0,0.0,14.2
D2030.7,0.0,0.0,6.4,3.3,14.7
cky-1,0.0,0.0,0.0,0.3,11.2
clp-1,3.0,3.3,10.2,29.3,55.2
dhhc-1,3.7,14.5,15.9,16.2,35.7
daf-12,1.9,0.0,3.3,2.0,16.5
dnj-11,21.8,2.7,21.2,20.7,81.4
dsc-1,0.0,0.0,0.0,0.0,72.5
dyc-1,191.5,203.3,150.9,232.8,564.4
F33H1.4,7.6,0.0,11.3,6.7,39.1
madf-2,5.0,3.6,4.3,4.6,25.2
row-1,26.3,0.0,12.1,37.7,92.3
ccch-2,0.0,0.0,0.0,0.0,16.4
egl-5,8.1,12.0,0.0,9.7,93.8
psa-3,0.0,0.0,4.2,3.3,10.9
egl-21,8.3,0.0,8.0,9.9,31.6
elt-6,5.7,0.0,2.9,2.8,32.8
klf-2,0.0,0.0,0.0,0.0,24.0
saeg-1,54.0,60.0,80.1,76.5,124.7
eor-1,20.3,12.0,25.2,4.3,78.0
ric-7,48.4,23.6,22.1,61.4,384.9
fkh-8,3.3,7.2,7.6,4.6,21.5
fkh-9,8.6,1.9,0.0,10.5,44.6
gei-15,83.1,136.2,132.6,138.2,279.7
glp-1,9.0,0.0,2.5,0.0,29.6
ztf-14,0.0,0.0,18.3,26.3,56.3
nhr-208,0.0,0.0,0.0,1.8,7.6
hlh-3,11.5,5.8,6.2,9.7,27.8
hlh-8,4.2,0.0,0.0,2.3,26.0
hmg-12,2.0,1.3,7.4,0.2,29.3
nfya-1,5.1,7.2,8.5,5.4,15.8
hsf-1,135.9,282.1,289.4,333.6,586.5
nhr-218,2.1,0.0,0.0,0.0,13.8
itr-1,0.0,0.0,1.1,3.5,31.0
sptf-2,2.1,0.0,0.0,0.0,11.6
lin-26,13.6,0.0,27.0,24.9,56.7
flh-1,4.2,3.2,0.0,7.5,33.4
Y17G7B.20,37.6,36.6,31.4,35.4,60.7
lin-54,6.8,0.0,9.9,2.9,24.5
lir-2,68.2,73.8,65.5,77.5,145.4
mab-9,0.0,0.0,0.0,0.2,3.2
pbo-5,4.2,0.0,0.0,118.3,530.5
dhhc-2,0.0,0.0,1.1,0.0,4.0
Y56A3A.18,141.4,165.6,184.8,193.9,369.7
mls-1,0.0,0.0,0.0,0.0,34.6
ceh-51,0.0,0.0,5.3,0.0,32.6
ztf-9,21.0,4.3,18.8,16.5,50.6
pyk-2,16.5,19.6,22.1,6.8,85.2
dhhc-4,16.6,19.9,10.4,18.6,52.4
nhr-13,2.2,6.7,11.2,5.0,30.0
nhr-17,4.8,5.3,5.0,7.4,32.7
nhr-22,0.2,4.7,3.7,6.5,20.2
nhr-28,3.1,0.0,0.0,0.6,12.7
attf-4,11.9,5.8,13.9,8.9,60.8
nhr-43,0.0,0.0,0.0,2.0,9.3
ztf-30,6.8,3.4,0.0,0.0,28.5
nhr-152,4.7,0.0,0.0,4.9,25.3
nhr-49,23.8,26.6,30.7,26.2,43.5
elf-1,5.1,0.0,10.8,0.0,86.2
flh-2,1.4,2.0,0.3,1.0,25.3
nhr-78,13.3,1.1,7.4,10.6,40.1
C50C3.5,21.5,12.6,3.5,14.4,70.7
nhr-86,2.3,2.8,4.6,0.0,24.1
nhr-90,0.0,0.0,0.0,1.1,13.6
D2063.1,887.9,642.5,962.0,1228.5,1801.5
nhr-97,0.0,2.9,3.4,0.0,14.3
nhr-100,38.7,52.2,71.9,49.0,109.4
F19C7.8,53.5,83.7,27.8,108.2,413.4
zip-8,3.8,3.5,3.5,5.3,13.0
nhr-131,2.0,0.0,3.1,2.8,13.3
nhr-132,49.3,46.6,47.3,51.0,69.0
nhr-137,0.0,0.0,0.0,0.5,5.4
nhr-183,0.0,0.0,6.4,5.9,17.0
nob-1,0.0,0.0,0.0,0.5,75.0
odr-7,3.4,0.0,0.0,0.8,19.7
oma-1,0.0,7.3,1.7,0.9,29.7
nhr-142,2.4,8.6,0.0,0.0,48.3
nhr-186,0.0,0.0,0.0,0.0,4.9
pat-6,422.2,390.6,417.1,413.5,782.8
ztf-13,10.3,8.3,8.8,5.4,27.6
php-3,5.1,0.0,0.0,1.9,76.8
madf-3,0.0,0.0,4.8,1.9,33.1
pos-1,0.0,0.0,0.0,1.8,39.7
lect-2,156.8,128.8,268.5,444.1,1064.5
aptf-1,0.0,4.9,5.2,6.9,23.3
rbr-2,36.0,39.8,46.1,38.1,79.4
rho-1,66.9,58.4,44.7,76.3,147.1
rnt-1,10.3,0.0,27.0,47.6,156.5
nhr-204,2.1,0.0,0.0,0.0,13.0
R02D3.7,10.6,5.3,3.4,8.8,23.7
ceh-93,5.4,6.4,1.7,5.4,16.9
sel-7,0.0,0.2,0.0,2.4,21.6
sem-4,0.0,18.6,3.0,52.1,210.6
sex-1,9.6,20.7,11.3,12.1,57.9
R144.3,15.7,7.8,22.8,18.8,50.2
nhr-212,0.0,0.0,0.0,0.0,0.9
sma-9,33.2,28.5,39.8,37.8,71.8
T10D4.6,0.0,2.5,0.0,3.2,33.6
spr-1,3.6,1.1,11.8,6.8,40.1
T26A5.8,6.8,7.9,28.0,13.6,101.0
tbx-7,0.0,0.0,2.6,3.2,23.9
zip-11,4.7,2.1,6.1,3.0,29.4
tbx-9,0.0,0.0,0.0,4.9,14.6
tlp-1,3.7,7.9,13.9,17.1,39.2
tnt-4,0.0,0.0,0.6,2.9,42.7
tra-1,0.0,0.0,0.0,0.0,6.8
ttx-3,1.1,0.0,0.0,2.5,13.3
unc-3,0.0,0.0,0.0,0.0,14.0
unc-15,3475.0,3570.6,3506.9,3752.9,4018.3
nhr-41,0.0,2.4,3.3,5.7,19.8
unc-63,3.6,0.0,0.0,8.6,23.0
ceh-99,0.0,0.0,1.9,0.4,4.5
unc-86,9.2,0.0,12.0,9.2,33.9
unc-97,510.6,463.2,461.9,515.8,642.7
