,slope,interecept,r,p,std_err,r^2
act-1,,,,,,
vab-15,0.00011387808463150158,-0.025571665456202916,0.6005808438202382,0.15387279452431024,6.780112941732847e-05,0.3606973499638294
spon-1,7.647132963915948e-05,0.0068023538472094525,0.57179147761329,0.1798616439276516,4.9068307633803555e-05,0.3269454938711895
zyx-1,1.1766773754824478e-05,0.02496226078514979,0.09061629957580343,0.8467958070404453,5.783299085847076e-05,0.008211313748811754
madf-5,6.0963155167554985e-05,0.011306133982662503,0.5054920029241832,0.2471475345663389,4.653653360785677e-05,0.2555221650203024
nhr-153,8.013195187894381e-05,-0.01653492658674263,0.49328607652876905,0.26062271023078465,6.319384621797443e-05,0.24333115329714658
ceh-20,3.0896685339704716e-05,0.023842888427372415,0.24421684423813403,0.5976568223961312,5.486531983772812e-05,0.05964186700963302
pros-1,9.47502405942535e-05,-0.015184711075200637,0.5623477138538606,0.188820442520517,6.2308003291253e-05,0.3162349512766635
cey-1,8.677936556392821e-05,-0.003779491224713598,0.5274971522796129,0.22369370929308188,6.250341821874999e-05,0.2782532456631011
D1046.2,9.991048002450529e-05,-0.017042463669080438,0.7471405629983582,0.05359647467457676,3.974909404793251e-05,0.5582190208775036
cey-3,-3.11082505807756e-05,0.0501734783972064,-0.21553937547094076,0.6425290338400524,6.302807698354039e-05,0.04645722237840318
D2030.7,-9.828631775592723e-05,0.08056729726395884,-0.5592352518532655,0.19181943901232004,6.51587541315169e-05,0.3127440669153853
cky-1,2.65445848453103e-05,0.025117489911070278,0.1563275539880727,0.737841019039804,7.500371459540763e-05,0.02443830413589378
clp-1,1.9524558818844576e-05,0.035379378489677135,0.19150293160625148,0.6808229449984683,4.475149855372291e-05,0.03667337281378863
dhhc-1,1.0202395049929548e-05,0.025872310554248604,0.08588970515047618,0.854726338727528,5.29258912219294e-05,0.007377041450835735
daf-12,0.00011297823907492497,-0.02625852709221345,0.6748507321991732,0.09627110075545693,5.5249902973702205e-05,0.45542351074976023
dnj-11,1.7419703681921215e-05,0.03650348292066409,0.2168024273157975,0.640533339932182,3.5078201691218386e-05,0.04700329249002166
dsc-1,5.175852647797587e-05,0.0005048719585860409,0.3684884758591242,0.4160257521702758,5.839614843113843e-05,0.13578375684098035
dyc-1,7.692283313729093e-05,-0.003474162714023156,0.6478021826086335,0.11565010716821768,4.045514193800771e-05,0.4196476677925094
F33H1.4,2.466174270048399e-05,0.020374044627335653,0.19781401033618015,0.6707121317909792,5.4652992082390026e-05,0.039130382685282385
madf-2,-2.5230587477792064e-05,0.05170379689989585,-0.17636697889914257,0.7052249282031112,6.297430347086e-05,0.0311053112460106
row-1,7.292088157201496e-05,0.0057661145484898604,0.6511077307373102,0.11318282682359843,3.801433827642851e-05,0.42394127702588963
ccch-2,-7.43639977945231e-06,0.030141950678276054,-0.04375691635909326,0.9257870458542079,7.593025441261408e-05,0.0019146677292566836
egl-5,0.00010192229861545058,-0.002867763896955214,0.7653134344888317,0.04495404489873197,3.8335391086817334e-05,0.5857046530090914
psa-3,7.361798004043376e-05,0.006348607866017271,0.4723766015547581,0.28445997260585587,6.143020921829479e-05,0.22313965369642266
egl-21,0.00010875405636463888,-0.029986879771916938,0.730114896859621,0.06245087360866139,4.551936365793542e-05,0.533067762616335
elt-6,2.8756427923788524e-05,0.015709951682840166,0.17435699685214004,0.7084809949664722,7.262845033065945e-05,0.030400362351297172
klf-2,0.00014733853111682904,-0.048853653058340996,0.8505388200551569,0.015278650619971402,4.074276478017931e-05,0.7234162844208186
saeg-1,5.093044653556333e-05,0.021321004616247006,0.46358959701953856,0.2947556652838235,4.3532845229521935e-05,0.21491531446473816
eor-1,8.762989183973536e-05,-0.0009607725962139449,0.6473144453940038,0.11601648301955723,4.6146000253949065e-05,0.4190159912157468
ric-7,5.671142148502114e-05,0.02244790553372541,0.5538657982254009,0.19704687534792387,3.81259343954019e-05,0.30676732244386057
fkh-8,1.4065791700667796e-05,0.026370722495817546,0.09047412359999524,0.8470342103364921,6.9242064241363e-05,0.008185567041187215
fkh-9,0.00013251959887275623,-0.035496361622299834,0.7537453563540056,0.050359149369294684,5.167089003075135e-05,0.5681320622252269
gei-15,-2.2179233339459665e-05,0.052798241383936795,-0.19233303448901753,0.6794908553254768,5.060839829389731e-05,0.03699199615575361
glp-1,6.827813267781658e-05,0.0043347030812350695,0.5919290920734389,0.16147193123708456,4.1577332700976203e-05,0.3503800500428857
ztf-14,-1.3414550702689465e-05,0.04411733537088158,-0.07942731071213464,0.8655849389972697,7.529168474662085e-05,0.006308697686961979
nhr-208,-3.9340276613367634e-05,0.04381121779308337,-0.248970130487978,0.5903121413894297,6.843996695618088e-05,0.0619861258752008
hlh-3,5.209966160632237e-05,0.013844626131777248,0.5255243939803186,0.22575167208175317,3.772016147111958e-05,0.2761758886683811
hlh-8,7.050501899773328e-05,0.006508603745389925,0.5493813827988059,0.2014645884015888,4.795620693112405e-05,0.3018199037659281
hmg-12,-3.370185510996754e-05,0.04599771717499847,-0.18524360194748468,0.6908885151848174,7.995456919486435e-05,0.03431519206247815
nfya-1,-4.3511990442932915e-07,0.04404174141058628,-0.003395507463732086,0.9942356407271177,5.730819832968092e-05,1.1529470936260304e-05
hsf-1,0.00014547683325944987,-0.03591251382638916,0.8188235945078399,0.024277243309500342,4.561047524055168e-05,0.6704720789227394
nhr-218,2.9409897096979722e-05,0.013933230395614168,0.15149365005885557,0.7457574281045054,8.581681563587121e-05,0.02295032600815499
itr-1,7.7865145095877e-05,0.005666270174722772,0.5220447220042772,0.22940322131495083,5.6892854380087624e-05,0.2725306917725231
sptf-2,7.808666844330078e-06,0.026145822065833494,0.05000803780282531,0.9152098329277142,6.974424141208535e-05,0.0025008038448888054
lin-26,3.4584733774428717e-05,0.020637813689885435,0.26368095450196216,0.56775927497303,5.6581233319226955e-05,0.06952764576706584
flh-1,-8.496869368375916e-06,0.039950512649451694,-0.05788669996998668,0.9018930507244747,6.553394214748353e-05,0.003350870033415256
Y17G7B.20,-4.4910929473748695e-05,0.05404227078649758,-0.2394358011860048,0.6050718815303051,8.14437778598485e-05,0.057329502889584015
lin-54,-8.462154369417387e-05,0.07177447331387614,-0.4980652959622075,0.25530743536189854,6.588683456012168e-05,0.24806903904192135
lir-2,4.749284015070758e-05,0.008667344055155304,0.3004469226772407,0.5126512042161978,6.742671956349416e-05,0.09026835334622386
mab-9,5.811979087912762e-05,0.01096935767173926,0.34892221138279006,0.4430411148219372,6.981043068739093e-05,0.12174670959625643
pbo-5,0.0001472612456447957,-0.03207046419267905,0.8289610015703511,0.021144236141380522,4.443438390024759e-05,0.6871763421245197
dhhc-2,8.726124578423083e-05,-0.021034747677746733,0.49019121972985397,0.26409134593537287,6.938978379923063e-05,0.24028743190024196
Y56A3A.18,6.686870751700055e-05,0.00031901890957544005,0.4222944105891093,0.3452665720600136,6.419048099086711e-05,0.17833256921480325
mls-1,3.9039263131777255e-05,0.015244224031519937,0.3028774166630717,0.5090752753828345,5.493587817732287e-05,0.09173472952449595
ceh-51,6.9478836314403e-05,-0.010275710890302034,0.4776970605256742,0.27830545389423494,5.714377203619869e-05,0.2281944816348696
ztf-9,2.2768107705691364e-05,0.02320179471765606,0.1330709721591159,0.7760865561545341,7.583661409011808e-05,0.017707883631372198
pyk-2,-1.613638357562949e-05,0.040782608134699506,-0.10250135876834947,0.8269009758850623,7.003224535366262e-05,0.010506528549357892
dhhc-4,0.0001234917042210378,-0.03032207219910556,0.946549130061395,0.001232509498404302,1.882000328891807e-05,0.8959552556199836
