,head_row_1,head_row_2,anterior,posterior,far_posterior
K07A12.1,6.5,18.2,11.0,16.1,30.1
php-3,0.0,0.0,0.0,0.0,11.4
gei-15,83.1,136.2,132.6,138.2,279.7
vab-15,3.4,0.0,0.0,4.2,37.1
pos-1,0.0,0.0,0.0,1.8,39.7
spon-1,15.9,12.2,82.9,101.8,362.1
ztf-14,0.0,0.0,18.3,26.3,56.3
dhhc-4,16.6,19.9,10.4,18.6,52.4
lect-2,156.8,128.8,268.5,444.1,1064.5
madf-3,0.0,0.0,4.8,1.9,33.1
nhr-22,0.2,4.7,3.7,6.5,20.2
aptf-1,0.0,4.9,5.2,6.9,23.3
nhr-208,0.0,0.0,0.0,1.8,7.6
hlh-1,135.1,115.3,302.7,315.9,463.9
madf-5,5.4,0.0,0.0,10.1,22.4
rnt-1,10.3,0.0,27.0,47.6,156.5
nhr-204,2.1,0.0,0.0,0.0,13.0
nhr-43,0.0,0.0,0.0,2.0,9.3
ztf-30,0.0,0.0,4.3,4.2,11.0
hlh-8,4.2,0.0,0.0,2.3,26.0
sel-7,0.0,0.2,0.0,2.4,21.6
sem-4,0.0,18.6,3.0,52.1,210.6
sem-2,5.6,1.0,3.2,13.2,26.6
ceh-20,10.0,18.3,32.2,34.8,83.9
nhr-152,4.7,0.0,0.0,4.9,25.3
R02D3.7,10.6,5.3,3.4,8.8,23.7
swsn-2.2,13.5,9.3,0.0,9.5,36.9
nhr-212,0.0,0.0,0.0,0.0,0.9
flh-2,1.4,2.0,0.3,1.0,25.3
T10D4.6,0.0,2.5,0.0,3.2,33.6
hsf-1,135.9,282.1,289.4,333.6,586.5
T26A5.8,15.4,24.8,25.7,36.0,66.6
D1046.2,6.4,20.1,3.3,14.9,82.9
svh-5,16.6,18.6,19.5,22.9,29.4
C50C3.5,21.5,12.6,3.5,14.4,70.7
dhhc-1,3.7,14.5,15.9,16.2,35.7
clp-1,8.4,49.1,74.1,53.8,148.5
cky-1,0.0,0.0,0.0,0.3,11.2
tbx-7,0.0,0.0,2.6,3.2,23.9
nhr-90,0.0,5.1,0.0,2.9,15.6
flh-1,4.2,3.2,0.0,7.5,33.4
flh-3,1.2,8.6,8.7,9.0,24.1
inso-1,12.3,6.7,0.0,18.0,37.6
Y37F4.6,19.0,16.9,10.3,24.9,39.2
D2063.1,723.6,941.7,865.5,1112.3,1474.2
Y39A1C.1,42.3,98.5,143.9,210.0,261.7
tni-1,1110.4,2453.5,2110.1,2637.9,3786.1
bed-1,3.5,13.5,17.4,18.3,26.4
tlp-1,3.7,7.9,13.9,17.1,39.2
mab-9,0.0,0.0,2.9,2.5,23.7
dsc-1,0.0,0.0,0.0,0.0,72.5
mbf-1,61.5,64.3,56.7,76.4,89.9
dyc-1,158.3,235.5,277.5,274.8,311.5
tra-1,0.0,0.0,0.0,0.0,6.8
ttx-3,1.1,0.0,0.0,2.5,13.3
unc-3,0.0,0.0,0.0,0.0,14.0
pbo-5,1.8,0.0,0.0,73.8,533.3
unc-15,3475.0,3570.6,3506.9,3752.9,4018.3
madf-2,5.0,3.6,4.3,4.6,25.2
row-1,26.3,0.0,12.1,37.7,92.3
F19C7.8,53.5,83.7,27.8,108.2,413.4
nhr-41,0.0,2.4,3.3,5.7,19.8
psa-3,0.0,0.0,4.2,3.3,10.9
Y56A3A.18,141.4,165.6,184.8,193.9,369.7
mls-1,0.0,0.0,0.0,0.0,34.6
nhr-183,0.0,0.0,6.4,5.9,17.0
klf-2,0.0,0.0,0.0,0.0,24.0
unc-63,3.6,0.0,0.0,8.6,23.0
saeg-1,54.0,60.0,80.1,76.5,124.7
unc-87,351.6,1000.7,906.2,1033.7,1342.1
ric-7,48.4,23.6,22.1,61.4,384.9
fkh-9,8.6,1.9,0.0,10.5,44.6
