,slope,interecept,r,p,std_err,r^2
K07A12.1,3.74799682274623e-05,0.021979339268058756,0.356435518789231,0.4325903338002864,4.3936842887897324e-05,0.12704627905454827
php-3,4.809863920961125e-05,0.023735713150250894,0.8305776925245945,0.02066711618262498,1.442271108333527e-05,0.6898593033194798
gei-15,-5.5469373185498854e-05,0.07032936355701344,-0.5273769005329269,0.2238189007677015,3.996480826474269e-05,0.27812639521571664
vab-15,5.62165990091314e-05,0.00214697738982619,0.3208115278127741,0.4829617874818412,7.422414076728079e-05,0.10292003637756633
pos-1,2.1113580245849777e-05,0.02818108111537411,0.2655119415742486,0.5649715464833571,3.4286118034272884e-05,0.07049659111852721
spon-1,5.116940374325692e-05,0.0173107192422241,0.5076703732215024,0.24477729250693367,3.883512617966318e-05,0.2577292078468596
ztf-14,-4.658204006358551e-05,0.0602049714018344,-0.3316298081943649,0.4674486000400996,5.926253614041646e-05,0.10997832968303124
dhhc-4,4.727361227257009e-05,0.004403158925967168,0.4323312479896779,0.332674549782376,4.4094699554551746e-05,0.1869103079883124
lect-2,3.212056961690127e-05,0.035770887771740714,0.7532347455425434,0.05060549536578162,1.2543823370997278e-05,0.5673625818925402
madf-3,0.0001230009889838674,-0.025891944069991193,0.889450340550426,0.007347338237977535,2.8264957777366873e-05,0.7911219083052689
nhr-22,7.303739768476653e-05,0.0010654154395282889,0.6022712011044772,0.15240943515546918,4.329420055050513e-05,0.3627305996798296
aptf-1,9.822737430928237e-05,-0.02329777088180419,0.7046791063172693,0.07705143922690517,4.423077450979401e-05,0.4965726428801053
nhr-208,1.751194157263414e-05,0.015089274832028527,0.11502832936496274,0.8060111879836911,6.763198281595625e-05,0.01323151655649435
hlh-1,8.256408118301154e-05,-0.0028658532108900153,0.7411687000420669,0.056618537935246495,3.344397591633126e-05,0.5493310419220474
madf-5,6.405949791924215e-05,0.008472078199347866,0.5440347408586923,0.2067931280633938,4.418412975463498e-05,0.2959737992611845
rnt-1,0.00010059228263929103,-0.005886345093061372,0.8934343458755983,0.006718033267679437,2.2617821389387954e-05,0.7982249303901583
nhr-204,2.0131975946271098e-05,0.011308203086786822,0.11839919055485218,0.8004051749117266,7.55069763625163e-05,0.014018368324044198
nhr-43,5.691277284130894e-05,-0.003878910894128288,0.37314410375004997,0.40969491622101384,6.328343952083653e-05,0.13923652216342805
ztf-30,7.483945385864307e-05,-0.00806418122466658,0.5052431861457372,0.24741893854350655,5.716686405437956e-05,0.255270677146696
hlh-8,7.245011790676753e-05,-0.0012822495897059014,0.5596241515500825,0.19144346486873953,4.798211285163581e-05,0.3131791909981497
sel-7,-4.6800730088686406e-06,0.044332648786949126,-0.03951787130095624,0.9329647498746418,5.29218122508323e-05,0.001561662152158941
sem-4,2.6334012935011835e-05,0.019375343187064957,0.16462612200853452,0.7242937418648931,7.056136983489405e-05,0.027101760047568892
sem-2,4.813960774839043e-05,0.009436859308804103,0.3177341918059382,0.4874079446179201,6.424573525364797e-05,0.10095501664257273
ceh-20,,,,,,
nhr-152,0.0001182063680456139,-0.023234740222787105,0.7880603206615494,0.03530253227667056,4.12946348044095e-05,0.6210390690011841
R02D3.7,9.607862132002108e-05,-0.022973378154146344,0.7232978221033004,0.06620249989532563,4.1021455080335854e-05,0.5231597394593775
swsn-2.2,-4.887582496185026e-05,0.06357530083939457,-0.3730447434084109,0.40982963115274873,5.4363673166956186e-05,0.1391623805846471
nhr-212,4.172049127860484e-05,0.0012175956170422143,0.3019588245652971,0.510425760946111,5.8905497852147975e-05,0.09117913173285587
