gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
WBGene00004024,php-3,BWM_far_posterior,0.238407335065409,0.328954520586331,0.272912423625255,0.873567175500864,0.209147658900634,3.14198335824415e-292,1.6055534960627599e-288
WBGene00001184,egl-15,BWM_head_row_1,0.278279341872109,0.470011183978971,0.335570469798658,0.829272438778885,0.27300942993203,0.0,0.0
WBGene00009560,psa-3,BWM_far_posterior,0.279759489829109,0.858137904281499,0.338085539714868,0.827481382566823,0.229778504090471,4.5e-322,2.297455e-318
WBGene00003100,mab-3,BWM_far_posterior,0.0774816473858154,0.141439422831508,0.0936863543788187,0.827032366661639,0.0620465827328637,7.97777847257276e-86,4.0766447994846797e-82
WBGene00006873,vab-7,BWM_far_posterior,0.266744609385779,0.864557839294661,0.326883910386965,0.816022449896681,0.201005142830414,1.6336916168993398e-280,8.34816416235562e-277
WBGene00000454,ceh-33,BWM_head_row_1,0.231763330126557,0.620587613073079,0.284815436241611,0.813731633316219,0.230740289136326,0.0,0.0
WBGene00014131,sdz-38,BWM_head_row_1,0.19979308802828,0.500904690849913,0.249580536912752,0.800515498923394,0.193576174045435,0.0,0.0
WBGene00001182,egl-13,BWM_head_row_1,0.182054328341318,0.332880354219226,0.230285234899329,0.790560143471225,0.176061877034789,0.0,0.0
WBGene00003779,nob-1,BWM_far_posterior,0.20856827531902,0.320103150233827,0.264765784114053,0.787746332166453,0.168139206833721,1.39284671397218e-233,7.1174467083978195e-230
WBGene00001377,eya-1,BWM_head_row_1,0.645389046048413,2.79175751432335,0.823406040268456,0.783804119092927,0.628620061457833,0.0,0.0
WBGene00006585,tni-3,BWM_head_row_1,0.204499611128451,0.941053211384954,0.274748322147651,0.744316141878209,0.176471569609304,0.0,0.0
WBGene00012832,dmd-3,BWM_far_posterior,0.141298076005212,0.358592505373918,0.191446028513238,0.738056971474032,0.0995295088297511,2.10674183333991e-137,1.0765450768367e-133
WBGene00001955,hlh-11,BWM_head_row_1,0.0292876191701187,0.035900788454263,0.0402684563758389,0.727309209391281,0.0254573456837605,1.5542104211202798e-55,7.94201525192465e-52
WBGene00015897,nhr-156,BWM_head_row_1,0.096378648196837,0.179850829615479,0.148489932885906,0.64905846695271,0.0932696075752006,3.76373910301126e-202,1.9232706816387502e-198
WBGene00003102,mab-5,BWM_posterior,0.116552360303294,0.233949215785818,0.184939864040439,0.630217616456172,0.12392493505122,0.0,0.0
WBGene00001371,exl-1,BWM_far_posterior,0.0999826302643764,0.255941045662886,0.168024439918534,0.595048138906773,0.0519732688626673,4.53005162055567e-72,2.31485637810395e-68
WBGene00003024,lin-39,BWM_posterior,0.260631499202912,1.22281920510739,0.440125501132996,0.592175410268161,0.198423935535357,0.0,0.0
WBGene00006424,ctbp-1,BWM_head_row_1,0.104009192546012,0.178445628136962,0.177852348993289,0.584806403371916,0.0976763835902715,7.217821541612361e-212,3.68830680776391e-208
