,head_row_1,head_row_2,anterior,posterior,far_posterior
act-4,16200.2,20360.0,22648.9,23802.1,26077.3
spon-1,187.9,128.6,628.9,1496.7,1186.9
xbp-1,2102.8,1567.4,916.3,1151.3,1068.2
hlh-1,1699.7,791.6,709.4,780.1,864.9
hmg-1.1,1388.7,1994.4,2352.5,2824.2,3273.2
ceh-34,8396.8,2201.8,31.7,0.0,10.6
hnd-1,1779.9,208.8,90.3,136.3,351.2
ces-2,843.6,1761.4,1543.1,1941.9,1690.2
lev-11,13184.9,16292.5,18089.0,20132.5,23270.2
tni-3,4346.5,845.4,88.1,7.8,0.0
tnt-3,7391.6,13074.8,14189.5,13803.8,12753.2
unc-15,2266.4,3175.7,3138.9,4095.0,4478.6
mlc-3,16790.4,18093.6,19363.4,22191.8,24250.7
unc-62,26.1,652.1,1562.5,2261.6,99.0
eya-1,2378.3,530.6,78.2,36.2,44.8
fkh-2,7072.5,2797.5,304.5,3.0,25.4
pat-10,57481.9,77354.4,95774.7,80180.4,64946.6
gsnl-1,2146.8,3616.5,2176.6,2678.0,8247.9
unc-120,2369.7,1155.4,730.3,783.3,548.6
