,slope,interecept,r,p,std_err,r^2
act-4,,,,,,
spon-1,-0.00018546527953412474,0.11965516241752953,-0.890847419404253,0.007122938696385315,4.229797113279354e-05,0.7936091246592172
xbp-1,-0.00011289751822245474,0.07306643300595518,-0.6640543414287083,0.10378451188752312,5.6847849631657394e-05,0.44096816837031555
hlh-1,-9.604539721700681e-05,0.05855332824134896,-0.5856705198340152,0.1670824927809733,5.944530838185438e-05,0.3430099578026456
hmg-1.1,-0.00019389190759959665,0.1251593537679553,-0.9102683264735139,0.004411796743064318,3.943894792198611e-05,0.8285884261808916
ceh-34,-0.0012324279941606329,0.7614662531720369,-0.8107046511629449,0.026963680430448878,0.0003980225409643382,0.6572420314172321
hnd-1,-0.0001855333315675697,0.10782598364668303,-0.6262775124031262,0.1323860138206389,0.0001032861446748629,0.39222352254184795
ces-2,-0.00012705306083801243,0.07532725371824142,-0.7359287584688405,0.05934464176545945,5.2274616819861804e-05,0.541591137541489
lev-11,2.1256263989815754e-05,0.201130661436737,0.02385477270734144,0.9595144015409067,0.00039838506349632616,0.000569050180918922
tni-3,0.00021316789063351434,-0.07819553040384736,0.9440646307559308,0.0013788930452449375,3.329918947247763e-05,0.891258027044332
tnt-3,-0.00012831562607411,0.15520813635408692,-0.17470107501420654,0.7079233544801644,0.0003234210557991071,0.03052046561111942
unc-15,-4.3692718767352326e-05,0.050241720740426196,-0.17552786107293356,0.7065838235294729,0.00010959291081815971,0.030810030012839062
mlc-3,0.00031415410189164196,-0.010493434790623257,0.3974420458807922,0.3772832075973976,0.00032437713797304395,0.15796017983390973
unc-62,-0.00020655206958041916,0.1335179565161701,-0.8203761230609237,0.023781555749291562,6.438639876552908e-05,0.6730169832884718
eya-1,-0.0004316603976608853,0.282287727624164,-0.9373111389683154,0.0018267813743068607,7.177419059044869e-05,0.8785521712340807
fkh-2,-0.0009420383952826977,0.5588136087808128,-0.7345174208150864,0.060090803489786446,0.0003892143539691298,0.5395158414808467
pat-10,0.0008053734742851559,0.4005827198335854,0.794612685720727,0.03276046735645897,0.00027518768829475895,0.6314093203083068
gsnl-1,-0.00017103598176513375,0.12695669205678012,-0.3655703986428701,0.4200131287470059,0.00019475123773833163,0.13364171636390698
unc-120,-0.00020974795086748169,0.1269648065629016,-0.7116452660129675,0.07288899609035927,9.260183319950741e-05,0.5064389846386673
