,head_row_1,head_row_2,anterior,posterior,far_posterior
arrd-15,0.43715657354387183,0.36774827925270404,0.08566140320434959,0.06067441725952919,0.048759326739545375
act-1,0.19568498702030937,0.18505162510424863,0.2629620711122596,0.19539720202506664,0.16090411473811564
act-4,0.1485051128212415,0.1866374549104626,0.20761950159732695,0.2181907350453989,0.23904719562557006
vab-7,0.0,0.00417779604136703,0.0,0.0602698445311965,0.9355523594274365
vab-8,0.019763535622355045,0.006020679726015445,0.009990838096069106,0.01876008900135247,0.945464857554208
spon-1,0.051777349131992285,0.03543675943786167,0.17329842931937173,0.412427666023698,0.32705979608707636
sdz-38,0.9781391006690525,0.014003423058969972,0.002178310253617551,0.0031896685856542713,0.002489497432705773
xbp-1,0.30896267998824567,0.23029679694387306,0.1346312077578607,0.1691595650896268,0.15694975022039379
sgca-1,0.24139960117250928,0.23789079100785668,0.18767775610500279,0.1717682441783173,0.16126360753631402
gsnl-1,0.11379321311579685,0.19169608497916865,0.11537279097626393,0.14194998356814978,0.4371879273606208
ham-1,0.9101993419779368,0.0,0.03870718018192374,0.0,0.05109347784013934
pxn-2,0.44488868313623153,0.2026009006354951,0.17983249863221243,0.06249736963932494,0.11018054795673582
hlh-1,0.35076459541449123,0.1633613306643003,0.14639783725777494,0.16098809253565016,0.1784881441277834
M03D4.4,0.03932519796488275,0.34348341685474926,0.2110477793504457,0.22504877395661985,0.18109483187330247
hmg-1.1,0.11735823544325193,0.16854559283360096,0.19880841713851094,0.23867151187357388,0.2766162427110623
hmg-1.2,0.1440275787965616,0.17360315186246417,0.19622134670487107,0.23754477077363897,0.24860315186246418
ceh-33,0.9123048004626952,0.07612781954887217,0.004048582995951417,0.0010121457489878543,0.006506651243493348
ceh-34,0.7891061846272401,0.20691858771344532,0.0029790713191553348,0.0,0.000996156340159197
hnd-1,0.6935125657510228,0.08135593220338984,0.03518410286382233,0.053107344632768366,0.13684005454899667
T20F10.2,0.26780219186956755,0.3074825892134103,0.21551584516546995,0.12203746693300223,0.0871619068185499
hsp-12.1,0.2947708300519767,0.1447865805638683,0.16503911377119757,0.17076179975849215,0.22464167585446526
ces-2,0.10842908922649803,0.22639520834939977,0.1983368036811393,0.24959512608930362,0.2172437726536593
cey-1,0.20589787610941584,0.17319930356287042,0.18023647316472435,0.17086369123811718,0.2698026559248721
lev-11,0.14493822627683467,0.1790992765675378,0.1988477406064257,0.22131141233671656,0.25580334421248535
pck-1,0.2904885788616027,0.3602161296778067,0.2149575459561451,0.09299865633665914,0.041339089167786384
D2063.1,0.30180493655329665,0.11224958171076595,0.12485008217717695,0.19547803426270044,0.26561736529605995
tlp-1,0.006291616421118858,0.030671630052954434,0.1480627064436638,0.15362030094898546,0.6613537461332774
tni-1,0.1365808591945576,0.2143787007096964,0.20708016629572082,0.22875740141939274,0.21320287238063243
tni-3,0.8219864593971027,0.1598774537614887,0.01666099322969855,0.0014750936117099737,0.0
tnt-3,0.12075232508180467,0.21359550029487248,0.2318057141550229,0.22550475471673456,0.20834170575156546
F19C7.8,0.08786348949919225,0.20224151857835218,0.19068053311793215,0.23887318255250406,0.2803412762520194
unc-15,0.13211616709220853,0.18512235785153835,0.18297716064495823,0.23871148263439546,0.26107283177689955
egl-13,0.9633139712626109,0.012992968511158666,0.0035157444206664625,0.0,0.020177315805564044
mlc-1,0.16021341463414634,0.18300304878048781,0.1662020905923345,0.21012630662020906,0.2804551393728223
mlc-2,0.20356143171937346,0.22570424632243466,0.14525638735036628,0.19371687213388122,0.23176106247394437
mlc-3,0.1667535671402991,0.1796962753960427,0.19230727212957807,0.2203974778006533,0.2408454075334269
mlp-1,0.0999895909232851,0.24775684396794004,0.19150619340064537,0.223982512751119,0.2367648589570105
unc-62,0.005672309999348012,0.14172081802968728,0.33957794536326696,0.4915132679894813,0.021515658618216596
mup-2,0.2010015266412955,0.19445164231012985,0.25251396299221696,0.19017142714424418,0.16186144091211355
emb-9,0.15397085785969314,0.22417253691016115,0.25805268744572035,0.19652610247997684,0.16727781530444852
myo-3,0.13327285064078617,0.22173260042541187,0.2751149298222876,0.20863479381246805,0.16124482529904624
syd-9,0.11792370413511939,0.3144001164822365,0.17216074548631335,0.19025917297612116,0.20525626092020968
eya-1,0.775170300837652,0.1729409080538444,0.025488087089729803,0.011798833154069295,0.01460187086470454
set-18,0.2506095926678913,0.18140693334030633,0.18585875754227923,0.20006406443051297,0.18206065201901014
unc-87,0.15153284993277938,0.21149141559958565,0.291627179159412,0.21885262160315605,0.1264959337050669
fkh-2,0.693185270854365,0.2741867508257456,0.02984445598800341,0.00029403404914289075,0.0024894882827431416
pat-10,0.1529839941661477,0.20587324146080513,0.2548975615987736,0.21339443974258657,0.17285076303168698
unc-112,0.15797915934902235,0.17424189205011123,0.15913827420676735,0.19848963821566562,0.3101510361784334
unc-120,0.42412256367118284,0.20679039965636356,0.13070713940543732,0.1401929375548118,0.09818695971220447
