,head_row_1,head_row_2,anterior,posterior,far_posterior
act-1,0.19568498702030937,0.18505162510424863,0.2629620711122596,0.19539720202506664,0.16090411473811564
act-4,0.137700836532726,0.20360912626562916,0.1967066986974141,0.22221859352232243,0.23976474498190825
sdz-38,0.9781391006690525,0.014003423058969972,0.002178310253617551,0.0031896685856542713,0.002489497432705773
spon-1,0.051777349131992285,0.03543675943786167,0.17329842931937173,0.412427666023698,0.32705979608707636
xbp-1,0.30896267998824567,0.23029679694387306,0.1346312077578607,0.1691595650896268,0.15694975022039379
gsnl-1,0.11632636053004416,0.24785398783231935,0.13817818151512626,0.13619468289024086,0.36144678723226936
ham-1,0.9101993419779368,0.0,0.03870718018192374,0.0,0.05109347784013934
pxn-2,0.44488868313623153,0.2026009006354951,0.17983249863221243,0.06249736963932494,0.11018054795673582
hlh-1,0.35076459541449123,0.1633613306643003,0.14639783725777494,0.16098809253565016,0.1784881441277834
M03D4.4,0.03932519796488275,0.34348341685474926,0.2110477793504457,0.22504877395661985,0.18109483187330247
hmg-1.1,0.11735823544325193,0.16854559283360096,0.19880841713851094,0.23867151187357388,0.2766162427110623
hmg-1.2,0.1440275787965616,0.17360315186246417,0.19622134670487107,0.23754477077363897,0.24860315186246418
ceh-33,0.8946889080625061,0.0877672322883712,0.010976895791391047,0.006566963857731761,0.0
ceh-34,0.7891061846272401,0.20691858771344532,0.0029790713191553348,0.0,0.000996156340159197
hnd-1,0.6935125657510228,0.08135593220338984,0.03518410286382233,0.053107344632768366,0.13684005454899667
T20F10.2,0.26780219186956755,0.3074825892134103,0.21551584516546995,0.12203746693300223,0.0871619068185499
hsp-12.1,0.2947708300519767,0.1447865805638683,0.16503911377119757,0.17076179975849215,0.22464167585446526
ces-2,0.10842908922649803,0.22639520834939977,0.1983368036811393,0.24959512608930362,0.2172437726536593
cey-1,0.13862222119410583,0.2662101829790187,0.19447593050961162,0.19949570889911866,0.20119595641814525
lev-11,0.14493822627683467,0.1790992765675378,0.1988477406064257,0.22131141233671656,0.25580334421248535
tbx-2,0.008348757531603197,0.47560351277911234,0.21694955302642457,0.22179340763202457,0.07730476903083527
D2063.1,0.43970467596390483,0.041741060657240744,0.08840418858273415,0.1372870723350866,0.2928630024610336
tlp-1,0.006291616421118858,0.030671630052954434,0.1480627064436638,0.15362030094898546,0.6613537461332774
tni-1,0.04816293645809885,0.18759256406914612,0.2376275162616557,0.22040615632516206,0.3062108268859374
tni-3,0.8219864593971027,0.1598774537614887,0.01666099322969855,0.0014750936117099737,0.0
tnt-3,0.12075232508180467,0.21359550029487248,0.2318057141550229,0.22550475471673456,0.20834170575156546
F19C7.8,0.08786348949919225,0.20224151857835218,0.19068053311793215,0.23887318255250406,0.2803412762520194
unc-15,0.13211616709220853,0.18512235785153835,0.18297716064495823,0.23871148263439546,0.26107283177689955
mlc-3,0.1870677375930818,0.1979354285275438,0.2067817289481959,0.21563962157251143,0.19257548335866714
mlp-1,0.12802076573653473,0.2518883841661259,0.20041531473069438,0.1957689811810513,0.2239065541855938
unc-62,0.005672309999348012,0.14172081802968728,0.33957794536326696,0.4915132679894813,0.021515658618216596
emb-9,0.15397085785969314,0.22417253691016115,0.25805268744572035,0.19652610247997684,0.16727781530444852
mup-2,0.24157123900329286,0.12930653167543127,0.15820514080699857,0.1819064235513835,0.28901066496289374
myo-3,0.13327285064078617,0.22173260042541187,0.2751149298222876,0.20863479381246805,0.16124482529904624
syd-9,0.11792370413511939,0.3144001164822365,0.17216074548631335,0.19025917297612116,0.20525626092020968
eya-1,0.775170300837652,0.1729409080538444,0.025488087089729803,0.011798833154069295,0.01460187086470454
fkh-2,0.693185270854365,0.2741867508257456,0.02984445598800341,0.00029403404914289075,0.0024894882827431416
pat-10,0.1529839941661477,0.20587324146080513,0.2548975615987736,0.21339443974258657,0.17285076303168698
unc-112,0.29136006407368475,0.21447164238874708,0.12341692946888924,0.1591330029533964,0.2116183611152826
unc-120,0.42412256367118284,0.20679039965636356,0.13070713940543732,0.1401929375548118,0.09818695971220447
