,head_row_1,head_row_2,anterior,posterior,far_posterior
K07A12.1,0.07936507936507936,0.2222222222222222,0.1343101343101343,0.19658119658119658,0.3675213675213675
php-3,0.0,0.0,0.0,0.0,1.0
gei-15,0.10795011691348402,0.17692907248636008,0.17225253312548713,0.1795271499090673,0.36334112756560144
vab-15,0.07606263982102908,0.0,0.0,0.09395973154362416,0.8299776286353467
pos-1,0.0,0.0,0.0,0.043373493975903614,0.9566265060240965
spon-1,0.02765698382327361,0.021221081927291698,0.14419899112889198,0.17707427378674548,0.6298486693337971
ztf-14,0.0,0.0,0.18136769078295342,0.2606541129831516,0.5579781962338949
dhhc-4,0.14079728583545378,0.1687871077184054,0.08821034775233248,0.15776081424936386,0.4444444444444444
lect-2,0.07601687109128813,0.06244242982498668,0.13016919571435498,0.21530033451301694,0.5160711688563534
madf-3,0.0,0.0,0.1206030150753769,0.04773869346733668,0.8316582914572865
nhr-22,0.005665722379603401,0.1331444759206799,0.10481586402266291,0.18413597733711048,0.5722379603399433
aptf-1,0.0,0.12158808933002484,0.12903225806451615,0.17121588089330028,0.5781637717121588
nhr-208,0.0,0.0,0.0,0.19148936170212766,0.8085106382978723
hlh-1,0.10135794133093257,0.08650311351189137,0.2270988071123115,0.23700202565833897,0.34803811238652566
madf-5,0.1424802110817942,0.0,0.0,0.26649076517150394,0.5910290237467019
rnt-1,0.04266777133388567,0.0,0.11184755592377796,0.1971830985915493,0.648301574150787
nhr-204,0.13907284768211922,0.0,0.0,0.0,0.8609271523178809
nhr-43,0.0,0.0,0.0,0.17699115044247787,0.8230088495575222
ztf-30,0.0,0.0,0.2205128205128205,0.2153846153846154,0.5641025641025641
hlh-8,0.12923076923076923,0.0,0.0,0.07076923076923076,0.8
sel-7,0.0,0.008264462809917356,0.0,0.09917355371900825,0.8925619834710743
sem-4,0.0,0.0654238480478368,0.010552233556102708,0.18325712275765035,0.7407667956384101
sem-2,0.1129032258064516,0.020161290322580645,0.06451612903225806,0.2661290322580645,0.5362903225806451
