,head_row_1,head_row_2,anterior,posterior,far_posterior
act-4,0.1485051128212415,0.1866374549104626,0.20761950159732695,0.2181907350453989,0.23904719562557006
spon-1,0.051777349131992285,0.03543675943786167,0.17329842931937173,0.412427666023698,0.32705979608707636
xbp-1,0.30896267998824567,0.23029679694387306,0.1346312077578607,0.1691595650896268,0.15694975022039379
hlh-1,0.35076459541449123,0.1633613306643003,0.14639783725777494,0.16098809253565016,0.1784881441277834
hmg-1.1,0.11735823544325193,0.16854559283360096,0.19880841713851094,0.23867151187357388,0.2766162427110623
ceh-34,0.7891061846272401,0.20691858771344532,0.0029790713191553348,0.0,0.000996156340159197
hnd-1,0.6935125657510228,0.08135593220338984,0.03518410286382233,0.053107344632768366,0.13684005454899667
ces-2,0.10842908922649803,0.22639520834939977,0.1983368036811393,0.24959512608930362,0.2172437726536593
lev-11,0.14493822627683467,0.1790992765675378,0.1988477406064257,0.22131141233671656,0.25580334421248535
tni-3,0.8219864593971027,0.1598774537614887,0.01666099322969855,0.0014750936117099737,0.0
tnt-3,0.12075232508180467,0.21359550029487248,0.2318057141550229,0.22550475471673456,0.20834170575156546
unc-15,0.13211616709220853,0.18512235785153835,0.18297716064495823,0.23871148263439546,0.26107283177689955
mlc-3,0.1667535671402991,0.1796962753960427,0.19230727212957807,0.2203974778006533,0.2408454075334269
unc-62,0.005672309999348012,0.14172081802968728,0.33957794536326696,0.4915132679894813,0.021515658618216596
eya-1,0.775170300837652,0.1729409080538444,0.025488087089729803,0.011798833154069295,0.01460187086470454
fkh-2,0.693185270854365,0.2741867508257456,0.02984445598800341,0.00029403404914289075,0.0024894882827431416
pat-10,0.1529839941661477,0.20587324146080513,0.2548975615987736,0.21339443974258657,0.17285076303168698
gsnl-1,0.11379321311579685,0.19169608497916865,0.11537279097626393,0.14194998356814978,0.4371879273606208
unc-120,0.42412256367118284,0.20679039965636356,0.13070713940543732,0.1401929375548118,0.09818695971220447
