,90_160,160_210,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
aap-1,170,363,252,268,178,91,60,62,23,58
aat-1,25,4,11,2,3,7,7,23,2,1
aat-2,161,232,408,380,598,531,465,279,219,254
aat-3,447,478,398,295,349,472,1004,925,413,204
aat-4,1,1,1,1,1,2,2,3,1,1
aat-5,1,28,2,14,16,38,168,479,555,503
aat-6,1,1,1,1,1,1,3,1,1,3
aat-8,1,1,1,1,1,2,2,31,1,2
aat-9,131,176,268,205,157,89,50,39,57,82
abf-1,1,1,1,1,1,1,19,3,3,1
abf-2,1,1,1,1,2,2,4,19,1,1
abf-5,1,1,1,1,1,3,1,1,1,1
abl-1,348,396,307,371,551,488,646,749,609,255
abt-2,1,7,3,3,10,4,2,1,1,8
abt-4,1,1,1,1,1,3,5,1,1,1
abt-5,1,7,12,4,1,2,1,1,1,1
abu-1,1,1,1,1,1,2,3,2,4,7
abu-4,1,1,1,1,1,5,1,1,1,1
abu-7,1,1,1,1,1,1,1,6,1,1
abu-8,1,1,1,2,4,12,15,17,52,23
abu-10,1,1,1,1,3,4,13,20,9,12
abu-11,1,8,1,1,10,15,27,22,16,16
ace-1,6,6,8,10,7,338,845,733,967,615
ace-2,1,1,1,2,1,1,2,1,1,4
ace-3,10,19,11,5,15,36,58,36,53,126
ace-4,1,1,1,2,1,5,3,2,1,3
acn-1,24,5,7,6,7,26,25,23,12,3
aco-1,327,117,130,136,105,69,69,89,53,48
aco-2,244,266,255,261,442,675,1135,1177,1585,1635
acr-2,1,5,2,1,11,6,3,2,1,6
acr-3,1,1,1,1,1,2,4,1,1,3
acr-5,1,1,1,1,1,1,1,2,1,1
acr-6,1,1,1,1,2,1,1,3,1,1
acr-7,11,21,18,31,17,13,24,120,180,249
acr-8,19,7,1,2,5,63,347,746,1060,821
acr-9,1,5,1,3,2,1,4,5,1,6
acr-10,1,11,7,1,1,1,4,1,1,1
acr-11,16,1,1,1,2,8,3,5,18,20
acr-12,6,5,15,13,7,2,4,3,7,11
acr-14,1,7,1,2,5,2,6,2,20,1
acr-15,7,11,3,10,115,535,868,1101,751,496
acr-16,1,6,3,2,9,14,62,141,269,260
acr-17,27,1,1,1,5,1,3,7,1,4
acr-18,1,2,1,1,3,5,1,1,1,1
acr-19,1,1,44,44,11,2,2,2,1,7
acr-20,1,1,1,1,1,1,3,6,10,3
lgc-11,1,3,1,3,3,2,11,1,10,19
acr-23,1,1,1,1,1,3,2,1,1,29
act-1,1042,2497,1882,2709,2377,1155,3085,10300,18815,34054
act-2,1876,2028,1607,1464,863,427,418,683,693,382
act-3,2080,2570,1975,3081,5472,7222,8446,12514,20569,35055
act-4,15482,38216,34529,49160,76971,104109,109089,113529,107103,97945
act-5,1,6,34,8,12,55,41,104,204,165
acy-1,8,70,176,181,291,396,240,187,173,73
acy-2,1,6,1,1,1,2,2,12,6,1
acy-3,1,15,31,42,310,745,869,393,359,375
acy-4,1,5,1,4,2,1,2,2,8,1
add-1,3,5,1,7,6,58,25,4,5,1
add-2,26,40,97,104,65,83,64,9,24,23
adm-2,87,67,89,90,75,93,93,73,49,78
adm-4,36,8,30,17,16,15,10,16,9,11
adr-1,1534,1089,1063,883,537,258,150,127,135,133
adr-2,552,641,725,704,481,324,199,142,95,79
ads-1,18,21,27,32,14,24,62,45,84,103
adt-1,1,7,1,1,3,3,4,3,28,17
adt-2,8,2,8,6,9,4,1,4,1,14
