"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"aap-1","aap-1",2.27252109405877e-47,4.54363296010436e-47,-214.012797832968,-328.249231607615,7,2,1000.0805248827,0,0,0,0.0121819548624603,0.0161740482900447,2.38126025094242e-47,5.71764916673262e-47,FALSE,TRUE,FALSE
"aat-1","aat-1",2.25054161120318e-65,5.80495701027303e-65,-359.446820526481,-515.604891125234,7,2,1168.7880992175,0,0,0,4.44213314286365e-19,2.03442126125298e-18,4.13457835564452e-49,1.02010311710048e-48,TRUE,FALSE,FALSE
"aat-2","aat-2",5.65930859920554e-13,6.76356393563589e-13,-206.396323047639,-239.611255203736,7,2,1060.51129963164,0,0,0,3.79978602267711e-09,9.20871173655708e-09,4.29459448655113e-06,4.91433544276624e-06,TRUE,FALSE,FALSE
"aat-3","aat-3",1.25216649627912e-32,2.00279552401188e-32,-195.290794161692,-275.051247388473,7,2,1039.6736784296,0,0,0,3.54600738293324e-22,1.92345844617317e-21,4.08686496968572e-13,5.38887209032418e-13,TRUE,FALSE,FALSE
"aat-4","aat-4",6.80678244441706e-31,1.05867959272983e-30,-208.233597215134,-283.920798425681,7,2,1156.82379799524,0,0,0,5.47029508560019e-10,1.41256810948199e-09,2.06772976314174e-23,3.28639174914798e-23,TRUE,FALSE,FALSE
"aat-5","aat-5",2.0306553816577e-270,4.19157431596719e-269,-215.391881751976,-845.768670562022,7,2,1126.15302089219,0,0,0,6.71446065019733e-12,1.97850155623892e-11,7.03710045142082e-262,1.5669212206817e-260,FALSE,TRUE,FALSE
"aat-6","aat-6",8.71537327203883e-18,1.1157920308016e-17,-214.599097537217,-259.330203964185,7,2,1030.00222992652,0,0,0,0.000142925756304003,0.000234371489917285,1.7956271906027e-15,2.46780101787776e-15,TRUE,FALSE,FALSE
"aat-8","aat-8",1.34377364649415e-214,1.73999798836403e-213,-195.689673340317,-697.192120810317,7,2,999.989530672353,0,0,0,1.87451746965721e-67,9.9079003699488e-66,1.78296828417483e-150,1.47250162444582e-149,TRUE,FALSE,FALSE
"aat-9","aat-9",1.94123846620241e-24,2.73268471128615e-24,-203.1866727367,-263.679177528425,7,2,981.513032622791,0,0,0,0.00361097814302456,0.00509876312899177,1.24978834000683e-23,1.99286229765085e-23,FALSE,TRUE,FALSE
"abf-1","abf-1",1.51184460276869e-120,7.8066773994984e-120,-201.99241255984,-486.083829797203,7,2,1076.75299784694,0,0,0,1.39033219765508e-32,1.32546099103474e-31,4.93060325148183e-91,2.13787668147226e-90,TRUE,FALSE,FALSE
