,t1,t2,avg
aha-1,6.255126,6.277865,6.2664955
ahr-1,4.977182,7.926651,6.451916499999999
atf-2,6.1187,6.118777,6.118738499999999
atf-6,-1.393511,9.40765,4.0070695
cdc-14,2.015426,6.462881,4.2391535000000005
ceh-1,7.046841,10.21168,8.6292605
ceh-2,5.845367,10.430804,8.1380855
ceh-5,7.351501,7.351645,7.351573
ceh-6,-3.521031,8.631922,2.5554455
ceh-8,1.956294,7.52083,4.738562
ceh-9,5.082193,8.37892,6.7305565000000005
ceh-10,0.4162212,7.8890104,4.1526158
ceh-12,6.336821,6.8159,6.5763605
ceh-13,1.238561,7.981052,4.6098065
ceh-14,7.997303,7.997418,7.997360499999999
ceh-16,2.014983,6.999366,4.5071745
ceh-17,9.106691,9.107015,9.106853
ceh-18,6.4102686,7.8612668,7.135767700000001
ceh-19,8.425072,8.356961,8.3910165
ceh-20,2.365215,8.219232,5.2922235
ceh-21,1.939314,5.490446,3.71488
ceh-22,6.383283,6.661867,6.522575
ceh-24,2.46687,6.057247,4.2620585
pros-1,-4.2980567,5.8850177,0.7934804999999998
ceh-27,6.091756,12.220684,9.15622
ceh-28,5.722826,10.260396,7.991611000000001
ceh-30,1.962806,8.459384,5.211095
ceh-31,9.040271,9.040661,9.040466
ceh-32,-5.913252,6.777925,0.4323364999999999
ceh-33,7.418657,9.78537,8.6020135
ceh-34,2.467282,8.972748,5.720015
ceh-36,-0.1736508,6.033119,2.9297341
ceh-37,2.5905583,5.5072941,4.0489262
ceh-38,0.5624841,10.5223416,5.542412850000001
ceh-39,0.906427,1.979093,1.44276
ceh-40,2.471867,18.48117,10.4765185
ceh-41,1.032434,7.053141,4.0427875
ceh-44,4.443619,6.455174,5.449396500000001
cep-1,-7.381075,7.86009,0.2395074999999997
ces-1,4.077049,10.437456,7.2572525
ces-2,1.931702,5.933959,3.9328305
cey-1,1.010682,5.477132,3.243907
cey-2,6.222009,6.795778,6.5088935
cey-3,1.895462,4.53267,3.2140660000000003
cey-4,5.424975,21.31648,13.3707275
cfi-1,2.527046,7.074189,4.8006175
che-1,2.928883,6.513395,4.721139
cky-1,-1.654879,5.282446,1.8137835
cnd-1,5.310354,5.616567,5.4634605
crh-1,8.924245,7.451723,8.187984
dac-1,8.1534293,8.5331055,8.3432674
daf-3,3.021863,12.16749,7.5946765
daf-5,6.2497393,10.4182601,8.3339997
daf-8,1.940031,5.752269,3.84615
daf-12,8.403294,8.404528,8.403911
daf-16,5.177672,5.1777,5.177686
daf-19,6.752808,6.769708,6.761258
dcp-66,-5.765866,9.28613,1.760132
die-1,0.963097,5.397392,3.1802445
dnj-11,6.996268,8.031182,7.513724999999999
dpl-1,4.377723,8.839204,6.6084635
dpy-20,5.320536,5.852322,5.586429
dro-1,2.026,5.772818,3.899409
dsc-1,-7.348127,20.20373,6.4278015
ech-6,1.583109,6.566056,4.0745825
efl-1,4.0478881,9.8463587,6.9471234
efl-2,1.987546,7.856383,4.9219645
egl-5,1.11621539,7.22626608,4.1712407350000005
egl-13,7.675516,6.734642,7.205079
egl-18,6.053937,8.955957,7.504947
egl-38,5.134858,7.393574,6.264216
egl-43,0.7360457,6.2565003,3.496273
egl-44,7.183741,9.230171,8.206956
egl-46,8.620916,8.621015,8.6209655
ehn-3,4.123034,8.136726,6.12988
elt-1,1.91721,5.130708,3.523959
elt-2,1.975588,10.09918,6.037384
elt-3,3.547263,5.052266,4.2997645
elt-4,-0.2472971,9.016694,4.384698449999999
elt-6,7.558424,7.614296,7.58636
end-1,2.479962,8.417554,5.448758000000001
end-3,4.959837,7.344037,6.151937
eor-1,4.4639032,4.3861707,4.42503695
fos-1,4.4142405,6.8191414,5.616690950000001
eya-1,2.813055,7.005424,4.9092395
fax-1,6.928666,4.039146,5.483905999999999
fkh-2,2.857654,4.986311,3.9219825
fkh-3,2.4647906,6.0884903,4.27664045
fkh-4,0.1787606,7.0006424,3.5897015000000003
fkh-5,1.597323,9.578328,5.5878255
