Your Input	Public Name
F17A2.13.1	F17A2.13
C52B9.3a.1	coel-1
F35H12.6.1	F35H12.6
C44H4.1.1	lron-1
ZK678.1.1	lin-15A
F48F7.3.1	F48F7.3
K11G12.7.1	acr-3
K03E6.1a.1	lim-6
F13C5.2.1	F13C5.2
T01C8.1c.1	aak-2
C11G6.1d.1	taf-3
T05A10.1c.1	sma-9
C25A11.4d.1	ajm-1
D1079.1c.1	D1079.1
H42K12.3.3	H42K12.3
K09E2.4a.1	rig-1
W04G3.11.1	W04G3.11
F11C7.7.1	F11C7.7
F22H10.1.1	F22H10.1
K02B9.4a.1	elt-3
T13C5.3.2	T13C5.3
C33D12.7.1	ceh-30
C45B2.1.1	C45B2.1
C52B9.1a.1	cka-2
F47B10.7.1	acbp-3
F47B10.4.1	F47B10.4
C16E9.2b.1	C16E9.2
F33C8.1.1	atrn-1
T24C2.3.1	T24C2.3
R03G8.3.1	R03G8.3
C03B1.7b.1	C03B1.7
F11D5.3a.1	ddr-2
R03G5.1.3	eef-1A.2
T24C12.1.1	T24C12.1
W04G3.5.1	W04G3.5
K09E9.1a.1	K09E9.1
C33E10.2.1	fbxa-120
F49E7.1b.2	rme-6
Y71H10A.2.1	fard-1
C07B5.5.1	nuc-1
Y34B4A.6.1	Y34B4A.6
R07B1.1.1	vab-15
C39B10.6a.1	elt-4
F56B6.2a.1	rgs-7
F18G5.3.1	gpa-12
B0416.2.1	B0416.2
B0198.2b.1	B0198.2
C23H4.8.1	C23H4.8
T23E7.2d.4	T23E7.2
K04C1.5.1	K04C1.5
C16E9.2b.2	C16E9.2
ZK662.3b.1	nhr-48
T05A10.3.1	ttr-14
F07G6.10.1	F07G6.10
K09E2.3.1	K09E2.3
E01H11.1a.1	pkc-2
F39F10.3.1	F39F10.3
M03A8.3.1	M03A8.3
ZK867.1b.1	syd-9
K09E9.7.4	K09E9.7
T28B4.1b.1	T28B4.1
T22B2.4b.2	sup-12
K06G5.1.1	K06G5.1
M03B6.2.1	mct-3
C38C5.1b.1	C38C5.1
T04F8.6.1	noca-2
R09G11.1.1	sup-10
R07B1.2.1	lec-7
F52D2.7.1	F52D2.7
C46F2.1.1	C46F2.1
T20F7.1.1	T20F7.1
F08B12.1.1	prmn-1
R03A10.4a.1	nkat-3
T05A10.1m.1	sma-9
C04B4.2.1	C04B4.2
K08H2.10.2	K08H2.10
F53H8.1.1	apm-3
F20D1.3.1	F20D1.3
F08C6.4b.1	sto-1
C18A11.2.1	C18A11.2
R09G11.2a.1	nhr-1
B0395.2.1	mboa-1
F52D2.6.1	F52D2.6
F17H10.2b.2	F17H10.2
K09E9.7.3	K09E9.7
T08D10.5.1	T08D10.5
H01M10.3.1	ttr-42
Y41G9A.3.1	aakg-3
T05A10.1b.1	sma-9
C49F5.5.1	C49F5.5
R03G8.3.2	R03G8.3
K02B9.4a.2	elt-3
T03G6.1.1	T03G6.1
C10A4.9a.1	C10A4.9
F53H4.2.1	F53H4.2
C17G1.14.1	C17G1.14
F39D8.3a.1	F39D8.3
C53B7.3d.1	C53B7.3
F55F3.1.1	aakb-1
F02C12.3.1	F02C12.3
T22H6.5.1	abf-5
C56G3.1a.1	npr-8
K06G5.2.1	cyp-13B2
C47C12.3a.1	ref-2
F47E1.1.1	F47E1.1
F52H2.2b.1	aat-3
F02E8.1.2	asb-2
T08A9.1.1	epg-7
K02G10.3.1	tmem-135
R07B1.13.1	R07B1.13
C36E6.1a.1	fubl-3
F38E9.6.2	F38E9.6
C10A4.1.1	C10A4.1
C11E4.8d.2	C11E4.8
F14D12.4d.1	mec-2
K09A9.4.1	usp-33
D1025.6.1	nspc-16
Y73B3A.22.1	fbxa-222
T22H6.7.1	abf-6
F49H12.7.1	F49H12.7
F44A6.3.1	F44A6.3
C33D12.7.2	ceh-30
F13C5.1.2	F13C5.1
F45E1.4.1	F45E1.4
T24D8.1.1	lgc-40
F01G12.2b.1	sur-7
R09F10.1.1	R09F10.1
M163.4.1	gfi-3
C04A11.4a.1	adm-2
C10A4.3.1	C10A4.3
F11A1.3e.2	daf-12
F18G5.3.2	gpa-12
Y41G9A.4c.1	gbb-1
K09E2.4b.2	rig-1
F31B9.3.1	F31B9.3
F34H10.5.2	F34H10.5
K04C1.2b.1	K04C1.2
C15C7.4.2	C15C7.4
Y71H10A.2.2	fard-1
T14F9.3.2	hex-1
C52B11.2.1	inso-1
C05E11.5.1	amt-4
F41E7.1.1	slc-9B.1
F16H9.1c.1	rgs-2
F48F7.6.1	F48F7.6
C09B7.2d.1	C09B7.2
T19D7.3.1	lpr-7
C44C1.2.1	chil-10
T23E7.2d.1	T23E7.2
K08A8.1a.1	mek-1
C17H11.1.1	C17H11.1
K09E9.7.2	K09E9.7
B0563.18.1	B0563.18
C15H9.1.1	nnt-1
C18A11.3.1	C18A11.3
C45B2.2.1	C45B2.2
C34D10.1.1	C34D10.1
F19G12.3.1	F19G12.3
F41C6.1.2	unc-6
ZK899.6.1	ZK899.6
E01H11.1b.1	pkc-2
C26G2.1a.1	syg-2
R07E3.2.1	R07E3.2
ZK899.8j.1	gap-2
C05D9.5.1	ife-4
C07D8.6.1	C07D8.6
C01C4.3a.1	C01C4.3
T01B10.5.1	T01B10.5
C17H11.2.1	C17H11.2
F16H9.1d.1	rgs-2
C05C9.2.1	C05C9.2
F27D9.2.1	F27D9.2
K09C4.1a.1	K09C4.1
C07A12.4.2	pdi-2
F54F7.4.1	xtr-1
C01C4.3a.4	C01C4.3
ZK899.3.2	ZK899.3
C54H2.1b.2	sym-3
C24A3.6.1	twk-18
F42F12.9.1	nspc-10
ZK470.14.1	ZK470.14
F48F7.1a.1	alg-1
F09F9.5.1	F09F9.5
C38C5.1a.1	C38C5.1
K11E4.2.1	K11E4.2
C23F12.1g.1	fln-2
F42E11.1b.1	pgp-4
C02C6.2b.1	olrn-1
C40H5.2c.1	C40H5.2
C40C9.4b.1	C40C9.4
F14B8.3.1	pes-23
