,five_prime_transcript,peak,five_prime_start,five_prime_end,peak_start,peak_end
0,H10E21.2.1,lsy-2,3453.0,3727.0,3483,3862
1,H10E21.3a.1,dve-1,14754.0,14869.0,14764,14936
2,H10E21.3a.1,lsy-2,14754.0,14869.0,14816,15195
3,H10E21.2.1,ces-1,4145.0,4250.0,4203,4642
4,H10E21.2.1,lsy-2,4145.0,4250.0,4226,4581
5,H10E21.1a.3,ceh-39,15810.0,16806.0,16007,16466
6,H10E21.1a.1,nhr-2,16041.0,16251.0,16130,16599
7,H10E21.1a.3,nhr-2,15810.0,16806.0,16130,16599
8,H10E21.1a.1,pax-1,16041.0,16251.0,16194,16713
9,H10E21.1a.3,pax-1,15810.0,16806.0,16194,16713
10,H10E21.1a.1,ceh-39,16041.0,16251.0,16243,16702
11,H10E21.1a.3,ceh-39,15810.0,16806.0,16243,16702
12,H10E21.1a.3,pax-1,15810.0,16806.0,16258,16667
13,H10E21.1a.3,F23F12.9,15810.0,16806.0,16310,16693
14,H10E21.1a.2,nhr-2,16041.0,16624.0,16130,16599
15,H10E21.1a.3,pax-1,15810.0,16806.0,16398,16917
16,H10E21.3a.1,dve-1,14754.0,14869.0,14764,14936
17,H10E21.1a.4,pax-1,16180.0,16251.0,16194,16713
18,H10E21.3a.1,lsy-2,14754.0,14869.0,14816,15195
19,H10E21.1a.4,ceh-39,16180.0,16251.0,16243,16702
20,H10E21.1a.2,pax-1,16041.0,16624.0,16194,16713
21,H10E21.1a.3,mab-5,15810.0,16806.0,16490,16953
22,H10E21.1a.2,ceh-39,16041.0,16624.0,16243,16702
23,H10E21.1a.2,pax-1,16041.0,16624.0,16258,16667
24,H10E21.1a.3,nhr-237,15810.0,16806.0,16761,17230
25,H10E21.1a.2,F23F12.9,16041.0,16624.0,16310,16693
26,H10E21.1a.4,nhr-237,16521.0,16806.0,16761,17230
27,H10E21.1a.2,pax-1,16041.0,16624.0,16398,16917
28,H10E21.1a.1,nhr-2,16041.0,16251.0,16130,16599
29,H10E21.1a.2,mab-5,16041.0,16624.0,16490,16953
30,H10E21.1a.1,pax-1,16041.0,16251.0,16194,16713
31,H10E21.1a.1,ceh-39,16041.0,16251.0,16243,16702
32,H10E21.4.1,F23F12.9,19564.0,19675.0,19569,19952
33,H10E21.4.1,blmp-1,19564.0,19675.0,19592,20134
