,0,1,2,3,4,5,6,7,8
Y38C1AB.4c.1,IV,WormBase,five_prime_UTR,641.0,694.0,.,+,.,Parent=Transcript:Y38C1AB.4c.1
Y38C1AB.4d.1,IV,WormBase,five_prime_UTR,641.0,694.0,.,+,.,Parent=Transcript:Y38C1AB.4d.1
Y38C1AB.4b.1,IV,WormBase,five_prime_UTR,641.0,694.0,.,+,.,Parent=Transcript:Y38C1AB.4b.1
Y38C1AB.4c.1,IV,WormBase,three_prime_UTR,14927.0,15415.0,.,+,.,Parent=Transcript:Y38C1AB.4c.1
Y38C1AB.4a.1,IV,WormBase,three_prime_UTR,14927.0,15330.0,.,+,.,Parent=Transcript:Y38C1AB.4a.1
Y38C1AB.4d.1,IV,WormBase,three_prime_UTR,14927.0,15414.0,.,+,.,Parent=Transcript:Y38C1AB.4d.1
Y38C1AB.4b.1,IV,WormBase,three_prime_UTR,14927.0,15416.0,.,+,.,Parent=Transcript:Y38C1AB.4b.1
Y38C1AB.8a.1,IV,WormBase,three_prime_UTR,32463.0,32952.0,.,-,.,Parent=Transcript:Y38C1AB.8a.1
Y38C1AB.8b.1,IV,WormBase,three_prime_UTR,32464.0,32952.0,.,-,.,Parent=Transcript:Y38C1AB.8b.1
Y38C1AB.8b.1,IV,WormBase,five_prime_UTR,48845.0,48880.0,.,-,.,Parent=Transcript:Y38C1AB.8b.1
Y38C1AB.8a.1,IV,WormBase,five_prime_UTR,48845.0,48880.0,.,-,.,Parent=Transcript:Y38C1AB.8a.1
T05C7.4.1,IV,WormBase,three_prime_UTR,52725.0,52826.0,.,-,.,Parent=Transcript:T05C7.4.1
T05C7.4.2,IV,WormBase,three_prime_UTR,53082.0,53400.0,.,-,.,Parent=Transcript:T05C7.4.2
T05C7.4.1,IV,WormBase,three_prime_UTR,53347.0,53400.0,.,-,.,Parent=Transcript:T05C7.4.1
T05C7.4.2,IV,WormBase,five_prime_UTR,53632.0,53639.0,.,-,.,Parent=Transcript:T05C7.4.2
T05C7.4.1,IV,WormBase,five_prime_UTR,53632.0,53639.0,.,-,.,Parent=Transcript:T05C7.4.1
T05C7.5.1,IV,WormBase,three_prime_UTR,57449.0,57980.0,.,-,.,Parent=Transcript:T05C7.5.1
T05C7.5.1,IV,WormBase,five_prime_UTR,58396.0,58425.0,.,-,.,Parent=Transcript:T05C7.5.1
T05C7.5.1,IV,WormBase,five_prime_UTR,58837.0,58918.0,.,-,.,Parent=Transcript:T05C7.5.1
B0545.3.1,IV,WormBase,three_prime_UTR,86840.0,86889.0,.,-,.,Parent=Transcript:B0545.3.1
B0545.3.1,IV,WormBase,five_prime_UTR,90018.0,90091.0,.,-,.,Parent=Transcript:B0545.3.1
B0545.1a.1,IV,WormBase,five_prime_UTR,91980.0,92051.0,.,+,.,Parent=Transcript:B0545.1a.1
B0545.1b.1,IV,WormBase,five_prime_UTR,91980.0,92077.0,.,+,.,Parent=Transcript:B0545.1b.1
B0545.1b.1,IV,WormBase,five_prime_UTR,92622.0,92651.0,.,+,.,Parent=Transcript:B0545.1b.1
B0545.1b.2,IV,WormBase,five_prime_UTR,92803.0,92910.0,.,+,.,Parent=Transcript:B0545.1b.2
B0545.1b.1,IV,WormBase,five_prime_UTR,92804.0,92910.0,.,+,.,Parent=Transcript:B0545.1b.1
B0545.1b.1,IV,WormBase,five_prime_UTR,93685.0,93830.0,.,+,.,Parent=Transcript:B0545.1b.1
B0545.1b.2,IV,WormBase,five_prime_UTR,93685.0,93830.0,.,+,.,Parent=Transcript:B0545.1b.2
B0545.1b.1,IV,WormBase,five_prime_UTR,98788.0,98890.0,.,+,.,Parent=Transcript:B0545.1b.1
B0545.1b.2,IV,WormBase,five_prime_UTR,98788.0,98890.0,.,+,.,Parent=Transcript:B0545.1b.2
B0545.1b.3,IV,WormBase,five_prime_UTR,103926.0,103961.0,.,+,.,Parent=Transcript:B0545.1b.3
B0545.1b.1,IV,WormBase,five_prime_UTR,103933.0,103961.0,.,+,.,Parent=Transcript:B0545.1b.1
B0545.1b.2,IV,WormBase,five_prime_UTR,103933.0,103961.0,.,+,.,Parent=Transcript:B0545.1b.2
B0545.1b.3,IV,WormBase,three_prime_UTR,110152.0,110754.0,.,+,.,Parent=Transcript:B0545.1b.3
B0545.1a.1,IV,WormBase,three_prime_UTR,110152.0,110819.0,.,+,.,Parent=Transcript:B0545.1a.1
B0545.1b.1,IV,WormBase,three_prime_UTR,110152.0,110750.0,.,+,.,Parent=Transcript:B0545.1b.1
F29C4.6.2,IV,WormBase,three_prime_UTR,119256.0,119404.0,.,-,.,Parent=Transcript:F29C4.6.2
F29C4.6.1,IV,WormBase,three_prime_UTR,119269.0,119404.0,.,-,.,Parent=Transcript:F29C4.6.1
F29C4.6.1,IV,WormBase,five_prime_UTR,121698.0,121707.0,.,-,.,Parent=Transcript:F29C4.6.1
F29C4.7a.1,IV,WormBase,three_prime_UTR,121797.0,121927.0,.,-,.,Parent=Transcript:F29C4.7a.1
F29C4.7b.1,IV,WormBase,three_prime_UTR,121798.0,122085.0,.,-,.,Parent=Transcript:F29C4.7b.1
F29C4.7b.1,IV,WormBase,three_prime_UTR,122405.0,122545.0,.,-,.,Parent=Transcript:F29C4.7b.1
F29C4.7b.1,IV,WormBase,five_prime_UTR,125924.0,125931.0,.,-,.,Parent=Transcript:F29C4.7b.1
F29C4.7a.1,IV,WormBase,five_prime_UTR,125924.0,125929.0,.,-,.,Parent=Transcript:F29C4.7a.1
F29C4.2.1,IV,WormBase,five_prime_UTR,126731.0,126731.0,.,+,.,Parent=Transcript:F29C4.2.1
F29C4.2.1,IV,WormBase,three_prime_UTR,127515.0,127640.0,.,+,.,Parent=Transcript:F29C4.2.1
F29C4.1a.1,IV,WormBase,five_prime_UTR,132416.0,132450.0,.,+,.,Parent=Transcript:F29C4.1a.1
F29C4.1a.1,IV,WormBase,three_prime_UTR,137622.0,138081.0,.,+,.,Parent=Transcript:F29C4.1a.1
F29C4.8a.1,IV,WormBase,three_prime_UTR,137974.0,138759.0,.,-,.,Parent=Transcript:F29C4.8a.1
F29C4.8e.1,IV,WormBase,three_prime_UTR,137986.0,138759.0,.,-,.,Parent=Transcript:F29C4.8e.1
F29C4.8f.1,IV,WormBase,three_prime_UTR,138050.0,138759.0,.,-,.,Parent=Transcript:F29C4.8f.1
Y38C1AA.9.1,IV,WormBase,three_prime_UTR,156066.0,156138.0,.,-,.,Parent=Transcript:Y38C1AA.9.1
Y38C1AA.9.1,IV,WormBase,five_prime_UTR,157891.0,157909.0,.,-,.,Parent=Transcript:Y38C1AA.9.1
Y38C1AA.7.1,IV,WormBase,five_prime_UTR,158962.0,159027.0,.,+,.,Parent=Transcript:Y38C1AA.7.1
Y38C1AA.7.1,IV,WormBase,three_prime_UTR,159783.0,159836.0,.,+,.,Parent=Transcript:Y38C1AA.7.1
Y38C1AA.19.1,IV,WormBase,three_prime_UTR,161664.0,162047.0,.,+,.,Parent=Transcript:Y38C1AA.19.1
Y38C1AA.6.1,IV,WormBase,five_prime_UTR,162830.0,162851.0,.,+,.,Parent=Transcript:Y38C1AA.6.1
Y38C1AA.6.1,IV,WormBase,three_prime_UTR,164593.0,164801.0,.,+,.,Parent=Transcript:Y38C1AA.6.1
Y38C1AA.5a.1,IV,WormBase,five_prime_UTR,165077.0,165176.0,.,+,.,Parent=Transcript:Y38C1AA.5a.1
Y38C1AA.5b.1,IV,WormBase,five_prime_UTR,165141.0,165176.0,.,+,.,Parent=Transcript:Y38C1AA.5b.1
Y38C1AA.5a.1,IV,WormBase,three_prime_UTR,169865.0,169980.0,.,+,.,Parent=Transcript:Y38C1AA.5a.1
Y38C1AA.5b.1,IV,WormBase,three_prime_UTR,169865.0,169967.0,.,+,.,Parent=Transcript:Y38C1AA.5b.1
Y38C1AA.4a.1,IV,WormBase,three_prime_UTR,182915.0,183254.0,.,+,.,Parent=Transcript:Y38C1AA.4a.1
Y38C1AA.3a.1,IV,WormBase,five_prime_UTR,184484.0,184649.0,.,+,.,Parent=Transcript:Y38C1AA.3a.1
Y38C1AA.3b.2,IV,WormBase,five_prime_UTR,186254.0,186431.0,.,+,.,Parent=Transcript:Y38C1AA.3b.2
Y38C1AA.3a.1,IV,WormBase,three_prime_UTR,192080.0,192151.0,.,+,.,Parent=Transcript:Y38C1AA.3a.1
Y38C1AA.3b.2,IV,WormBase,three_prime_UTR,192080.0,192144.0,.,+,.,Parent=Transcript:Y38C1AA.3b.2
Y38C1AA.3b.1,IV,WormBase,three_prime_UTR,192080.0,192143.0,.,+,.,Parent=Transcript:Y38C1AA.3b.1
Y38C1AA.12a.1,IV,WormBase,five_prime_UTR,192256.0,192481.0,.,+,.,Parent=Transcript:Y38C1AA.12a.1
Y38C1AA.12b.1,IV,WormBase,five_prime_UTR,192293.0,192481.0,.,+,.,Parent=Transcript:Y38C1AA.12b.1
Y38C1AA.12b.1,IV,WormBase,three_prime_UTR,193908.0,194745.0,.,+,.,Parent=Transcript:Y38C1AA.12b.1
Y38C1AA.12a.1,IV,WormBase,three_prime_UTR,194065.0,194745.0,.,+,.,Parent=Transcript:Y38C1AA.12a.1
Y38C1AA.2.1,IV,WormBase,five_prime_UTR,194742.0,194777.0,.,+,.,Parent=Transcript:Y38C1AA.2.1
Y38C1AA.2.1,IV,WormBase,three_prime_UTR,202442.0,202586.0,.,+,.,Parent=Transcript:Y38C1AA.2.1
Y38C1AA.13.1,IV,WormBase,five_prime_UTR,203602.0,203881.0,.,+,.,Parent=Transcript:Y38C1AA.13.1
Y38C1AA.13.1,IV,WormBase,three_prime_UTR,205082.0,205262.0,.,+,.,Parent=Transcript:Y38C1AA.13.1
Y38C1AA.14a.1,IV,WormBase,three_prime_UTR,207985.0,208085.0,.,+,.,Parent=Transcript:Y38C1AA.14a.1
Y38C1AA.1c.1,IV,WormBase,five_prime_UTR,208185.0,208207.0,.,+,.,Parent=Transcript:Y38C1AA.1c.1
Y38C1AA.1a.1,IV,WormBase,five_prime_UTR,208189.0,208207.0,.,+,.,Parent=Transcript:Y38C1AA.1a.1
Y38C1AA.1b.1,IV,WormBase,five_prime_UTR,210887.0,210956.0,.,+,.,Parent=Transcript:Y38C1AA.1b.1
Y38C1AA.1d.1,IV,WormBase,five_prime_UTR,210895.0,210956.0,.,+,.,Parent=Transcript:Y38C1AA.1d.1
Y38C1AA.1c.1,IV,WormBase,three_prime_UTR,217003.0,217399.0,.,+,.,Parent=Transcript:Y38C1AA.1c.1
Y38C1AA.1a.1,IV,WormBase,three_prime_UTR,217003.0,217391.0,.,+,.,Parent=Transcript:Y38C1AA.1a.1
Y38C1AA.1b.1,IV,WormBase,three_prime_UTR,217003.0,217397.0,.,+,.,Parent=Transcript:Y38C1AA.1b.1
Y38C1AA.1d.1,IV,WormBase,three_prime_UTR,217003.0,217396.0,.,+,.,Parent=Transcript:Y38C1AA.1d.1
Y38C1AA.11.1,IV,WormBase,five_prime_UTR,218552.0,218566.0,.,+,.,Parent=Transcript:Y38C1AA.11.1
Y38C1AA.11.1,IV,WormBase,three_prime_UTR,220770.0,220855.0,.,+,.,Parent=Transcript:Y38C1AA.11.1
R02D3.3a.1,IV,WormBase,three_prime_UTR,225439.0,225480.0,.,-,.,Parent=Transcript:R02D3.3a.1
R02D3.4a.1,IV,WormBase,three_prime_UTR,232473.0,232595.0,.,-,.,Parent=Transcript:R02D3.4a.1
R02D3.5.1,IV,WormBase,three_prime_UTR,237591.0,237961.0,.,-,.,Parent=Transcript:R02D3.5.1
R02D3.5.1,IV,WormBase,five_prime_UTR,240299.0,240307.0,.,-,.,Parent=Transcript:R02D3.5.1
R02D3.2.1,IV,WormBase,five_prime_UTR,240451.0,240588.0,.,+,.,Parent=Transcript:R02D3.2.1
R02D3.2.1,IV,WormBase,three_prime_UTR,243905.0,244130.0,.,+,.,Parent=Transcript:R02D3.2.1
R02D3.1b.1,IV,WormBase,five_prime_UTR,245143.0,245196.0,.,+,.,Parent=Transcript:R02D3.1b.1
