,five_prime_transcript,peak,five_prime_start,five_prime_end,peak_start,peak_end
0,B0348.5a.1,gei-11,1635.0,1782.0,1739,2134
1,B0348.5b.1,ama-1,5536.0,5656.0,5588,6892
2,B0348.5b.1,ama-1,5536.0,5656.0,5588,6892
3,B0348.2a.1,hlh-1,45310.0,45466.0,45361,45540
4,Y38C9B.1.1,F23F12.9,59239.0,59266.0,59246,59629
5,B0348.2a.1,hlh-1,45310.0,45466.0,45361,45540
6,Y38C9A.2a.1,pha-4,122753.0,122789.0,122773,123094
7,Y38C9A.2a.1,ces-1,122753.0,122789.0,122779,123214
8,Y38C9A.2a.1,F23F12.9,122753.0,122789.0,122780,123163
9,Y38C9A.2a.1,nfya-1,122753.0,122789.0,122787,123015
10,W03F9.2a.1,nfya-1,127952.0,128034.0,127955,128251
11,W03F9.2a.1,med-1,127952.0,128034.0,127964,128163
12,W03F9.2a.1,ceh-30,127952.0,128034.0,127970,128523
13,W03F9.2a.1,mep-1,127952.0,128034.0,127987,128232
14,W03F9.2a.1,nfya-1,127952.0,128034.0,128009,128239
15,W03F9.2a.1,hlh-1,127952.0,128034.0,128031,128441
16,W03F9.1a.1,lsy-2,126650.0,126718.0,126653,127032
17,W03F9.1a.1,pha-4,126650.0,126718.0,126657,126945
18,W03F9.1a.1,blmp-1,126650.0,126718.0,126668,126847
19,W03F9.1a.1,blmp-1,126650.0,126718.0,126668,126793
20,W03F9.1a.1,lin-13,126650.0,126718.0,126673,126935
21,W03F9.1a.1,ces-1,126650.0,126718.0,126679,126985
22,W03F9.2a.1,nfya-1,127952.0,128034.0,127955,128251
23,W03F9.1a.1,pha-4,126650.0,126718.0,126679,126968
24,W03F9.2a.1,med-1,127952.0,128034.0,127964,128163
25,W03F9.1a.1,ces-1,126650.0,126718.0,126691,126958
26,W03F9.2a.1,ceh-30,127952.0,128034.0,127970,128523
27,W03F9.1a.1,ces-1,126650.0,126718.0,126692,126940
28,W03F9.2a.1,mep-1,127952.0,128034.0,127987,128232
29,W03F9.2a.1,nfya-1,127952.0,128034.0,128009,128239
30,W03F9.1a.1,gei-11,126650.0,126718.0,126695,127090
31,W03F9.2a.1,hlh-1,127952.0,128034.0,128031,128441
32,W03F9.1a.1,hlh-1,126650.0,126718.0,126707,126893
33,W03F9.1a.1,ceh-30,126650.0,126718.0,126716,126878
34,W03F9.1a.1,lsy-2,126650.0,126718.0,126653,127032
35,W03F9.1a.1,pha-4,126650.0,126718.0,126657,126945
36,W03F9.1a.1,blmp-1,126650.0,126718.0,126668,126847
37,W03F9.1a.1,blmp-1,126650.0,126718.0,126668,126793
38,W03F9.1a.1,lin-13,126650.0,126718.0,126673,126935
39,W03F9.1a.1,ces-1,126650.0,126718.0,126679,126985
40,W03F9.1a.1,pha-4,126650.0,126718.0,126679,126968
41,W03F9.1a.1,ces-1,126650.0,126718.0,126691,126958
42,W03F9.1a.1,ces-1,126650.0,126718.0,126692,126940
43,W03F9.1a.1,gei-11,126650.0,126718.0,126695,127090
44,W03F9.1a.1,hlh-1,126650.0,126718.0,126707,126893
45,W03F9.1a.1,ceh-30,126650.0,126718.0,126716,126878
46,Y108G3AL.7b.1,lsy-2,186167.0,186304.0,186182,186561
47,DC2.3a.1,lsy-2,204382.0,204389.0,204385,204764
48,Y108G3AL.7a.1,lsy-2,186169.0,186304.0,186182,186561
49,DC2.5a.1,ces-1,212635.0,212787.0,212683,213122
50,DC2.5a.1,mep-1,212635.0,212787.0,212719,212888
51,DC2.5a.1,nhr-2,212635.0,212787.0,212760,213159
52,Y108G3AL.7b.1,lsy-2,186167.0,186304.0,186182,186561
53,DC2.5a.1,nhr-2,212635.0,212787.0,212769,213238
54,DC2.3b.1,lsy-2,204382.0,204389.0,204385,204764
55,Y108G3AL.7a.1,lsy-2,186169.0,186304.0,186182,186561
56,R02C2.6.2,nhr-2,240357.0,240369.0,240361,240616
57,R02C2.6.2,nhr-2,240357.0,240369.0,240363,240605
58,R02C2.6.2,nhr-2,240357.0,240369.0,240361,240616
59,R02C2.6.2,nhr-2,240357.0,240369.0,240363,240605
60,Y58G8A.1.1,ces-1,268307.0,268341.0,268315,268754
61,R02C2.2.1,ceh-39,246144.0,246197.0,246187,246602
62,R02C2.4b.1,mab-5,257981.0,258830.0,258015,258504
63,R02C2.4b.1,lsy-2,257981.0,258830.0,258022,258377
64,R02C2.4b.1,gei-11,257981.0,258830.0,258570,258965
65,R02C2.4b.1,nhr-2,257981.0,258830.0,258739,259208
66,R02C2.4b.1,pax-1,257981.0,258830.0,258762,259281
67,R02C2.4b.1,gei-11,257981.0,258830.0,258797,259192
68,R02C2.4b.1,nhr-237,257981.0,258830.0,258829,259292
69,R02C2.4b.1,mab-5,257981.0,258830.0,258015,258504
70,R02C2.4b.1,lsy-2,257981.0,258830.0,258022,258377
71,F33E11.1a.2,pha-4,319406.0,320356.0,320006,320265
72,R02C2.4b.1,gei-11,257981.0,258830.0,258570,258965
73,F33E11.1a.2,mep-1,319406.0,320356.0,320067,320154
74,R02C2.4b.1,nhr-2,257981.0,258830.0,258739,259208
75,F33E11.1a.2,lin-13,319406.0,320356.0,320074,320452
76,F33E11.1a.1,lin-13,312721.0,312852.0,312811,313005
77,F33E11.1a.2,pax-1,319406.0,320356.0,320188,320597
78,R02C2.4b.1,pax-1,257981.0,258830.0,258762,259281
79,F33E11.6b.1,nhr-237,311536.0,311565.0,311546,312015
80,R02C2.4b.1,gei-11,257981.0,258830.0,258797,259192
81,F33E11.6b.1,gei-11,311536.0,311565.0,311549,311944
82,R02C2.4b.1,nhr-237,257981.0,258830.0,258829,259292
83,F33E11.6b.1,gei-11,311536.0,311565.0,311552,311947
84,F33E11.6b.1,hlh-1,311536.0,311565.0,311562,311751
85,F33E11.1a.2,pha-4,319406.0,320356.0,320006,320265
86,F33E11.1a.2,mep-1,319406.0,320356.0,320067,320154
87,F33E11.1a.2,lin-13,319406.0,320356.0,320074,320452
88,F33E11.1a.2,pax-1,319406.0,320356.0,320188,320597
89,F33E11.1a.1,lin-13,312721.0,312852.0,312811,313005
90,T22H9.3.1,gei-11,343428.0,343485.0,343438,343833
91,ZK6.4.1,gei-11,396593.0,396826.0,396692,397087
92,Y39D8B.1a.1,F23F12.9,370333.0,370357.0,370334,370717
93,ZK6.4.1,mab-5,396593.0,396826.0,396704,397167
94,ZK6.4.1,nhr-2,396593.0,396826.0,396762,397161
95,Y39D8A.1a.1,mab-5,418732.0,419708.0,418846,419335
96,Y39D8A.1a.1,nhr-11,418732.0,419708.0,419167,419295
97,Y39D8A.1a.1,nhr-11,418732.0,419708.0,419245,419252
98,M02H5.6c.1,ceh-39,453869.0,454048.0,454002,454417
99,M02H5.6c.1,pha-4,453869.0,454048.0,454025,454513
100,Y39D8A.1a.1,mab-5,418732.0,419708.0,418846,419335
101,Y39D8A.1a.1,nhr-11,418732.0,419708.0,419167,419295
102,Y39D8A.1a.1,nhr-11,418732.0,419708.0,419245,419252
103,M02H5.6c.1,ceh-39,453869.0,454048.0,454002,454417
104,M02H5.6c.1,pha-4,453869.0,454048.0,454025,454513
105,M02H5.3.2,gei-11,465184.0,465756.0,465206,465601
106,M02H5.3.1,nhr-28,464828.0,464863.0,464832,465085
107,M02H5.3.2,nhr-2,465184.0,465756.0,465222,465691
108,M02H5.3.1,nhr-28,464828.0,464863.0,464848,465061
109,M02H5.3.1,pha-4,464828.0,464863.0,464848,465620
110,M02H5.3.2,gei-11,465184.0,465756.0,465239,465634
111,M02H5.3.2,pha-4,465184.0,465756.0,465352,465959
112,M02H5.3.2,blmp-1,465184.0,465756.0,465413,465596
113,M02H5.3.2,unc-62,465184.0,465756.0,465444,465677
114,M02H5.3.2,ceh-30,465184.0,465756.0,465457,465600
115,M02H5.3.2,unc-62,465184.0,465756.0,465471,465677
116,M02H5.3.2,lsy-2,465184.0,465756.0,465503,465858
117,M02H5.3.2,gei-11,465184.0,465756.0,465206,465601
118,M02H5.3.2,nhr-2,465184.0,465756.0,465222,465691
119,M02H5.3.2,gei-11,465184.0,465756.0,465239,465634
120,M02H5.3.2,pha-4,465184.0,465756.0,465352,465959
121,M02H5.3.2,blmp-1,465184.0,465756.0,465413,465596
122,M02H5.3.2,unc-62,465184.0,465756.0,465444,465677
123,M02H5.3.2,ceh-30,465184.0,465756.0,465457,465600
124,M02H5.3.2,unc-62,465184.0,465756.0,465471,465677
125,M02H5.3.2,lsy-2,465184.0,465756.0,465503,465858
126,T01G6.2a.1,nhr-2,494370.0,494633.0,494411,494880
127,T01G6.1.1,F23F12.9,497699.0,497838.0,497758,498357
128,T01G6.1.1,mab-5,497699.0,497838.0,497826,498289
129,R11G11.2.1,lsy-2,532259.0,532362.0,532304,532659
130,T01G6.2a.1,nhr-2,494370.0,494633.0,494411,494880
131,R11G11.1.1,nhr-237,534446.0,534516.0,534494,534963
132,R11G11.2.1,lsy-2,532259.0,532362.0,532304,532659
133,T01G6.1.1,F23F12.9,497699.0,497838.0,497758,498357
134,T01G6.1.1,mab-5,497699.0,497838.0,497826,498289
135,R11G11.1.1,nhr-237,534446.0,534516.0,534494,534963
136,K06H6.2.1,ceh-39,585772.0,585847.0,585844,586259
137,K06H6.2.1,gei-11,585772.0,585847.0,585844,586239
138,ZK488.2.1,gei-11,610512.0,610550.0,610529,610924
139,F48G7.7.1,blmp-1,626391.0,626421.0,626405,626570
140,F48G7.10.1,ceh-39,634894.0,634955.0,634936,635351
141,F48G7.11a.1,mep-1,642853.0,642924.0,642875,643147
142,F48G7.11a.1,nhr-2,642853.0,642924.0,642900,643369
143,F48G7.11a.1,ceh-39,642853.0,642924.0,642906,643365
144,F31F4.4.1,F23F12.9,677034.0,677567.0,677162,677761
145,F31F4.4.1,F23F12.9,677034.0,677567.0,677211,677690
146,F31F4.4.1,F23F12.9,677034.0,677567.0,677259,677642
147,F31F4.4.1,nhr-2,677034.0,677567.0,677371,677840
148,Y49C4A.8a.2,ceh-39,699199.0,699589.0,699316,699775
149,Y49C4A.8a.2,nhr-2,699199.0,699589.0,699367,699836
150,Y49C4A.8a.2,nhr-2,699199.0,699589.0,699383,699782
151,Y49C4A.8a.2,nhr-2,699199.0,699589.0,699429,699878
152,H24O09.2.1,nfya-1,723828.0,723952.0,723835,724316
153,H24O09.2.1,dve-1,723828.0,723952.0,723851,727727
154,H24O09.2.1,ceh-39,723828.0,723952.0,723874,724333
155,C05E4.9b.1,dve-1,727958.0,727993.0,727969,728224
156,H24O09.2.1,nhr-237,723828.0,723952.0,723896,724365
157,C05E4.9b.1,nfya-1,727958.0,727993.0,727972,728243
158,H24O09.2.1,lsy-2,723828.0,723952.0,723911,724290
159,C05E4.9b.1,ceh-30,727958.0,727993.0,727985,728178
160,C05E4.9b.1,unc-62,727958.0,727993.0,727985,728358
161,C05E4.9a.1,dve-1,727958.0,728004.0,727969,728224
162,C05E4.9a.1,nfya-1,727958.0,728004.0,727972,728243
163,C05E4.9a.1,ceh-30,727958.0,728004.0,727985,728178
164,C05E4.9a.1,unc-62,727958.0,728004.0,727985,728358
165,C05E4.14b.2,ama-1,731403.0,731529.0,731404,731771
166,Y49C4A.8a.2,ceh-39,699199.0,699589.0,699316,699775
167,C05E4.14b.2,nhr-11,731403.0,731529.0,731415,731704
168,Y49C4A.8a.2,nhr-2,699199.0,699589.0,699367,699836
169,C05E4.14b.2,nhr-2,731403.0,731529.0,731431,731666
170,Y49C4A.8a.2,nhr-2,699199.0,699589.0,699383,699782
171,Y49C4A.8a.2,nhr-2,699199.0,699589.0,699429,699878
172,C05E4.14b.3,nhr-11,731409.0,731529.0,731415,731704
173,C05E4.14b.3,nhr-2,731409.0,731529.0,731431,731666
174,C05E4.9a.1,dve-1,727958.0,728004.0,727969,728224
175,H24O09.2.1,nfya-1,723828.0,723952.0,723835,724316
176,H24O09.2.1,dve-1,723828.0,723952.0,723851,727727
177,C05E4.9a.1,nfya-1,727958.0,728004.0,727972,728243
178,H24O09.2.1,ceh-39,723828.0,723952.0,723874,724333
179,H24O09.2.1,nhr-237,723828.0,723952.0,723896,724365
180,C05E4.9a.1,ceh-30,727958.0,728004.0,727985,728178
181,H24O09.2.1,lsy-2,723828.0,723952.0,723911,724290
182,C05E4.9a.1,unc-62,727958.0,728004.0,727985,728358
183,C05E4.9b.1,dve-1,727958.0,727993.0,727969,728224
184,C05E4.9b.1,nfya-1,727958.0,727993.0,727972,728243
185,C05E4.9b.1,ceh-30,727958.0,727993.0,727985,728178
186,C05E4.9b.1,unc-62,727958.0,727993.0,727985,728358
187,C05E4.14b.3,gei-11,731841.0,731884.0,731857,732252
188,C05E4.14b.2,gei-11,731841.0,731866.0,731857,732252
189,C05E4.14b.3,gei-11,731841.0,731884.0,731857,732252
190,C05E4.14b.3,mab-5,733352.0,733361.0,733355,733844
191,C05E4.14b.4,mab-5,733352.0,733361.0,733355,733844
192,C05E4.14b.1,mab-5,733352.0,733361.0,733355,733844
193,C05E4.14b.2,mab-5,733352.0,733361.0,733355,733844
194,C05E4.14b.2,gei-11,731841.0,731866.0,731857,732252
195,C05E4.15a.1,hlh-1,761260.0,761335.0,761334,761457
196,C05E4.1.2,gei-11,762640.0,762766.0,762686,763081
197,C05E4.15a.1,hlh-1,761260.0,761335.0,761334,761457
198,F41H8.2.1,ces-1,826397.0,826410.0,826398,826837
199,C05E4.1.2,gei-11,762640.0,762766.0,762686,763081
200,T02B11.1.1,nhr-2,879471.0,879601.0,879481,879880
201,T02B11.1.1,nhr-2,879471.0,879601.0,879527,879996
202,H24K24.5a.1,hlh-30,903548.0,903665.0,903551,903812
203,H24K24.5a.1,ceh-30,903548.0,903665.0,903562,903720
204,H24K24.5a.1,hlh-30,903548.0,903665.0,903563,903841
205,H24K24.5a.1,hlh-30,903548.0,903665.0,903551,903812
206,H24K24.5a.1,ceh-30,903548.0,903665.0,903562,903720
207,H24K24.5a.1,hlh-30,903548.0,903665.0,903563,903841
208,Y50D4C.6a.1,ama-1,949850.0,949860.0,949858,950043
209,Y50D4C.5a.1,nhr-2,1003734.0,1003744.0,1003735,1004134
210,Y50D4C.5a.1,mab-5,1003734.0,1003744.0,1003737,1004226
211,Y50D4C.5a.1,pha-4,1003734.0,1003744.0,1003740,1004321
212,Y50D4C.5a.1,mep-1,1003734.0,1003744.0,1003741,1004509
213,R09A1.2a.1,ces-1,1023044.0,1023467.0,1023198,1023637
214,R09A1.2a.1,pax-1,1023044.0,1023467.0,1023207,1023616
215,R09A1.2a.1,lsy-2,1023044.0,1023467.0,1023313,1023668
216,R09A1.2a.1,nhr-2,1023044.0,1023467.0,1023322,1023721
217,R09A1.2a.1,ces-1,1023044.0,1023467.0,1023198,1023637
218,R09A1.2a.1,pax-1,1023044.0,1023467.0,1023207,1023616
219,R09A1.2a.1,lsy-2,1023044.0,1023467.0,1023313,1023668
220,R09A1.5a.1,nhr-2,1031585.0,1031652.0,1031625,1032024
221,R09A1.2a.1,nhr-2,1023044.0,1023467.0,1023322,1023721
222,Y50D4B.2a.1,mab-5,1100580.0,1102006.0,1101195,1101658
223,Y50D4B.2a.1,mab-5,1100580.0,1102006.0,1101229,1101718
224,Y50D4B.2a.1,nhr-237,1100580.0,1102006.0,1101300,1101763
225,Y50D4B.2a.1,ces-1,1100580.0,1102006.0,1101332,1101771
226,Y50D4B.2a.1,ceh-39,1100580.0,1102006.0,1101600,1102015
227,Y50D4B.2a.1,nhr-2,1100580.0,1102006.0,1101908,1102307
228,Y50D4B.2a.1,mab-5,1100580.0,1102006.0,1101195,1101658
229,Y50D4B.2a.1,mab-5,1100580.0,1102006.0,1101229,1101718
230,Y50D4B.2a.1,nhr-237,1100580.0,1102006.0,1101300,1101763
231,Y50D4B.2a.1,ces-1,1100580.0,1102006.0,1101332,1101771
232,Y50D4B.2a.1,ceh-39,1100580.0,1102006.0,1101600,1102015
233,Y50D4B.2a.1,nhr-2,1100580.0,1102006.0,1101908,1102307
234,Y50D4A.4a.1,ces-1,1196094.0,1196127.0,1196095,1196307
235,Y50D4A.4a.1,nhr-2,1196094.0,1196127.0,1196098,1196497
236,Y50D4A.4a.1,ceh-30,1196094.0,1196127.0,1196099,1196287
237,Y50D4A.4a.1,unc-62,1196094.0,1196127.0,1196125,1196292
238,C39F7.1b.1,gei-11,1260342.0,1260464.0,1260366,1260761
239,C39F7.1b.1,lsy-2,1260342.0,1260464.0,1260423,1260778
240,C39F7.1a.1,lsy-2,1260370.0,1260464.0,1260423,1260778
241,C39F7.4.1,pha-4,1263957.0,1263989.0,1263968,1264688
242,C39F7.4.1,unc-62,1263957.0,1263989.0,1263980,1264219
243,C39F7.1a.1,lsy-2,1260370.0,1260464.0,1260423,1260778
244,C39F7.1b.1,gei-11,1260342.0,1260464.0,1260366,1260761
245,C39F7.1b.1,lsy-2,1260342.0,1260464.0,1260423,1260778
246,Y75B7B.2.1,blmp-1,1275810.0,1275835.0,1275828,1276023
247,Y75B7B.2.1,pax-1,1275948.0,1276024.0,1275968,1276487
248,Y75B7B.2.1,pax-1,1275948.0,1276024.0,1275968,1276487
249,Y75B7AL.3.2,nhr-2,1370933.0,1371014.0,1370989,1371458
250,Y75B7AL.3.2,F23F12.9,1370933.0,1371014.0,1370993,1371592
251,Y75B7AR.1.1,unc-62,1392042.0,1393000.0,1392634,1393061
252,Y75B7AR.1.1,nhr-2,1392042.0,1393000.0,1392636,1393035
253,Y75B7AR.1.1,unc-62,1392042.0,1393000.0,1392639,1392821
254,Y75B7AR.1.1,pha-4,1392042.0,1393000.0,1392648,1393093
255,Y75B7AR.1.1,pha-4,1392042.0,1393000.0,1392775,1393017
256,Y75B7AR.1.1,lsy-2,1392042.0,1393000.0,1392845,1393200
257,Y75B7AR.1.1,hlh-1,1392042.0,1393000.0,1392873,1393013
258,R12A1.3a.1,pha-4,1425666.0,1425794.0,1425711,1426119
259,Y75B7AR.1.1,gei-11,1392042.0,1393000.0,1392887,1393282
260,R12A1.3a.1,gei-11,1425666.0,1425794.0,1425713,1426108
261,Y75B7AR.1.1,gei-11,1392042.0,1393000.0,1392955,1393350
262,Y75B7AL.3.2,nhr-2,1370933.0,1371014.0,1370989,1371458
263,Y75B7AL.3.2,F23F12.9,1370933.0,1371014.0,1370993,1371592
264,R09B5.13.1,nhr-237,1442342.0,1442624.0,1442501,1442970
265,Y75B7AR.1.1,unc-62,1392042.0,1393000.0,1392634,1393061
266,Y75B7AR.1.1,nhr-2,1392042.0,1393000.0,1392636,1393035
267,Y75B7AR.1.1,unc-62,1392042.0,1393000.0,1392639,1392821
268,R09B5.13.1,nhr-237,1442342.0,1442624.0,1442501,1442970
269,Y75B7AR.1.1,pha-4,1392042.0,1393000.0,1392648,1393093
270,Y75B7AR.1.1,pha-4,1392042.0,1393000.0,1392775,1393017
271,Y75B7AR.1.1,lsy-2,1392042.0,1393000.0,1392845,1393200
272,Y75B7AR.1.1,hlh-1,1392042.0,1393000.0,1392873,1393013
273,Y75B7AR.1.1,gei-11,1392042.0,1393000.0,1392887,1393282
