,0,1,2,3,4,5,6,7,8
B0348.5a.1,V,WormBase,five_prime_UTR,1635.0,1782.0,.,+,.,Parent=Transcript:B0348.5a.1
B0348.5b.1,V,WormBase,five_prime_UTR,5536.0,5656.0,.,+,.,Parent=Transcript:B0348.5b.1
B0348.5b.1,V,WormBase,three_prime_UTR,6512.0,6634.0,.,+,.,Parent=Transcript:B0348.5b.1
B0348.5a.1,V,WormBase,three_prime_UTR,6512.0,6632.0,.,+,.,Parent=Transcript:B0348.5a.1
B0348.6c.1,V,WormBase,three_prime_UTR,6584.0,6935.0,.,-,.,Parent=Transcript:B0348.6c.1
B0348.6b.1,V,WormBase,three_prime_UTR,6588.0,6935.0,.,-,.,Parent=Transcript:B0348.6b.1
B0348.6a.1,V,WormBase,three_prime_UTR,6596.0,6935.0,.,-,.,Parent=Transcript:B0348.6a.1
B0348.6c.1,V,WormBase,five_prime_UTR,7819.0,7828.0,.,-,.,Parent=Transcript:B0348.6c.1
B0348.6b.1,V,WormBase,five_prime_UTR,7819.0,7824.0,.,-,.,Parent=Transcript:B0348.6b.1
B0348.6a.1,V,WormBase,five_prime_UTR,7819.0,7822.0,.,-,.,Parent=Transcript:B0348.6a.1
B0348.4h.1,V,WormBase,five_prime_UTR,20818.0,21006.0,.,+,.,Parent=Transcript:B0348.4h.1
B0348.4c.1,V,WormBase,five_prime_UTR,20819.0,21006.0,.,+,.,Parent=Transcript:B0348.4c.1
B0348.4q.1,V,WormBase,five_prime_UTR,20819.0,21006.0,.,+,.,Parent=Transcript:B0348.4q.1
B0348.4l.1,V,WormBase,five_prime_UTR,20819.0,21006.0,.,+,.,Parent=Transcript:B0348.4l.1
B0348.4j.1,V,WormBase,five_prime_UTR,20819.0,21006.0,.,+,.,Parent=Transcript:B0348.4j.1
B0348.4m.1,V,WormBase,five_prime_UTR,20819.0,21006.0,.,+,.,Parent=Transcript:B0348.4m.1
B0348.4g.1,V,WormBase,five_prime_UTR,20819.0,21006.0,.,+,.,Parent=Transcript:B0348.4g.1
B0348.4i.1,V,WormBase,five_prime_UTR,20819.0,21006.0,.,+,.,Parent=Transcript:B0348.4i.1
B0348.4k.1,V,WormBase,five_prime_UTR,20821.0,21006.0,.,+,.,Parent=Transcript:B0348.4k.1
B0348.4o.1,V,WormBase,five_prime_UTR,20823.0,21006.0,.,+,.,Parent=Transcript:B0348.4o.1
B0348.4b.1,V,WormBase,five_prime_UTR,20825.0,21006.0,.,+,.,Parent=Transcript:B0348.4b.1
B0348.4a.1,V,WormBase,five_prime_UTR,20825.0,21006.0,.,+,.,Parent=Transcript:B0348.4a.1
B0348.4f.1,V,WormBase,five_prime_UTR,20825.0,21006.0,.,+,.,Parent=Transcript:B0348.4f.1
B0348.4v.1,V,WormBase,five_prime_UTR,20825.0,21006.0,.,+,.,Parent=Transcript:B0348.4v.1
B0348.4s.1,V,WormBase,five_prime_UTR,20837.0,21006.0,.,+,.,Parent=Transcript:B0348.4s.1
B0348.4u.1,V,WormBase,five_prime_UTR,20844.0,21006.0,.,+,.,Parent=Transcript:B0348.4u.1
B0348.4n.1,V,WormBase,five_prime_UTR,20872.0,21006.0,.,+,.,Parent=Transcript:B0348.4n.1
B0348.4c.1,V,WormBase,three_prime_UTR,30442.0,30723.0,.,+,.,Parent=Transcript:B0348.4c.1
B0348.4m.1,V,WormBase,three_prime_UTR,43171.0,43691.0,.,+,.,Parent=Transcript:B0348.4m.1
B0348.4d.1,V,WormBase,three_prime_UTR,43171.0,43687.0,.,+,.,Parent=Transcript:B0348.4d.1
B0348.4e.1,V,WormBase,three_prime_UTR,43171.0,43683.0,.,+,.,Parent=Transcript:B0348.4e.1
B0348.4u.1,V,WormBase,three_prime_UTR,43171.0,43695.0,.,+,.,Parent=Transcript:B0348.4u.1
B0348.4s.1,V,WormBase,three_prime_UTR,43171.0,43563.0,.,+,.,Parent=Transcript:B0348.4s.1
B0348.4i.1,V,WormBase,three_prime_UTR,43171.0,43695.0,.,+,.,Parent=Transcript:B0348.4i.1
B0348.4b.1,V,WormBase,three_prime_UTR,43171.0,43697.0,.,+,.,Parent=Transcript:B0348.4b.1
B0348.4a.1,V,WormBase,three_prime_UTR,43171.0,43701.0,.,+,.,Parent=Transcript:B0348.4a.1
B0348.4f.1,V,WormBase,three_prime_UTR,43171.0,43695.0,.,+,.,Parent=Transcript:B0348.4f.1
B0348.4q.1,V,WormBase,three_prime_UTR,43171.0,43680.0,.,+,.,Parent=Transcript:B0348.4q.1
B0348.4v.1,V,WormBase,three_prime_UTR,43171.0,43572.0,.,+,.,Parent=Transcript:B0348.4v.1
B0348.4o.1,V,WormBase,three_prime_UTR,43171.0,43689.0,.,+,.,Parent=Transcript:B0348.4o.1
B0348.4l.1,V,WormBase,three_prime_UTR,43171.0,43687.0,.,+,.,Parent=Transcript:B0348.4l.1
B0348.4k.1,V,WormBase,three_prime_UTR,43171.0,43696.0,.,+,.,Parent=Transcript:B0348.4k.1
B0348.4j.1,V,WormBase,three_prime_UTR,43171.0,43691.0,.,+,.,Parent=Transcript:B0348.4j.1
B0348.4g.1,V,WormBase,three_prime_UTR,43171.0,43704.0,.,+,.,Parent=Transcript:B0348.4g.1
B0348.4h.1,V,WormBase,three_prime_UTR,43171.0,43696.0,.,+,.,Parent=Transcript:B0348.4h.1
B0348.2a.1,V,WormBase,five_prime_UTR,45310.0,45466.0,.,+,.,Parent=Transcript:B0348.2a.1
B0348.2a.1,V,WormBase,three_prime_UTR,46881.0,46924.0,.,+,.,Parent=Transcript:B0348.2a.1
Y38C9B.1.1,V,WormBase,five_prime_UTR,59239.0,59266.0,.,+,.,Parent=Transcript:Y38C9B.1.1
Y38C9B.1.1,V,WormBase,three_prime_UTR,63431.0,63633.0,.,+,.,Parent=Transcript:Y38C9B.1.1
F56E10.2a.1,V,WormBase,three_prime_UTR,64530.0,65603.0,.,-,.,Parent=Transcript:F56E10.2a.1
F56E10.2a.2,V,WormBase,three_prime_UTR,64564.0,64647.0,.,-,.,Parent=Transcript:F56E10.2a.2
F56E10.2a.2,V,WormBase,three_prime_UTR,65391.0,65603.0,.,-,.,Parent=Transcript:F56E10.2a.2
F56E10.2a.2,V,WormBase,five_prime_UTR,83771.0,83832.0,.,-,.,Parent=Transcript:F56E10.2a.2
F56E10.2a.1,V,WormBase,five_prime_UTR,83771.0,83832.0,.,-,.,Parent=Transcript:F56E10.2a.1
F56E10.4.1,V,WormBase,three_prime_UTR,103394.0,103469.0,.,-,.,Parent=Transcript:F56E10.4.1
F56E10.4.2,V,WormBase,three_prime_UTR,103399.0,103469.0,.,-,.,Parent=Transcript:F56E10.4.2
F56E10.4.2,V,WormBase,five_prime_UTR,104037.0,104077.0,.,-,.,Parent=Transcript:F56E10.4.2
F56E10.4.1,V,WormBase,five_prime_UTR,104037.0,104064.0,.,-,.,Parent=Transcript:F56E10.4.1
F56E10.1a.1,V,WormBase,five_prime_UTR,104825.0,104829.0,.,+,.,Parent=Transcript:F56E10.1a.1
F56E10.1b.1,V,WormBase,five_prime_UTR,104826.0,104829.0,.,+,.,Parent=Transcript:F56E10.1b.1
F56E10.1a.1,V,WormBase,three_prime_UTR,118094.0,118205.0,.,+,.,Parent=Transcript:F56E10.1a.1
F56E10.1b.1,V,WormBase,three_prime_UTR,118094.0,118188.0,.,+,.,Parent=Transcript:F56E10.1b.1
Y38C9A.2a.1,V,WormBase,three_prime_UTR,118202.0,118462.0,.,-,.,Parent=Transcript:Y38C9A.2a.1
Y38C9A.2a.1,V,WormBase,five_prime_UTR,122753.0,122789.0,.,-,.,Parent=Transcript:Y38C9A.2a.1
W03F9.1a.1,V,WormBase,three_prime_UTR,124010.0,124377.0,.,-,.,Parent=Transcript:W03F9.1a.1
W03F9.1a.1,V,WormBase,five_prime_UTR,126650.0,126718.0,.,-,.,Parent=Transcript:W03F9.1a.1
W03F9.2a.1,V,WormBase,three_prime_UTR,127000.0,127088.0,.,-,.,Parent=Transcript:W03F9.2a.1
W03F9.2a.1,V,WormBase,five_prime_UTR,127952.0,128034.0,.,-,.,Parent=Transcript:W03F9.2a.1
W03F9.10.1,V,WormBase,three_prime_UTR,131548.0,131671.0,.,+,.,Parent=Transcript:W03F9.10.1
W03F9.11.1,V,WormBase,three_prime_UTR,137096.0,137659.0,.,-,.,Parent=Transcript:W03F9.11.1
W03F9.9.1,V,WormBase,three_prime_UTR,140226.0,140245.0,.,+,.,Parent=Transcript:W03F9.9.1
W03F9.11.1,V,WormBase,five_prime_UTR,141303.0,141357.0,.,-,.,Parent=Transcript:W03F9.11.1
W03F9.6.1,V,WormBase,five_prime_UTR,145094.0,145193.0,.,+,.,Parent=Transcript:W03F9.6.1
W03F9.6.1,V,WormBase,three_prime_UTR,146932.0,146952.0,.,+,.,Parent=Transcript:W03F9.6.1
W03F9.4a.1,V,WormBase,three_prime_UTR,147521.0,147674.0,.,-,.,Parent=Transcript:W03F9.4a.1
W03F9.4a.1,V,WormBase,five_prime_UTR,151383.0,151388.0,.,-,.,Parent=Transcript:W03F9.4a.1
W03F9.5.3,V,WormBase,five_prime_UTR,156819.0,156830.0,.,+,.,Parent=Transcript:W03F9.5.3
W03F9.5.1,V,WormBase,five_prime_UTR,156825.0,156830.0,.,+,.,Parent=Transcript:W03F9.5.1
W03F9.5.2,V,WormBase,five_prime_UTR,156828.0,156830.0,.,+,.,Parent=Transcript:W03F9.5.2
W03F9.5.2,V,WormBase,three_prime_UTR,163351.0,163364.0,.,+,.,Parent=Transcript:W03F9.5.2
W03F9.5.1,V,WormBase,three_prime_UTR,163351.0,163364.0,.,+,.,Parent=Transcript:W03F9.5.1
W03F9.5.3,V,WormBase,three_prime_UTR,163351.0,163364.0,.,+,.,Parent=Transcript:W03F9.5.3
W03F9.5.3,V,WormBase,three_prime_UTR,163413.0,163660.0,.,+,.,Parent=Transcript:W03F9.5.3
Y108G3AL.3a.1,V,WormBase,three_prime_UTR,163842.0,163887.0,.,-,.,Parent=Transcript:Y108G3AL.3a.1
