,five_prime_transcript,peak,five_prime_start,five_prime_end,peak_start,peak_end
0,F23F1.3.1,ces-1,31719.0,31824.0,31745,32180
1,F23F1.3.1,ces-1,31719.0,31824.0,31746,32185
2,F23F1.3.1,ceh-39,31719.0,31824.0,31774,32233
3,C01B12.1.1,lsy-2,23325.0,23346.0,23345,23724
4,F23F1.4.1,nhr-2,28280.0,28423.0,28298,28584
5,F23F1.4.1,ceh-39,28280.0,28423.0,28319,28734
6,F23F1.4.1,nhr-2,28280.0,28423.0,28321,28567
7,F23F1.4.1,nhr-2,28280.0,28423.0,28335,28528
8,F23F1.4.1,lin-13,28280.0,28423.0,28389,28569
9,F23F1.3.1,ces-1,31719.0,31824.0,31745,32180
10,F23F1.3.1,ces-1,31719.0,31824.0,31746,32185
11,F23F1.3.1,ceh-39,31719.0,31824.0,31774,32233
12,C01B12.1.1,lsy-2,23325.0,23346.0,23345,23724
13,C23H3.5.1,ceh-39,47580.0,47583.0,47582,48041
14,C23H3.9f.1,gei-11,72791.0,73429.0,73009,73404
15,C23H3.9b.2,pax-1,77296.0,77814.0,77463,77982
16,C23H3.9f.1,nhr-2,72791.0,73429.0,73254,73653
17,C23H3.9b.2,pax-1,77296.0,77814.0,77471,77880
18,C23H3.9b.1,pax-1,77296.0,77678.0,77463,77982
19,C23H3.9f.1,nhr-237,72791.0,73429.0,73260,73729
20,C23H3.9b.2,mep-1,77296.0,77814.0,77546,77548
21,C23H3.9d.1,pax-1,77296.0,77678.0,77463,77982
22,C23H3.9b.1,pax-1,77296.0,77678.0,77471,77880
23,C23H3.9f.1,nhr-11,72791.0,73429.0,73276,74206
24,C23H3.9b.1,mab-5,78429.0,79266.0,78474,78937
25,C23H3.9f.1,fkh-10,72791.0,73429.0,73324,73654
26,C23H3.9d.1,pax-1,77296.0,77678.0,77471,77880
27,C23H3.9b.1,mep-1,77296.0,77678.0,77546,77548
28,C23H3.9b.1,gei-11,78429.0,79266.0,78547,78942
29,C23H3.9f.1,ces-1,72791.0,73429.0,73349,73721
30,C23H3.9d.1,mep-1,77296.0,77678.0,77546,77548
31,C23H3.9b.1,pax-1,78429.0,79266.0,78930,79339
32,C23H3.9f.1,ces-1,72791.0,73429.0,73365,73707
33,C23H3.9d.1,mab-5,78429.0,79266.0,78474,78937
34,C23H3.9f.1,ces-1,72791.0,73429.0,73372,73690
35,C23H3.9b.1,pha-4,78429.0,79266.0,79097,79473
36,C23H3.9f.1,fkh-10,72791.0,73429.0,73379,73614
37,C23H3.9d.1,gei-11,78429.0,79266.0,78547,78942
38,C23H3.9b.1,pha-4,78429.0,79266.0,79111,79501
39,C23H3.9d.2,pax-1,77296.0,77814.0,77463,77982
40,C23H3.9f.1,fkh-10,72791.0,73429.0,73398,73653
41,C23H3.9d.1,pax-1,78429.0,79266.0,78930,79339
42,C50D2.6a.1,nhr-2,84434.0,84851.0,84796,85195
43,C23H3.9d.1,pha-4,78429.0,79266.0,79097,79473
44,C23H3.9b.2,pax-1,77296.0,77814.0,77463,77982
45,C23H3.9d.1,pha-4,78429.0,79266.0,79111,79501
46,C23H3.9d.2,pax-1,77296.0,77814.0,77471,77880
47,C23H3.9b.2,pax-1,77296.0,77814.0,77471,77880
48,C23H3.9d.1,pax-1,77296.0,77678.0,77463,77982
49,C23H3.9d.2,mep-1,77296.0,77814.0,77546,77548
50,C23H3.9b.2,mep-1,77296.0,77814.0,77546,77548
51,C23H3.9d.1,pax-1,77296.0,77678.0,77471,77880
