,five_prime_transcript,peak,five_prime_start,five_prime_end,peak_start,peak_end
0,B0545.3.1,ceh-39,90018.0,90091.0,90060,90519
1,B0545.1b.2,mab-5,92803.0,92910.0,92881,93370
2,T05C7.5.1,hlh-1,58837.0,58918.0,58878,58964
3,B0545.1b.1,mab-5,92804.0,92910.0,92881,93370
4,B0545.1a.1,mab-5,91980.0,92051.0,92034,92523
5,B0545.1b.1,pax-1,92622.0,92651.0,92647,93056
6,B0545.1b.1,mab-5,91980.0,92077.0,92034,92523
7,B0545.1b.2,mab-5,92803.0,92910.0,92881,93370
8,B0545.3.1,ceh-39,90018.0,90091.0,90060,90519
9,T05C7.5.1,hlh-1,58837.0,58918.0,58878,58964
10,B0545.1b.1,mab-5,92804.0,92910.0,92881,93370
11,B0545.1b.2,pax-1,98788.0,98890.0,98793,99312
12,B0545.1b.1,pax-1,98788.0,98890.0,98793,99312
13,B0545.1b.2,mab-5,98788.0,98890.0,98835,99324
14,B0545.1b.1,mab-5,98788.0,98890.0,98835,99324
15,B0545.1b.2,ces-1,98788.0,98890.0,98838,99277
16,B0545.1b.1,ces-1,98788.0,98890.0,98838,99277
17,B0545.1b.1,ama-1,98788.0,98890.0,98842,98925
18,B0545.1b.2,ama-1,98788.0,98890.0,98842,98925
19,B0545.1b.2,nhr-237,98788.0,98890.0,98886,99349
20,B0545.1b.1,nhr-237,98788.0,98890.0,98886,99349
21,F29C4.1a.1,ceh-39,132416.0,132450.0,132432,132891
22,B0545.1b.2,pax-1,98788.0,98890.0,98793,99312
23,F29C4.1a.1,ceh-39,132416.0,132450.0,132432,132891
24,B0545.1b.1,pax-1,98788.0,98890.0,98793,99312
25,B0545.1b.2,mab-5,98788.0,98890.0,98835,99324
26,B0545.1b.1,mab-5,98788.0,98890.0,98835,99324
27,B0545.1b.1,ces-1,98788.0,98890.0,98838,99277
28,B0545.1b.2,ces-1,98788.0,98890.0,98838,99277
29,B0545.1b.1,ama-1,98788.0,98890.0,98842,98925
30,B0545.1b.2,ama-1,98788.0,98890.0,98842,98925
31,B0545.1b.1,nhr-237,98788.0,98890.0,98886,99349
32,B0545.1b.2,nhr-237,98788.0,98890.0,98886,99349
33,Y38C1AA.3a.1,lin-13,184484.0,184649.0,184506,184704
34,Y38C1AA.3b.2,gei-11,186254.0,186431.0,186305,186700
35,Y38C1AA.3a.1,nhr-2,184484.0,184649.0,184561,185030
36,Y38C1AA.3a.1,nhr-2,184484.0,184649.0,184565,184964
37,Y38C1AA.12a.1,nhr-2,192256.0,192481.0,192429,192898
38,Y38C1AA.3a.1,ceh-39,184484.0,184649.0,184596,185011
39,Y38C1AA.13.1,ama-1,203602.0,203881.0,203743,204231
40,Y38C1AA.13.1,gei-11,203602.0,203881.0,203768,204163
41,Y38C1AA.3b.2,gei-11,186254.0,186431.0,186305,186700
42,Y38C1AA.13.1,pha-4,203602.0,203881.0,203791,203916
43,Y38C1AA.12b.1,nhr-2,192293.0,192481.0,192429,192898
44,Y38C1AA.12a.1,nhr-2,192256.0,192481.0,192429,192898
45,Y38C1AA.3a.1,lin-13,184484.0,184649.0,184506,184704
46,Y38C1AA.3a.1,nhr-2,184484.0,184649.0,184561,185030
47,Y38C1AA.3a.1,nhr-2,184484.0,184649.0,184565,184964
48,Y38C1AA.3a.1,ceh-39,184484.0,184649.0,184596,185011
49,Y38C1AA.13.1,ama-1,203602.0,203881.0,203743,204231
50,Y38C1AA.13.1,gei-11,203602.0,203881.0,203768,204163
51,Y38C1AA.13.1,pha-4,203602.0,203881.0,203791,203916
52,Y38C1AA.12b.1,nhr-2,192293.0,192481.0,192429,192898
53,R02D3.5.1,nhr-2,240299.0,240307.0,240300,240699
54,R02D3.7.1,mab-5,255427.0,255429.0,255428,255891
55,T21D12.9a.2,F23F12.9,274420.0,274557.0,274506,274889
56,T21D12.9a.2,nhr-2,274420.0,274557.0,274534,274933
57,T21D12.9a.2,F23F12.9,274420.0,274557.0,274506,274889
58,T21D12.9a.2,nhr-2,274420.0,274557.0,274534,274933
