,0,1,2,3,4,5,6,7,8
2L52.1a.1,II,WormBase,five_prime_UTR,1848.0,1866.0,.,+,.,Parent=Transcript:2L52.1a.1
2L52.1a.1,II,WormBase,three_prime_UTR,4664.0,5514.0,.,+,.,Parent=Transcript:2L52.1a.1
C01B12.4.1,II,WormBase,five_prime_UTR,6657.0,6663.0,.,+,.,Parent=Transcript:C01B12.4.1
C01B12.4.1,II,WormBase,three_prime_UTR,9234.0,9484.0,.,+,.,Parent=Transcript:C01B12.4.1
C01B12.5.1,II,WormBase,three_prime_UTR,9444.0,9484.0,.,-,.,Parent=Transcript:C01B12.5.1
C01B12.5.1,II,WormBase,five_prime_UTR,11827.0,11883.0,.,-,.,Parent=Transcript:C01B12.5.1
C01B12.3.1,II,WormBase,five_prime_UTR,12985.0,12985.0,.,+,.,Parent=Transcript:C01B12.3.1
C01B12.3.1,II,WormBase,three_prime_UTR,15859.0,16004.0,.,+,.,Parent=Transcript:C01B12.3.1
C01B12.2.1,II,WormBase,three_prime_UTR,21843.0,22169.0,.,+,.,Parent=Transcript:C01B12.2.1
C01B12.1.1,II,WormBase,five_prime_UTR,23325.0,23346.0,.,+,.,Parent=Transcript:C01B12.1.1
C01B12.1.1,II,WormBase,three_prime_UTR,24348.0,24458.0,.,+,.,Parent=Transcript:C01B12.1.1
C01B12.8.1,II,WormBase,five_prime_UTR,24666.0,24770.0,.,+,.,Parent=Transcript:C01B12.8.1
F23F1.4.1,II,WormBase,three_prime_UTR,25374.0,25516.0,.,-,.,Parent=Transcript:F23F1.4.1
C01B12.8.1,II,WormBase,three_prime_UTR,25382.0,25446.0,.,+,.,Parent=Transcript:C01B12.8.1
F23F1.4.1,II,WormBase,five_prime_UTR,28280.0,28423.0,.,-,.,Parent=Transcript:F23F1.4.1
F23F1.5.1,II,WormBase,three_prime_UTR,30061.0,30115.0,.,-,.,Parent=Transcript:F23F1.5.1
F23F1.5.1,II,WormBase,five_prime_UTR,31575.0,31584.0,.,-,.,Parent=Transcript:F23F1.5.1
F23F1.3.1,II,WormBase,five_prime_UTR,31719.0,31824.0,.,+,.,Parent=Transcript:F23F1.3.1
F23F1.3.1,II,WormBase,three_prime_UTR,33560.0,33611.0,.,+,.,Parent=Transcript:F23F1.3.1
F23F1.2.1,II,WormBase,five_prime_UTR,34204.0,34268.0,.,+,.,Parent=Transcript:F23F1.2.1
F23F1.2.1,II,WormBase,three_prime_UTR,35151.0,35270.0,.,+,.,Parent=Transcript:F23F1.2.1
F23F1.6.1,II,WormBase,three_prime_UTR,35202.0,35300.0,.,-,.,Parent=Transcript:F23F1.6.1
F23F1.6.1,II,WormBase,five_prime_UTR,37303.0,37313.0,.,-,.,Parent=Transcript:F23F1.6.1
F23F1.7.1,II,WormBase,three_prime_UTR,38558.0,38604.0,.,-,.,Parent=Transcript:F23F1.7.1
F23F1.7.1,II,WormBase,five_prime_UTR,39488.0,39537.0,.,-,.,Parent=Transcript:F23F1.7.1
F23F1.10.1,II,WormBase,three_prime_UTR,41471.0,41526.0,.,-,.,Parent=Transcript:F23F1.10.1
F23F1.10.1,II,WormBase,five_prime_UTR,41979.0,41982.0,.,-,.,Parent=Transcript:F23F1.10.1
F23F1.8a.1,II,WormBase,three_prime_UTR,42207.0,42362.0,.,-,.,Parent=Transcript:F23F1.8a.1
F23F1.8b.1,II,WormBase,three_prime_UTR,42254.0,42362.0,.,-,.,Parent=Transcript:F23F1.8b.1
