,0,1,2,3,4,5,6,7,8
cTel54X.1.1,III,WormBase,three_prime_UTR,1219.0,1270.0,.,-,.,Parent=Transcript:cTel54X.1.1
cTel54X.1.1,III,WormBase,five_prime_UTR,2918.0,3097.0,.,-,.,Parent=Transcript:cTel54X.1.1
cTel54X.2.1,III,WormBase,five_prime_UTR,3278.0,3298.0,.,+,.,Parent=Transcript:cTel54X.2.1
H10E21.2.1,III,WormBase,five_prime_UTR,3321.0,3399.0,.,+,.,Parent=Transcript:H10E21.2.1
H10E21.2.1,III,WormBase,five_prime_UTR,3453.0,3727.0,.,+,.,Parent=Transcript:H10E21.2.1
cTel54X.2.1,III,WormBase,three_prime_UTR,3535.0,3692.0,.,+,.,Parent=Transcript:cTel54X.2.1
H10E21.2.1,III,WormBase,five_prime_UTR,4145.0,4250.0,.,+,.,Parent=Transcript:H10E21.2.1
H10E21.2.1,III,WormBase,three_prime_UTR,11882.0,11955.0,.,+,.,Parent=Transcript:H10E21.2.1
H10E21.3a.1,III,WormBase,three_prime_UTR,11985.0,12188.0,.,-,.,Parent=Transcript:H10E21.3a.1
H10E21.3b.1,III,WormBase,three_prime_UTR,12131.0,12188.0,.,-,.,Parent=Transcript:H10E21.3b.1
H10E21.3a.1,III,WormBase,five_prime_UTR,14754.0,14869.0,.,-,.,Parent=Transcript:H10E21.3a.1
H10E21.1a.1,III,WormBase,five_prime_UTR,15772.0,15863.0,.,+,.,Parent=Transcript:H10E21.1a.1
H10E21.1a.2,III,WormBase,five_prime_UTR,15807.0,15863.0,.,+,.,Parent=Transcript:H10E21.1a.2
H10E21.1a.3,III,WormBase,five_prime_UTR,15810.0,16806.0,.,+,.,Parent=Transcript:H10E21.1a.3
H10E21.1a.1,III,WormBase,five_prime_UTR,16041.0,16251.0,.,+,.,Parent=Transcript:H10E21.1a.1
H10E21.1a.2,III,WormBase,five_prime_UTR,16041.0,16624.0,.,+,.,Parent=Transcript:H10E21.1a.2
H10E21.1a.4,III,WormBase,five_prime_UTR,16180.0,16251.0,.,+,.,Parent=Transcript:H10E21.1a.4
H10E21.1a.1,III,WormBase,five_prime_UTR,16521.0,16624.0,.,+,.,Parent=Transcript:H10E21.1a.1
H10E21.1a.4,III,WormBase,five_prime_UTR,16521.0,16806.0,.,+,.,Parent=Transcript:H10E21.1a.4
H10E21.1a.2,III,WormBase,five_prime_UTR,16798.0,16806.0,.,+,.,Parent=Transcript:H10E21.1a.2
H10E21.1a.1,III,WormBase,five_prime_UTR,16798.0,16806.0,.,+,.,Parent=Transcript:H10E21.1a.1
H10E21.1a.1,III,WormBase,three_prime_UTR,17280.0,17339.0,.,+,.,Parent=Transcript:H10E21.1a.1
H10E21.1a.4,III,WormBase,three_prime_UTR,17280.0,17339.0,.,+,.,Parent=Transcript:H10E21.1a.4
H10E21.1a.3,III,WormBase,three_prime_UTR,17280.0,17339.0,.,+,.,Parent=Transcript:H10E21.1a.3
H10E21.1a.2,III,WormBase,three_prime_UTR,17280.0,17339.0,.,+,.,Parent=Transcript:H10E21.1a.2
H10E21.4.1,III,WormBase,three_prime_UTR,17318.0,17420.0,.,-,.,Parent=Transcript:H10E21.4.1
H10E21.4.1,III,WormBase,five_prime_UTR,19564.0,19675.0,.,-,.,Parent=Transcript:H10E21.4.1
H10E21.5.1,III,WormBase,three_prime_UTR,20531.0,20754.0,.,-,.,Parent=Transcript:H10E21.5.1
H10E21.5.1,III,WormBase,five_prime_UTR,23946.0,23962.0,.,-,.,Parent=Transcript:H10E21.5.1
W05G11.4.1,III,WormBase,three_prime_UTR,35454.0,35649.0,.,-,.,Parent=Transcript:W05G11.4.1
W05G11.4.1,III,WormBase,five_prime_UTR,38071.0,38217.0,.,-,.,Parent=Transcript:W05G11.4.1
W05G11.6.1,III,WormBase,three_prime_UTR,62888.0,62988.0,.,-,.,Parent=Transcript:W05G11.6.1
W05G11.6.1,III,WormBase,five_prime_UTR,66257.0,66260.0,.,-,.,Parent=Transcript:W05G11.6.1
F54C4.2.1,III,WormBase,three_prime_UTR,69073.0,69225.0,.,-,.,Parent=Transcript:F54C4.2.1
F54C4.2.1,III,WormBase,five_prime_UTR,69739.0,69752.0,.,-,.,Parent=Transcript:F54C4.2.1
F54C4.3.1,III,WormBase,three_prime_UTR,69850.0,70527.0,.,-,.,Parent=Transcript:F54C4.3.1
F54C4.3.1,III,WormBase,five_prime_UTR,86378.0,86384.0,.,-,.,Parent=Transcript:F54C4.3.1
F54C4.4.1,III,WormBase,three_prime_UTR,86677.0,86779.0,.,-,.,Parent=Transcript:F54C4.4.1
F54C4.4.1,III,WormBase,five_prime_UTR,87260.0,87381.0,.,-,.,Parent=Transcript:F54C4.4.1
F54C4.1.1,III,WormBase,five_prime_UTR,87559.0,87563.0,.,+,.,Parent=Transcript:F54C4.1.1
F54C4.1.1,III,WormBase,three_prime_UTR,89153.0,89243.0,.,+,.,Parent=Transcript:F54C4.1.1
C29F9.7.1,III,WormBase,three_prime_UTR,89453.0,89642.0,.,-,.,Parent=Transcript:C29F9.7.1
C29F9.7.1,III,WormBase,five_prime_UTR,94804.0,94809.0,.,-,.,Parent=Transcript:C29F9.7.1
C29F9.6.1,III,WormBase,five_prime_UTR,114903.0,114973.0,.,+,.,Parent=Transcript:C29F9.6.1
C29F9.6.1,III,WormBase,five_prime_UTR,115060.0,115085.0,.,+,.,Parent=Transcript:C29F9.6.1
C29F9.6.2,III,WormBase,five_prime_UTR,115061.0,115207.0,.,+,.,Parent=Transcript:C29F9.6.2
C29F9.6.3,III,WormBase,five_prime_UTR,115063.0,115080.0,.,+,.,Parent=Transcript:C29F9.6.3
C29F9.6.3,III,WormBase,five_prime_UTR,115131.0,115207.0,.,+,.,Parent=Transcript:C29F9.6.3
C29F9.6.1,III,WormBase,five_prime_UTR,115133.0,115207.0,.,+,.,Parent=Transcript:C29F9.6.1
C29F9.6.1,III,WormBase,three_prime_UTR,116495.0,116630.0,.,+,.,Parent=Transcript:C29F9.6.1
C29F9.6.2,III,WormBase,three_prime_UTR,116495.0,116630.0,.,+,.,Parent=Transcript:C29F9.6.2
C29F9.6.3,III,WormBase,three_prime_UTR,116495.0,116630.0,.,+,.,Parent=Transcript:C29F9.6.3
C29F9.5.1,III,WormBase,five_prime_UTR,117510.0,117555.0,.,+,.,Parent=Transcript:C29F9.5.1
C29F9.5.1,III,WormBase,three_prime_UTR,118768.0,118914.0,.,+,.,Parent=Transcript:C29F9.5.1
C29F9.4.1,III,WormBase,five_prime_UTR,120435.0,120491.0,.,+,.,Parent=Transcript:C29F9.4.1
C29F9.12.1,III,WormBase,three_prime_UTR,121505.0,121734.0,.,-,.,Parent=Transcript:C29F9.12.1
C29F9.12.1,III,WormBase,five_prime_UTR,122021.0,122033.0,.,-,.,Parent=Transcript:C29F9.12.1
