,0,1,2,3,4,5,6,7,8
Y74C9A.3.1,I,WormBase,three_prime_UTR,4116.0,4220.0,.,-,.,Parent=Transcript:Y74C9A.3.1
Y74C9A.3.1,I,WormBase,five_prime_UTR,10149.0,10230.0,.,-,.,Parent=Transcript:Y74C9A.3.1
Y74C9A.2a.1,I,WormBase,five_prime_UTR,11495.0,11561.0,.,+,.,Parent=Transcript:Y74C9A.2a.1
Y74C9A.2a.3,I,WormBase,five_prime_UTR,11495.0,11561.0,.,+,.,Parent=Transcript:Y74C9A.2a.3
Y74C9A.2a.1,I,WormBase,five_prime_UTR,11618.0,11640.0,.,+,.,Parent=Transcript:Y74C9A.2a.1
Y74C9A.2a.3,I,WormBase,five_prime_UTR,11618.0,11640.0,.,+,.,Parent=Transcript:Y74C9A.2a.3
Y74C9A.2a.2,I,WormBase,five_prime_UTR,11618.0,11640.0,.,+,.,Parent=Transcript:Y74C9A.2a.2
Y74C9A.2a.1,I,WormBase,three_prime_UTR,16586.0,16837.0,.,+,.,Parent=Transcript:Y74C9A.2a.1
Y74C9A.2a.2,I,WormBase,three_prime_UTR,16586.0,16833.0,.,+,.,Parent=Transcript:Y74C9A.2a.2
Y74C9A.2a.3,I,WormBase,three_prime_UTR,16702.0,16793.0,.,+,.,Parent=Transcript:Y74C9A.2a.3
Y74C9A.4a.1,I,WormBase,three_prime_UTR,17484.0,17910.0,.,-,.,Parent=Transcript:Y74C9A.4a.1
Y74C9A.4b.1,I,WormBase,three_prime_UTR,17487.0,17910.0,.,-,.,Parent=Transcript:Y74C9A.4b.1
Y74C9A.4a.1,I,WormBase,five_prime_UTR,26779.0,26781.0,.,-,.,Parent=Transcript:Y74C9A.4a.1
Y74C9A.4b.1,I,WormBase,five_prime_UTR,26779.0,26781.0,.,-,.,Parent=Transcript:Y74C9A.4b.1
Y74C9A.5.2,I,WormBase,three_prime_UTR,27589.0,28279.0,.,-,.,Parent=Transcript:Y74C9A.5.2
Y74C9A.5.1,I,WormBase,three_prime_UTR,27591.0,28279.0,.,-,.,Parent=Transcript:Y74C9A.5.1
Y74C9A.5.2,I,WormBase,five_prime_UTR,32483.0,32542.0,.,-,.,Parent=Transcript:Y74C9A.5.2
Y74C9A.5.1,I,WormBase,five_prime_UTR,32483.0,32548.0,.,-,.,Parent=Transcript:Y74C9A.5.1
Y74C9A.5.2,I,WormBase,five_prime_UTR,33037.0,33150.0,.,-,.,Parent=Transcript:Y74C9A.5.2
Y48G1C.12.1,I,WormBase,five_prime_UTR,47461.0,47471.0,.,+,.,Parent=Transcript:Y48G1C.12.1
Y48G1C.12.1,I,WormBase,three_prime_UTR,49417.0,49860.0,.,+,.,Parent=Transcript:Y48G1C.12.1
Y48G1C.4a.1,I,WormBase,three_prime_UTR,54361.0,54426.0,.,+,.,Parent=Transcript:Y48G1C.4a.1
Y48G1C.5.1,I,WormBase,three_prime_UTR,55293.0,55336.0,.,-,.,Parent=Transcript:Y48G1C.5.1
Y48G1C.5.1,I,WormBase,five_prime_UTR,64022.0,64066.0,.,-,.,Parent=Transcript:Y48G1C.5.1
Y48G1C.2a.2,I,WormBase,five_prime_UTR,71845.0,71932.0,.,+,.,Parent=Transcript:Y48G1C.2a.2
Y48G1C.2a.3,I,WormBase,five_prime_UTR,71862.0,71932.0,.,+,.,Parent=Transcript:Y48G1C.2a.3
Y48G1C.2a.2,I,WormBase,five_prime_UTR,72511.0,72590.0,.,+,.,Parent=Transcript:Y48G1C.2a.2
Y48G1C.2a.3,I,WormBase,five_prime_UTR,72511.0,72590.0,.,+,.,Parent=Transcript:Y48G1C.2a.3
Y48G1C.2a.1,I,WormBase,five_prime_UTR,72511.0,72590.0,.,+,.,Parent=Transcript:Y48G1C.2a.1
Y48G1C.2a.2,I,WormBase,five_prime_UTR,72647.0,72648.0,.,+,.,Parent=Transcript:Y48G1C.2a.2
Y48G1C.2a.3,I,WormBase,five_prime_UTR,72647.0,72648.0,.,+,.,Parent=Transcript:Y48G1C.2a.3
Y48G1C.2a.1,I,WormBase,five_prime_UTR,72647.0,72648.0,.,+,.,Parent=Transcript:Y48G1C.2a.1
Y48G1C.2a.2,I,WormBase,three_prime_UTR,80345.0,81156.0,.,+,.,Parent=Transcript:Y48G1C.2a.2
Y48G1C.2a.3,I,WormBase,three_prime_UTR,80345.0,80561.0,.,+,.,Parent=Transcript:Y48G1C.2a.3
Y48G1C.2a.1,I,WormBase,three_prime_UTR,80345.0,81061.0,.,+,.,Parent=Transcript:Y48G1C.2a.1
Y48G1C.2a.3,I,WormBase,three_prime_UTR,80814.0,81063.0,.,+,.,Parent=Transcript:Y48G1C.2a.3
Y48G1C.10a.1,I,WormBase,five_prime_UTR,81193.0,81233.0,.,+,.,Parent=Transcript:Y48G1C.10a.1
Y48G1C.10a.2,I,WormBase,five_prime_UTR,81203.0,81233.0,.,+,.,Parent=Transcript:Y48G1C.10a.2
Y48G1C.6.1,I,WormBase,three_prime_UTR,83992.0,85051.0,.,-,.,Parent=Transcript:Y48G1C.6.1
Y48G1C.6.1,I,WormBase,five_prime_UTR,86285.0,86293.0,.,-,.,Parent=Transcript:Y48G1C.6.1
Y48G1C.10a.1,I,WormBase,three_prime_UTR,90608.0,91296.0,.,+,.,Parent=Transcript:Y48G1C.10a.1
Y48G1C.10a.2,I,WormBase,three_prime_UTR,90608.0,91296.0,.,+,.,Parent=Transcript:Y48G1C.10a.2
Y48G1C.9a.1,I,WormBase,five_prime_UTR,91404.0,91408.0,.,+,.,Parent=Transcript:Y48G1C.9a.1
Y48G1C.9a.1,I,WormBase,three_prime_UTR,92649.0,92720.0,.,+,.,Parent=Transcript:Y48G1C.9a.1
Y48G1C.1.1,I,WormBase,five_prime_UTR,93022.0,93091.0,.,+,.,Parent=Transcript:Y48G1C.1.1
Y48G1C.1.1,I,WormBase,three_prime_UTR,94715.0,94884.0,.,+,.,Parent=Transcript:Y48G1C.1.1
Y48G1C.13.1,I,WormBase,three_prime_UTR,94829.0,94863.0,.,-,.,Parent=Transcript:Y48G1C.13.1
Y48G1C.8a.1,I,WormBase,three_prime_UTR,96459.0,96825.0,.,-,.,Parent=Transcript:Y48G1C.8a.1
Y48G1C.8b.1,I,WormBase,three_prime_UTR,96471.0,96825.0,.,-,.,Parent=Transcript:Y48G1C.8b.1
Y48G1C.8a.1,I,WormBase,five_prime_UTR,108162.0,108223.0,.,-,.,Parent=Transcript:Y48G1C.8a.1
Y48G1C.8b.1,I,WormBase,five_prime_UTR,108162.0,108167.0,.,-,.,Parent=Transcript:Y48G1C.8b.1
F53G12.1.1,I,WormBase,three_prime_UTR,108682.0,109264.0,.,-,.,Parent=Transcript:F53G12.1.1
F53G12.1.1,I,WormBase,five_prime_UTR,110045.0,110057.0,.,-,.,Parent=Transcript:F53G12.1.1
F53G12.10.2,I,WormBase,five_prime_UTR,111038.0,111054.0,.,+,.,Parent=Transcript:F53G12.10.2
F53G12.10.1,I,WormBase,five_prime_UTR,111038.0,111054.0,.,+,.,Parent=Transcript:F53G12.10.1
F53G12.10.1,I,WormBase,three_prime_UTR,112228.0,112272.0,.,+,.,Parent=Transcript:F53G12.10.1
F53G12.10.2,I,WormBase,three_prime_UTR,112228.0,112267.0,.,+,.,Parent=Transcript:F53G12.10.2
F53G12.9a.1,I,WormBase,five_prime_UTR,112285.0,112364.0,.,+,.,Parent=Transcript:F53G12.9a.1
F53G12.10.2,I,WormBase,three_prime_UTR,112412.0,112417.0,.,+,.,Parent=Transcript:F53G12.10.2
F53G12.9a.1,I,WormBase,three_prime_UTR,113662.0,113751.0,.,+,.,Parent=Transcript:F53G12.9a.1
F53G12.8.1,I,WormBase,three_prime_UTR,114682.0,114708.0,.,+,.,Parent=Transcript:F53G12.8.1
F53G12.7a.1,I,WormBase,five_prime_UTR,115687.0,115738.0,.,+,.,Parent=Transcript:F53G12.7a.1
F53G12.7a.1,I,WormBase,three_prime_UTR,117402.0,117498.0,.,+,.,Parent=Transcript:F53G12.7a.1
F53G12.6.1,I,WormBase,five_prime_UTR,118093.0,118108.0,.,+,.,Parent=Transcript:F53G12.6.1
F53G12.6.1,I,WormBase,three_prime_UTR,120871.0,120901.0,.,+,.,Parent=Transcript:F53G12.6.1
F53G12.5b.1,I,WormBase,five_prime_UTR,127285.0,127296.0,.,+,.,Parent=Transcript:F53G12.5b.1
F53G12.5a.2,I,WormBase,five_prime_UTR,127286.0,127336.0,.,+,.,Parent=Transcript:F53G12.5a.2
F53G12.5a.3,I,WormBase,five_prime_UTR,127384.0,127436.0,.,+,.,Parent=Transcript:F53G12.5a.3
F53G12.5a.2,I,WormBase,five_prime_UTR,127385.0,127436.0,.,+,.,Parent=Transcript:F53G12.5a.2
F53G12.5a.2,I,WormBase,five_prime_UTR,128697.0,128697.0,.,+,.,Parent=Transcript:F53G12.5a.2
F53G12.5a.3,I,WormBase,five_prime_UTR,128697.0,128697.0,.,+,.,Parent=Transcript:F53G12.5a.3
F53G12.5a.1,I,WormBase,five_prime_UTR,128697.0,128697.0,.,+,.,Parent=Transcript:F53G12.5a.1
F53G12.5a.2,I,WormBase,three_prime_UTR,133583.0,134269.0,.,+,.,Parent=Transcript:F53G12.5a.2
F53G12.5a.3,I,WormBase,three_prime_UTR,133583.0,134269.0,.,+,.,Parent=Transcript:F53G12.5a.3
F53G12.5a.1,I,WormBase,three_prime_UTR,133583.0,134267.0,.,+,.,Parent=Transcript:F53G12.5a.1
F53G12.5b.1,I,WormBase,three_prime_UTR,133583.0,134270.0,.,+,.,Parent=Transcript:F53G12.5b.1
F53G12.4.1,I,WormBase,five_prime_UTR,134337.0,134353.0,.,+,.,Parent=Transcript:F53G12.4.1
F53G12.18.1,I,WormBase,five_prime_UTR,144811.0,144827.0,.,+,.,Parent=Transcript:F53G12.18.1
F56C11.1.2,I,WormBase,three_prime_UTR,145968.0,146622.0,.,-,.,Parent=Transcript:F56C11.1.2
F53G12.18.1,I,WormBase,three_prime_UTR,146469.0,146514.0,.,+,.,Parent=Transcript:F53G12.18.1
F56C11.1.1,I,WormBase,three_prime_UTR,146486.0,146622.0,.,-,.,Parent=Transcript:F56C11.1.1
F56C11.1.2,I,WormBase,five_prime_UTR,154820.0,154855.0,.,-,.,Parent=Transcript:F56C11.1.2
F56C11.1.1,I,WormBase,five_prime_UTR,154820.0,154855.0,.,-,.,Parent=Transcript:F56C11.1.1
F56C11.2a.2,I,WormBase,three_prime_UTR,160172.0,160403.0,.,-,.,Parent=Transcript:F56C11.2a.2
F56C11.2a.1,I,WormBase,three_prime_UTR,160190.0,160403.0,.,-,.,Parent=Transcript:F56C11.2a.1
F56C11.2a.2,I,WormBase,five_prime_UTR,166817.0,166819.0,.,-,.,Parent=Transcript:F56C11.2a.2
F56C11.2a.1,I,WormBase,five_prime_UTR,166817.0,166819.0,.,-,.,Parent=Transcript:F56C11.2a.1
F56C11.2a.2,I,WormBase,five_prime_UTR,169649.0,169763.0,.,-,.,Parent=Transcript:F56C11.2a.2
F56C11.6a.2,I,WormBase,five_prime_UTR,171223.0,171368.0,.,+,.,Parent=Transcript:F56C11.6a.2
F56C11.6a.1,I,WormBase,five_prime_UTR,173412.0,173421.0,.,+,.,Parent=Transcript:F56C11.6a.1
F56C11.6a.2,I,WormBase,five_prime_UTR,173412.0,173421.0,.,+,.,Parent=Transcript:F56C11.6a.2
F56C11.6a.1,I,WormBase,three_prime_UTR,175933.0,175989.0,.,+,.,Parent=Transcript:F56C11.6a.1
