,0,1,2,3,4,5,6,7,8
Y73B3A.1.1,X,WormBase,three_prime_UTR,42632.0,42967.0,.,-,.,Parent=Transcript:Y73B3A.1.1
Y73B3A.1.1,X,WormBase,five_prime_UTR,46873.0,46933.0,.,-,.,Parent=Transcript:Y73B3A.1.1
Y73B3A.20.1,X,WormBase,five_prime_UTR,47690.0,47997.0,.,+,.,Parent=Transcript:Y73B3A.20.1
Y73B3A.20.2,X,WormBase,five_prime_UTR,47766.0,47997.0,.,+,.,Parent=Transcript:Y73B3A.20.2
Y73B3A.20.1,X,WormBase,three_prime_UTR,48372.0,48435.0,.,+,.,Parent=Transcript:Y73B3A.20.1
Y73B3A.20.2,X,WormBase,three_prime_UTR,48372.0,48435.0,.,+,.,Parent=Transcript:Y73B3A.20.2
Y73B3A.20.1,X,WormBase,three_prime_UTR,48480.0,48548.0,.,+,.,Parent=Transcript:Y73B3A.20.1
Y73B3A.20.2,X,WormBase,three_prime_UTR,48480.0,48548.0,.,+,.,Parent=Transcript:Y73B3A.20.2
Y73B3A.20.1,X,WormBase,three_prime_UTR,48694.0,48762.0,.,+,.,Parent=Transcript:Y73B3A.20.1
Y73B3A.20.2,X,WormBase,three_prime_UTR,48694.0,48762.0,.,+,.,Parent=Transcript:Y73B3A.20.2
Y73B3A.20.2,X,WormBase,three_prime_UTR,52784.0,52950.0,.,+,.,Parent=Transcript:Y73B3A.20.2
Y73B3A.20.1,X,WormBase,three_prime_UTR,52784.0,52945.0,.,+,.,Parent=Transcript:Y73B3A.20.1
Y73B3A.20.1,X,WormBase,three_prime_UTR,57769.0,58063.0,.,+,.,Parent=Transcript:Y73B3A.20.1
Y73B3A.4.1,X,WormBase,three_prime_UTR,95614.0,96341.0,.,-,.,Parent=Transcript:Y73B3A.4.1
Y73B3A.4.1,X,WormBase,five_prime_UTR,104763.0,104777.0,.,-,.,Parent=Transcript:Y73B3A.4.1
Y73B3A.22.1,X,WormBase,five_prime_UTR,117380.0,117387.0,.,+,.,Parent=Transcript:Y73B3A.22.1
Y73B3A.22.1,X,WormBase,three_prime_UTR,118990.0,119218.0,.,+,.,Parent=Transcript:Y73B3A.22.1
Y73B3A.14.1,X,WormBase,five_prime_UTR,119663.0,119802.0,.,+,.,Parent=Transcript:Y73B3A.14.1
Y73B3A.14.2,X,WormBase,five_prime_UTR,119663.0,119802.0,.,+,.,Parent=Transcript:Y73B3A.14.2
Y73B3A.14.1,X,WormBase,three_prime_UTR,120352.0,120895.0,.,+,.,Parent=Transcript:Y73B3A.14.1
Y73B3A.14.2,X,WormBase,three_prime_UTR,120352.0,120895.0,.,+,.,Parent=Transcript:Y73B3A.14.2
Y73B3A.14.2,X,WormBase,three_prime_UTR,120947.0,121218.0,.,+,.,Parent=Transcript:Y73B3A.14.2
Y73B3A.14.1,X,WormBase,three_prime_UTR,121991.0,122279.0,.,+,.,Parent=Transcript:Y73B3A.14.1
Y73B3A.11.1,X,WormBase,five_prime_UTR,148124.0,148303.0,.,+,.,Parent=Transcript:Y73B3A.11.1
Y73B3A.11.1,X,WormBase,three_prime_UTR,148813.0,148879.0,.,+,.,Parent=Transcript:Y73B3A.11.1
Y73B3A.11.1,X,WormBase,three_prime_UTR,148927.0,149166.0,.,+,.,Parent=Transcript:Y73B3A.11.1
T08D2.5.1,X,WormBase,five_prime_UTR,177375.0,177495.0,.,+,.,Parent=Transcript:T08D2.5.1
T08D2.5.2,X,WormBase,five_prime_UTR,177807.0,177986.0,.,+,.,Parent=Transcript:T08D2.5.2
T08D2.4.1,X,WormBase,three_prime_UTR,177855.0,177856.0,.,+,.,Parent=Transcript:T08D2.4.1
T08D2.5.1,X,WormBase,five_prime_UTR,178192.0,178241.0,.,+,.,Parent=Transcript:T08D2.5.1
