,five_prime_transcript,peak,five_prime_start,five_prime_end,peak_start,peak_end
0,Y73B3A.1.1,mab-5,46873.0,46933.0,46888,47377
1,Y73B3A.20.1,lsy-2,47690.0,47997.0,47697,48076
2,Y73B3A.20.1,lsy-2,47690.0,47997.0,47759,48114
3,Y73B3A.20.1,pha-4,47690.0,47997.0,47826,47916
4,Y73B3A.20.1,ceh-39,47690.0,47997.0,47876,48335
5,Y73B3A.20.2,pha-4,47766.0,47997.0,47826,47916
6,Y73B3A.20.2,ceh-39,47766.0,47997.0,47876,48335
7,Y73B3A.20.1,lsy-2,47690.0,47997.0,47697,48076
8,Y73B3A.20.1,lsy-2,47690.0,47997.0,47759,48114
9,Y73B3A.20.1,pha-4,47690.0,47997.0,47826,47916
10,Y73B3A.20.1,ceh-39,47690.0,47997.0,47876,48335
11,Y73B3A.20.2,pha-4,47766.0,47997.0,47826,47916
12,Y73B3A.20.2,ceh-39,47766.0,47997.0,47876,48335
13,T08D2.8.1,ces-1,194038.0,194447.0,194359,194794
14,T08D2.8.1,pax-1,192834.0,192994.0,192902,193421
15,T08D2.8.1,ces-1,194038.0,194447.0,194359,194794
16,C04E7.1.1,mab-5,358431.0,358672.0,358628,359091
17,R04A9.4.1,ceh-39,382704.0,382709.0,382707,383122
18,R04A9.7.1,nhr-2,394783.0,394892.0,394823,394981
19,ZK1193.2b.3,ceh-30,408078.0,408507.0,408207,408260
20,ZK1193.2b.3,nhr-237,408078.0,408507.0,408472,408941
21,ZK1193.2b.1,gei-11,409132.0,409504.0,409139,409534
22,ZK1193.2b.2,nfya-1,409832.0,409943.0,409857,410813
23,ZK1193.2b.1,nfya-1,409832.0,409941.0,409857,410813
24,ZK1193.2b.2,unc-62,409832.0,409943.0,409903,411136
25,ZK1193.2b.2,mep-1,409832.0,409943.0,409913,410644
26,ZK1193.2b.1,unc-62,409832.0,409941.0,409903,411136
27,ZK1193.2b.2,nhr-11,409832.0,409943.0,409913,410511
28,ZK1193.2b.2,nhr-2,409832.0,409943.0,409924,410393
29,ZK1193.2b.1,mep-1,409832.0,409941.0,409913,410644
30,ZK1193.2b.2,nfya-1,409832.0,409943.0,409929,410664
31,ZK1193.2b.1,nhr-11,409832.0,409941.0,409913,410511
32,ZK1193.2b.2,unc-62,409832.0,409943.0,409932,410993
33,ZK1193.2b.2,gei-11,409132.0,409504.0,409139,409534
34,ZK1193.2b.1,nhr-2,409832.0,409941.0,409924,410393
35,ZK1193.2b.2,pha-4,409832.0,409943.0,409939,410732
36,ZK1193.2b.1,nfya-1,409832.0,409941.0,409929,410664
37,ZK1193.2b.2,ceh-39,409832.0,409943.0,409941,410404
38,ZK1193.2b.1,unc-62,409832.0,409941.0,409932,410993
39,ZK1193.2b.1,pha-4,409832.0,409941.0,409939,410732
40,ZK1193.2b.3,ceh-30,408078.0,408507.0,408207,408260
41,ZK1193.2b.3,nhr-237,408078.0,408507.0,408472,408941
42,ZK1193.2b.1,gei-11,409132.0,409504.0,409139,409534
43,ZK1193.2b.1,ces-1,412438.0,412626.0,412441,412876
44,ZK1193.2b.1,mab-5,413457.0,413609.0,413469,413932
45,ZK1193.2b.2,gei-11,409132.0,409504.0,409139,409534
46,ZK1193.5d.2,nhr-237,429415.0,429505.0,429462,429925
47,ZK1193.5d.2,nhr-237,429415.0,429505.0,429467,429936
48,ZK1193.5c.2,nhr-237,429415.0,429505.0,429462,429925
49,ZK1193.5c.2,nhr-237,429415.0,429505.0,429467,429936
50,ZK1193.5c.1,nhr-237,429415.0,429505.0,429462,429925
51,ZK1193.5c.1,nhr-237,429415.0,429505.0,429467,429936
52,ZK1193.5d.4,nhr-237,429415.0,429505.0,429462,429925
53,ZK1193.5d.1,nhr-237,429415.0,429505.0,429462,429925
54,ZK1193.5d.4,nhr-237,429415.0,429505.0,429467,429936
55,ZK1193.5d.5,nhr-237,429415.0,429505.0,429462,429925
56,ZK1193.5d.1,nhr-237,429415.0,429505.0,429467,429936
57,ZK1193.5d.5,nhr-237,429415.0,429505.0,429467,429936
58,ZK1193.5d.3,nhr-237,429415.0,429505.0,429462,429925
59,ZK1193.5d.3,nhr-237,429415.0,429505.0,429467,429936
60,ZK1193.5d.3,gei-11,431874.0,431983.0,431895,432290
61,ZK1193.5d.3,pax-1,431874.0,431983.0,431895,432414
62,ZK1193.5c.2,gei-11,431874.0,431983.0,431895,432290
63,ZK1193.5c.2,pax-1,431874.0,431983.0,431895,432414
64,ZK1193.5d.5,nhr-237,429415.0,429505.0,429462,429925
65,ZK1193.5c.2,nhr-237,429415.0,429505.0,429462,429925
66,ZK1193.5d.4,nhr-237,429415.0,429505.0,429462,429925
67,ZK1193.5d.5,nhr-237,429415.0,429505.0,429467,429936
68,ZK1193.5d.1,nhr-237,429415.0,429505.0,429462,429925
69,ZK1193.5c.2,nhr-237,429415.0,429505.0,429467,429936
70,ZK1193.5d.4,nhr-237,429415.0,429505.0,429467,429936
71,ZK1193.5d.1,nhr-237,429415.0,429505.0,429467,429936
72,ZK1193.5d.2,nhr-237,429415.0,429505.0,429462,429925
73,ZK1193.5d.3,nhr-237,429415.0,429505.0,429462,429925
