,five_prime_transcript,peak,five_prime_start,five_prime_end,peak_start,peak_end
0,Y48G1C.2a.2,gei-11,71845.0,71932.0,71904,72299
1,Y48G1C.2a.3,gei-11,71862.0,71932.0,71904,72299
2,Y48G1C.2a.2,pax-1,71845.0,71932.0,71915,72434
3,Y48G1C.2a.3,pax-1,71862.0,71932.0,71915,72434
4,Y48G1C.10a.1,ces-1,81193.0,81233.0,81197,81636
5,Y48G1C.10a.1,nhr-2,81193.0,81233.0,81203,81602
6,Y48G1C.10a.1,ces-1,81193.0,81233.0,81197,81636
7,Y48G1C.10a.1,nhr-2,81193.0,81233.0,81203,81602
8,Y48G1C.8a.1,pha-4,108162.0,108223.0,108164,108724
9,Y48G1C.8b.1,pha-4,108162.0,108167.0,108164,108724
10,Y48G1C.8a.1,elt-3,108162.0,108223.0,108165,108456
11,Y48G1C.8b.1,elt-3,108162.0,108167.0,108165,108456
12,Y48G1C.8a.1,nfya-1,108162.0,108223.0,108169,108563
13,Y48G1C.8a.1,dve-1,108162.0,108223.0,108174,108702
14,Y48G1C.8a.1,blmp-1,108162.0,108223.0,108176,108420
15,Y48G1C.8a.1,dve-1,108162.0,108223.0,108186,108670
16,Y48G1C.8a.1,lsy-2,108162.0,108223.0,108188,108479
17,Y48G1C.8a.1,unc-62,108162.0,108223.0,108188,108453
18,Y48G1C.8a.1,elt-3,108162.0,108223.0,108190,108449
19,Y48G1C.8a.1,ama-1,108162.0,108223.0,108204,108989
20,Y48G1C.8a.1,ceh-39,108162.0,108223.0,108207,108622
21,Y48G1C.8a.1,pha-4,108162.0,108223.0,108207,108529
22,Y48G1C.8a.1,ceh-30,108162.0,108223.0,108214,108427
23,Y48G1C.8a.1,hlh-1,108162.0,108223.0,108218,108568
24,F53G12.6.1,ces-1,118093.0,118108.0,118104,118543
25,F53G12.5a.3,nhr-28,127384.0,127436.0,127409,127481
26,F53G12.5a.3,nhr-2,127384.0,127436.0,127412,127811
27,F53G12.5a.2,nhr-28,127385.0,127436.0,127409,127481
28,F53G12.5a.2,nhr-2,127385.0,127436.0,127412,127811
29,F56C11.1.1,pax-1,154820.0,154855.0,154825,155234
30,F56C11.1.2,pax-1,154820.0,154855.0,154825,155234
31,F56C11.2a.2,ceh-39,169649.0,169763.0,169752,170211
32,F56C11.6a.2,F23F12.9,171223.0,171368.0,171257,171856
33,F56C11.5b.1,ceh-30,178524.0,178566.0,178544,178555
34,F56C11.2a.2,ceh-39,169649.0,169763.0,169752,170211
35,F56C11.5a.1,mep-1,180081.0,180393.0,180118,180306
36,F56C11.6a.2,F23F12.9,171223.0,171368.0,171257,171856
37,F56C11.5a.1,unc-62,180081.0,180393.0,180127,180386
38,F56C11.5a.1,unc-62,180081.0,180393.0,180128,180381
39,F56C11.5a.1,ceh-39,180081.0,180393.0,180177,180592
40,F56C11.5a.1,gei-11,180081.0,180393.0,180196,180591
41,F56C11.5a.1,elt-3,180081.0,180393.0,180207,180489
42,F56C11.5b.1,ceh-30,178524.0,178566.0,178544,178555
43,F56C11.5a.1,hlh-1,180081.0,180393.0,180211,180365
44,F56C11.5a.1,elt-3,180081.0,180393.0,180212,180438
45,F56C11.5a.1,gei-11,180081.0,180393.0,180233,180628
46,F56C11.5a.1,nhr-2,180081.0,180393.0,180315,180784
47,Y48G1BM.10.1,lsy-2,232736.0,234427.0,232743,233122
48,Y48G1BL.8.1,mab-5,217928.0,218059.0,218046,218509
49,F56C11.5a.1,mep-1,180081.0,180393.0,180118,180306
50,F56C11.5a.1,unc-62,180081.0,180393.0,180127,180386
51,F56C11.5a.1,unc-62,180081.0,180393.0,180128,180381
52,Y48G1BM.10.1,lsy-2,232736.0,234427.0,232743,233122
53,F56C11.5a.1,ceh-39,180081.0,180393.0,180177,180592
54,F56C11.5a.1,gei-11,180081.0,180393.0,180196,180591
55,F56C11.5a.1,elt-3,180081.0,180393.0,180207,180489
56,F56C11.5a.1,hlh-1,180081.0,180393.0,180211,180365
57,F56C11.5a.1,elt-3,180081.0,180393.0,180212,180438
58,F56C11.5a.1,gei-11,180081.0,180393.0,180233,180628
59,F56C11.5a.1,nhr-2,180081.0,180393.0,180315,180784
60,C53D5.4b.1,fkh-10,289075.0,289185.0,289092,289262
61,C53D5.4a.1,fkh-10,289075.0,289185.0,289092,289262
62,C53D5.1a.1,mab-5,291215.0,291247.0,291218,291681
63,C53D5.4b.1,ces-1,289075.0,289185.0,289112,289295
64,C53D5.1c.2,ceh-39,295742.0,295850.0,295762,296221
65,C53D5.1a.1,nhr-2,291215.0,291247.0,291229,291698
66,C53D5.4a.1,ces-1,289075.0,289185.0,289112,289295
67,C53D5.1c.2,mab-5,295742.0,295850.0,295778,296241
68,C53D5.4b.1,ces-1,289075.0,289185.0,289154,289276
69,C53D5.1c.2,mab-5,295742.0,295850.0,295792,296281
70,C53D5.4b.1,lsy-2,289075.0,289185.0,289183,289562
71,C53D5.1c.2,F23F12.9,295742.0,295850.0,295832,296215
72,C53D5.4a.1,ces-1,289075.0,289185.0,289154,289276
73,C53D5.1c.2,hlh-1,295742.0,295850.0,295849,296514
74,C53D5.4a.1,lsy-2,289075.0,289185.0,289183,289562
75,C53D5.4b.1,fkh-10,289075.0,289185.0,289092,289262
76,C53D5.4b.1,ces-1,289075.0,289185.0,289112,289295
77,Y48G1A.2.1,pax-1,347469.0,347574.0,347520,347929
78,C53D5.4b.1,ces-1,289075.0,289185.0,289154,289276
79,Y48G1A.6a.1,mab-5,348365.0,348424.0,348367,348856
80,C53D5.4b.1,lsy-2,289075.0,289185.0,289183,289562
81,Y48G1A.2.1,gei-11,347469.0,347574.0,347545,347940
82,Y48G1A.6a.1,mep-1,348365.0,348424.0,348380,348576
83,Y48G1A.6a.1,F23F12.9,348365.0,348424.0,348407,349006
84,Y48G1A.1.1,ceh-30,348460.0,348534.0,348513,348546
85,C53D5.4a.1,fkh-10,289075.0,289185.0,289092,289262
86,C53D5.4a.1,ces-1,289075.0,289185.0,289112,289295
87,C53D5.4a.1,ces-1,289075.0,289185.0,289154,289276
88,C53D5.4a.1,lsy-2,289075.0,289185.0,289183,289562
89,R119.7b.1,ceh-39,365531.0,365960.0,365783,366242
90,R119.7b.1,ces-1,365531.0,365960.0,365800,366239
91,R119.7b.1,lsy-2,365531.0,365960.0,365843,366198
92,R119.7b.1,gei-11,365531.0,365960.0,365956,366351
93,R119.7b.2,ceh-39,365644.0,365960.0,365783,366242
94,R119.7b.2,ces-1,365644.0,365960.0,365800,366239
95,R119.7b.2,lsy-2,365644.0,365960.0,365843,366198
96,R119.7b.2,gei-11,365644.0,365960.0,365956,366351
97,Y50C1A.1a.1,nhr-2,398891.0,398948.0,398925,399324
98,W04C9.3.1,gei-11,477582.0,477702.0,477634,478029
99,W04C9.6.1,pax-1,487991.0,488392.0,488122,488641
100,W04C9.6.1,ces-1,487991.0,488392.0,488131,488570
101,W04C9.6.1,pax-1,487991.0,488392.0,488134,488629
102,W04C9.6.1,nhr-237,487991.0,488392.0,488142,488631
103,W04C9.6.1,ces-1,487991.0,488392.0,488145,488584
104,W04C9.1a.1,ama-1,489969.0,490050.0,489999,490342
105,W04C9.6.1,gei-11,487991.0,488392.0,488156,488551
106,W04C9.1a.1,nhr-2,489969.0,490050.0,490034,490503
107,W04C9.6.1,ces-1,487991.0,488392.0,488159,488594
108,W04C9.6.1,nhr-237,487991.0,488392.0,488160,488629
109,W04C9.6.1,nhr-2,487991.0,488392.0,488162,488631
110,W04C9.6.1,mab-5,487991.0,488392.0,488176,488665
111,W04C9.6.1,ceh-39,487991.0,488392.0,488180,488639
112,Y65B4BL.7a.1,ceh-39,510838.0,511238.0,510926,511341
113,W04C9.6.1,pax-1,487991.0,488392.0,488185,488594
114,Y65B4BL.7a.2,ceh-39,510838.0,510935.0,510926,511341
115,Y65B4BL.7a.1,nhr-2,510838.0,511238.0,510935,511334
116,W04C9.6.1,mab-5,487991.0,488392.0,488187,488650
117,Y65B4BL.7a.1,lsy-2,510838.0,511238.0,511028,511383
118,W04C9.6.1,nhr-2,487991.0,488392.0,488192,488641
119,Y65B4BL.7a.1,ces-1,510838.0,511238.0,511142,511577
120,W04C9.6.1,nhr-237,487991.0,488392.0,488208,488671
121,W04C9.6.1,nhr-2,487991.0,488392.0,488221,488620
122,W04C9.6.1,gei-11,487991.0,488392.0,488245,488640
123,W04C9.6.1,blmp-1,487991.0,488392.0,488259,488516
124,Y65B4BL.7a.2,lsy-2,510995.0,511211.0,511028,511383
125,W04C9.6.1,blmp-1,487991.0,488392.0,488259,488538
126,Y65B4BL.7a.2,ces-1,510995.0,511211.0,511142,511577
127,W04C9.6.1,lsy-2,487991.0,488392.0,488259,488614
128,W04C9.6.1,pha-4,487991.0,488392.0,488270,488599
129,Y65B4BL.7a.2,ceh-39,510838.0,510935.0,510926,511341
